ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
36,0.0,1.0,0.2,29.0,3.0,0.0,0.0,0.5,20.2,0.0,0.0,1.0,0.0
53,0.5,1.5,1.6,32.5,4.5,1.0,0.167,0.55,22.45,0.0,0.0,0.5,0.0
73,0.667,1.667,0.4,34.333,7.0,1.0,0.139,0.567,21.133,0.0,0.333,0.667,0.0
93,0.75,2.25,2.9,33.5,6.75,1.5,0.229,0.564,20.35,0.0,0.25,0.5,0.0
113,0.6,2.0,0.3,37.0,9.6,2.2,0.231,0.618,19.28,0.0,0.2,0.4,0.0
132,0.5,2.167,0.5,36.333,8.5,1.833,0.192,0.598,17.933,0.0,0.167,0.333,0.0
151,0.571,2.0,0.7,35.0,8.0,2.0,0.251,0.62,19.086,0.143,0.143,0.286,0.0
159,0.5,1.875,0.4,38.5,7.875,2.0,0.255,0.626,18.775,0.125,0.125,0.25,0.0
194,0.444,1.889,1.0,40.444,7.778,2.0,0.258,0.612,18.844,0.111,0.111,0.222,0.0
198,0.6,1.8,0.2,38.9,7.5,2.1,0.293,0.626,18.3,0.1,0.1,0.2,0.0
234,0.545,1.727,0.7,37.636,7.182,2.0,0.289,0.641,18.745,0.091,0.091,0.182,0.0
242,0.5,1.833,0.9,39.0,7.25,2.25,0.317,0.64,18.467,0.083,0.083,0.167,0.083
283,0.462,1.769,0.1,38.769,7.0,2.231,0.331,0.652,17.8,0.077,0.077,0.154,0.077
292,0.429,2.0,1.1,38.071,6.571,2.071,0.307,0.638,17.257,0.071,0.071,0.143,0.071
313,0.467,2.0,0.5,38.6,6.733,2.0,0.294,0.645,17.56,0.067,0.067,0.133,0.067
335,0.438,1.938,0.5,39.438,6.812,2.0,0.291,0.652,17.769,0.062,0.062,0.125,0.062
360,0.412,2.059,1.2,39.118,6.882,1.941,0.282,0.649,17.794,0.059,0.059,0.118,0.059
367,0.444,1.944,0.9,39.056,7.056,2.0,0.283,0.668,17.833,0.056,0.056,0.111,0.056
1185,1.0,2.0,0.7,50.0,7.0,3.0,0.429,0.5,18.8,0.0,0.0,0.0,0.0
1204,1.0,2.0,1.1,40.0,7.0,4.0,0.571,0.65,18.2,0.0,0.0,0.0,0.0
1214,0.667,2.0,0.6,42.667,10.0,3.333,0.423,0.683,17.367,0.0,0.0,0.0,0.0
1234,0.75,2.25,0.0,42.0,8.75,3.0,0.417,0.638,17.175,0.0,0.0,0.0,0.0
1256,0.6,2.8,1.1,40.2,7.4,2.4,0.334,0.543,21.72,0.0,0.0,0.0,0.2
1272,0.667,2.5,0.4,40.0,7.667,2.167,0.296,0.592,21.317,0.0,0.0,0.0,0.167
1302,0.571,2.857,0.4,39.571,7.429,2.286,0.326,0.548,20.971,0.0,0.0,0.0,0.143
1311,0.5,2.75,0.6,37.375,7.25,2.125,0.306,0.563,20.812,0.125,0.0,0.0,0.125
1330,0.556,2.556,0.3,35.778,7.0,2.111,0.316,0.584,20.689,0.111,0.0,0.0,0.111
1352,0.5,2.5,0.8,34.2,6.7,2.1,0.335,0.575,20.11,0.1,0.0,0.0,0.1
1370,0.636,2.545,1.7,35.364,6.909,2.364,0.355,0.546,19.782,0.091,0.0,0.0,0.091
1397,0.833,2.417,0.6,34.583,6.833,2.333,0.353,0.563,20.0,0.083,0.083,0.083,0.167
1410,0.769,2.308,1.2,34.769,7.231,2.462,0.351,0.558,19.715,0.077,0.077,0.077,0.154
1442,0.857,2.286,0.6,34.5,7.643,2.929,0.376,0.576,19.329,0.071,0.071,0.071,0.214
1457,0.867,2.333,0.8,33.4,7.467,2.933,0.391,0.582,18.947,0.133,0.067,0.067,0.2
1474,0.812,2.312,0.8,34.25,7.5,2.875,0.382,0.584,18.706,0.125,0.062,0.062,0.188
1481,0.882,2.412,1.5,33.941,7.647,2.941,0.383,0.588,18.653,0.176,0.059,0.059,0.235
1503,0.889,2.556,0.6,34.278,8.056,3.0,0.376,0.565,18.367,0.167,0.056,0.056,0.278
