ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
17,0.0,2.0,0.9,55.0,9.0,1.0,0.111,0.5,12.9,0.0,0.0,0.0,0.0
23,0.0,1.5,1.4,42.0,6.0,0.5,0.056,0.5,16.55,0.0,0.0,0.5,0.0
36,0.0,1.333,0.2,40.0,8.667,1.667,0.132,0.625,16.6,0.0,0.0,0.333,0.0
43,0.25,1.5,1.7,39.0,8.0,1.75,0.183,0.619,18.625,0.0,0.0,0.25,0.0
53,0.4,1.4,1.6,39.6,8.2,2.4,0.257,0.662,18.92,0.0,0.2,0.4,0.2
60,0.5,1.5,0.5,39.333,8.833,2.167,0.228,0.651,18.85,0.0,0.333,0.5,0.167
73,0.429,1.429,0.4,38.714,8.0,2.0,0.243,0.683,18.771,0.0,0.286,0.429,0.143
84,0.5,1.75,0.9,37.75,7.75,2.125,0.275,0.667,18.675,0.0,0.25,0.375,0.125
93,0.444,1.667,2.9,39.222,7.889,2.444,0.306,0.667,18.556,0.0,0.222,0.333,0.111
104,0.4,1.6,0.2,40.4,9.2,2.7,0.3,0.684,18.2,0.0,0.2,0.3,0.1
113,0.455,1.636,0.3,39.545,8.727,2.545,0.295,0.667,17.9,0.0,0.182,0.273,0.091
127,0.417,1.75,1.5,39.0,8.25,2.333,0.271,0.653,17.342,0.0,0.167,0.25,0.083
132,0.538,1.846,0.5,39.077,8.538,2.615,0.288,0.651,17.223,0.077,0.154,0.231,0.077
143,0.571,1.786,1.4,38.214,8.286,2.643,0.31,0.658,17.85,0.143,0.143,0.214,0.071
151,0.533,1.733,0.7,38.6,8.4,2.533,0.296,0.659,17.5,0.133,0.133,0.2,0.067
159,0.5,1.688,0.4,40.125,8.312,2.5,0.296,0.659,17.444,0.125,0.125,0.188,0.062
165,0.471,1.706,2.1,41.059,8.235,2.471,0.295,0.65,17.559,0.118,0.118,0.176,0.059
176,0.5,1.611,0.9,42.389,8.667,2.5,0.289,0.669,17.528,0.111,0.167,0.222,0.056
194,0.526,1.684,1.0,42.421,9.0,2.632,0.291,0.655,17.716,0.105,0.158,0.211,0.053
198,0.6,1.65,0.2,41.55,8.8,2.65,0.307,0.66,17.5,0.1,0.15,0.2,0.05
207,0.571,1.619,1.3,40.762,8.571,2.571,0.304,0.667,17.771,0.095,0.143,0.19,0.048
224,0.636,1.591,0.6,42.0,8.818,2.727,0.31,0.67,17.727,0.136,0.136,0.182,0.045
234,0.652,1.609,0.7,41.565,8.783,2.739,0.313,0.598,17.861,0.13,0.13,0.174,0.087
242,0.625,1.667,0.9,42.083,8.75,2.833,0.326,0.599,17.758,0.125,0.125,0.167,0.125
257,0.6,1.64,0.7,41.84,8.56,2.8,0.333,0.607,17.44,0.12,0.12,0.16,0.12
261,0.577,1.654,0.9,41.769,8.538,2.769,0.329,0.612,17.438,0.115,0.115,0.154,0.115
267,0.593,1.593,0.7,41.259,8.556,2.741,0.326,0.627,17.667,0.111,0.111,0.148,0.111
283,0.571,1.607,0.1,41.607,8.536,2.714,0.323,0.628,17.632,0.107,0.107,0.143,0.143
292,0.552,1.724,1.1,41.172,8.276,2.621,0.312,0.622,17.376,0.103,0.103,0.138,0.138
308,0.567,1.733,0.3,41.333,8.3,2.567,0.305,0.626,17.523,0.1,0.1,0.133,0.133
313,0.548,1.774,0.5,41.452,8.258,2.548,0.304,0.619,17.603,0.097,0.097,0.129,0.129
324,0.531,1.75,0.7,41.781,8.25,2.531,0.303,0.623,17.706,0.094,0.094,0.125,0.125
335,0.545,1.697,0.5,41.485,8.212,2.545,0.306,0.634,17.709,0.091,0.091,0.121,0.121
340,0.529,1.765,0.7,41.265,8.206,2.5,0.301,0.633,17.724,0.088,0.088,0.118,0.118
360,0.514,1.771,1.2,41.514,8.171,2.429,0.293,0.637,17.6,0.114,0.086,0.114,0.114
367,0.528,1.722,0.9,41.417,8.222,2.444,0.293,0.647,17.625,0.111,0.083,0.111,0.111
376,0.514,1.703,0.5,41.622,8.297,2.405,0.287,0.651,17.643,0.135,0.081,0.108,0.108
1151,0.0,1.0,0.5,32.0,8.0,1.0,0.125,0.875,19.4,0.0,0.0,0.0,0.0
1167,0.5,1.5,0.7,41.0,7.5,2.0,0.277,0.688,19.1,0.0,0.0,0.0,0.0
1171,0.667,1.667,1.2,34.333,7.0,1.667,0.24,0.718,18.1,0.0,0.0,0.0,0.333
1185,1.0,1.75,0.7,37.25,8.5,3.0,0.315,0.705,17.1,0.0,0.0,0.0,0.25
1199,1.0,1.8,0.9,35.8,8.2,3.4,0.395,0.724,17.2,0.0,0.0,0.0,0.2
1204,0.833,2.833,1.1,36.833,8.333,3.0,0.347,0.681,16.617,0.0,0.0,0.0,0.167
1214,0.714,2.714,0.6,38.429,9.429,2.857,0.316,0.691,16.486,0.0,0.0,0.0,0.143
1228,0.75,2.75,1.4,38.625,8.875,2.75,0.326,0.667,16.5,0.0,0.0,0.0,0.125
1234,0.778,2.667,0.0,38.556,9.111,3.0,0.34,0.66,17.533,0.0,0.111,0.111,0.111
1244,0.7,2.9,1.0,38.0,8.4,2.7,0.306,0.61,19.77,0.0,0.1,0.1,0.2
1256,0.818,2.727,1.1,38.091,8.545,2.545,0.288,0.615,20.482,0.091,0.182,0.182,0.182
1262,0.833,2.583,0.8,38.167,8.583,2.417,0.273,0.634,20.383,0.083,0.167,0.167,0.167
1272,0.846,2.615,0.4,38.769,8.692,2.385,0.267,0.641,19.962,0.077,0.154,0.154,0.154
1286,0.786,2.786,1.0,38.643,8.5,2.429,0.284,0.615,19.886,0.071,0.143,0.143,0.143
1295,0.733,2.733,0.8,37.733,8.333,2.333,0.276,0.624,19.533,0.133,0.133,0.133,0.133
1302,0.75,2.562,0.4,37.938,8.375,2.438,0.287,0.648,19.669,0.125,0.125,0.125,0.125
1311,0.706,2.529,0.6,37.0,8.235,2.353,0.28,0.649,19.671,0.176,0.118,0.118,0.118
1320,0.722,2.444,2.4,36.222,8.056,2.333,0.286,0.655,19.672,0.167,0.111,0.111,0.111
1330,0.789,2.474,0.3,37.0,8.737,2.421,0.281,0.633,19.495,0.211,0.105,0.105,0.105
1346,0.75,2.45,2.5,36.15,8.5,2.4,0.292,0.627,19.265,0.2,0.1,0.1,0.1
1352,0.81,2.429,0.8,37.143,9.048,2.524,0.29,0.621,19.229,0.238,0.143,0.143,0.143
1363,0.864,2.455,1.4,37.591,9.045,2.636,0.302,0.604,19.105,0.227,0.136,0.136,0.136
1370,0.826,2.565,1.7,37.565,9.087,2.696,0.306,0.597,18.709,0.217,0.13,0.13,0.13
1386,0.917,2.5,0.6,37.083,8.958,2.667,0.308,0.603,18.862,0.208,0.167,0.167,0.167
1397,0.88,2.6,0.6,36.44,8.84,2.6,0.302,0.597,18.856,0.2,0.16,0.16,0.16
1408,0.846,2.538,0.2,36.462,8.962,2.654,0.303,0.593,18.758,0.192,0.154,0.154,0.154
1410,0.815,2.667,1.2,35.852,8.778,2.556,0.292,0.584,18.87,0.185,0.148,0.148,0.148
1429,0.857,2.643,1.9,35.679,8.929,2.786,0.306,0.592,18.707,0.179,0.143,0.143,0.179
1442,0.931,2.655,0.6,35.379,8.897,2.828,0.313,0.594,18.603,0.172,0.138,0.138,0.172
1452,0.933,2.667,1.4,34.8,8.767,2.833,0.322,0.597,18.437,0.2,0.133,0.133,0.167
1457,0.968,2.645,0.8,34.71,8.839,2.903,0.327,0.588,18.332,0.194,0.129,0.129,0.161
1464,0.938,2.625,2.4,35.094,8.812,2.875,0.324,0.589,18.231,0.188,0.125,0.125,0.156
1474,0.939,2.667,0.8,35.515,9.091,3.121,0.333,0.588,18.13,0.182,0.121,0.121,0.152
1481,0.971,2.706,1.5,35.324,9.118,3.147,0.335,0.59,18.121,0.206,0.118,0.118,0.176
1491,0.971,2.771,2.2,35.457,9.286,3.171,0.333,0.578,17.989,0.2,0.114,0.114,0.2
1503,0.972,2.778,0.6,35.972,9.472,3.194,0.331,0.569,17.992,0.194,0.139,0.139,0.194
1511,0.946,2.73,1.0,36.135,9.568,3.135,0.324,0.576,18.073,0.189,0.135,0.135,0.189
