ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
23,0.0,2.0,1.4,55.0,9.0,1.0,0.111,0.5,12.9,0.0,0.0,0.0,0.0
43,0.0,1.5,1.7,45.5,11.5,2.5,0.198,0.688,14.8,0.0,0.0,0.0,0.0
60,0.333,1.333,0.5,44.333,10.667,3.333,0.317,0.736,16.567,0.0,0.333,0.333,0.333
84,0.25,1.25,0.9,42.0,8.75,2.75,0.321,0.771,17.0,0.0,0.25,0.25,0.25
104,0.2,1.2,0.2,43.8,8.8,3.2,0.368,0.75,17.12,0.0,0.2,0.2,0.2
127,0.333,1.333,1.5,41.667,8.0,2.833,0.349,0.708,16.75,0.0,0.167,0.167,0.167
143,0.571,1.571,1.4,41.429,8.571,3.286,0.37,0.696,16.614,0.143,0.143,0.143,0.143
165,0.5,1.5,2.1,41.75,8.75,3.0,0.336,0.693,16.112,0.125,0.125,0.125,0.125
176,0.556,1.333,0.9,44.333,9.556,3.0,0.32,0.727,16.211,0.111,0.222,0.222,0.111
207,0.6,1.5,1.3,44.2,10.1,3.2,0.321,0.694,16.7,0.1,0.2,0.2,0.1
224,0.727,1.455,0.6,46.364,10.455,3.455,0.331,0.699,16.709,0.182,0.182,0.182,0.091
257,0.75,1.5,0.7,45.167,10.25,3.417,0.335,0.558,17.05,0.167,0.167,0.167,0.167
261,0.692,1.538,0.9,44.769,10.077,3.308,0.328,0.572,17.077,0.154,0.154,0.154,0.154
267,0.714,1.429,0.7,43.571,10.0,3.214,0.321,0.603,17.543,0.143,0.143,0.143,0.143
308,0.667,1.467,0.3,44.067,9.867,3.133,0.316,0.607,17.487,0.133,0.133,0.133,0.2
324,0.625,1.562,0.7,44.125,9.688,3.062,0.314,0.594,17.644,0.125,0.125,0.125,0.188
340,0.647,1.471,0.7,43.412,9.529,3.059,0.321,0.618,17.653,0.118,0.118,0.118,0.176
376,0.611,1.5,0.5,43.778,9.389,2.889,0.303,0.625,17.417,0.167,0.111,0.111,0.167
1167,0.0,1.0,0.7,32.0,8.0,1.0,0.125,0.875,19.4,0.0,0.0,0.0,0.0
1171,0.5,1.5,1.2,26.5,7.0,1.0,0.146,0.826,17.75,0.0,0.0,0.0,0.5
1199,1.0,1.667,0.9,33.0,9.0,3.0,0.277,0.773,16.533,0.0,0.0,0.0,0.333
1228,0.75,3.25,1.4,35.25,9.0,2.5,0.235,0.697,15.825,0.0,0.0,0.0,0.25
1244,0.8,3.0,1.0,35.8,9.4,3.0,0.279,0.677,17.82,0.0,0.2,0.2,0.2
1262,1.0,2.667,0.8,36.333,9.5,2.667,0.249,0.675,19.45,0.167,0.333,0.333,0.167
1286,1.0,2.714,1.0,37.714,9.571,2.571,0.242,0.683,18.8,0.143,0.286,0.286,0.143
1295,0.875,2.625,0.8,36.125,9.125,2.375,0.233,0.691,18.275,0.25,0.25,0.25,0.125
1320,0.889,2.333,2.4,36.667,9.111,2.556,0.256,0.726,18.656,0.222,0.222,0.222,0.111
1346,1.0,2.4,2.5,38.1,10.3,2.7,0.25,0.678,18.42,0.3,0.2,0.2,0.1
1363,1.091,2.364,1.4,39.818,11.182,2.909,0.25,0.662,18.427,0.364,0.273,0.273,0.182
1386,1.0,2.583,0.6,39.583,11.083,3.0,0.262,0.644,17.725,0.333,0.25,0.25,0.167
1408,0.923,2.769,0.2,38.154,10.692,2.846,0.255,0.628,17.8,0.308,0.231,0.231,0.154
1429,0.857,3.0,1.9,36.857,10.214,2.643,0.237,0.607,18.086,0.286,0.214,0.214,0.143
1452,1.0,3.0,1.4,36.2,10.067,2.733,0.254,0.611,17.927,0.267,0.2,0.2,0.133
1464,1.062,2.938,2.4,35.938,10.125,2.875,0.267,0.594,17.756,0.25,0.188,0.188,0.125
1491,1.059,3.0,2.2,36.706,10.588,3.353,0.287,0.592,17.588,0.235,0.176,0.176,0.118
1511,1.056,3.0,1.0,37.667,10.889,3.389,0.285,0.573,17.617,0.222,0.222,0.222,0.111
