ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
198,0.6,1.8,0.2,38.9,7.5,2.1,18.3,0.1,0.1,0.2
234,0.6,1.8,0.7,38.5,7.6,2.2,18.6,0.1,0.1,0.1
242,0.5,1.9,0.9,40.3,7.8,2.5,17.67,0.1,0.1,0.1
283,0.4,1.8,0.1,40.1,7.0,2.6,16.8,0.1,0.0,0.0
292,0.3,1.9,1.1,39.9,6.5,2.3,16.02,0.1,0.0,0.0
313,0.4,2.0,0.5,39.4,5.3,1.9,16.7,0.1,0.0,0.0
335,0.4,1.8,0.5,41.3,5.8,2.1,17.67,0.1,0.0,0.0
360,0.3,2.1,1.2,42.0,6.1,1.9,16.89,0.0,0.0,0.0
367,0.4,2.0,0.9,39.5,6.4,2.0,17.08,0.0,0.0,0.0
1151,0.4,1.9,0.5,38.8,6.8,1.9,16.97,0.1,0.0,0.0
1185,0.3,2.0,0.7,41.3,7.0,1.9,17.51,0.1,0.0,0.0
1204,0.4,2.1,1.1,41.8,7.3,2.3,16.95,0.1,0.0,0.0
1214,0.4,2.0,0.6,41.2,8.1,2.0,16.98,0.1,0.0,0.0
1234,0.5,2.2,0.0,41.6,8.2,2.0,17.66,0.1,0.0,0.0
1256,0.5,2.2,1.1,42.0,8.3,2.0,20.63,0.1,0.0,0.0
1272,0.5,2.1,0.4,41.3,8.3,2.0,20.38,0.1,0.0,0.0
1302,0.5,2.5,0.4,39.8,8.1,2.1,20.18,0.1,0.0,0.0
1311,0.5,2.3,0.6,38.6,7.9,2.1,20.33,0.2,0.0,0.0
1330,0.5,2.4,0.3,37.1,7.4,2.0,20.45,0.2,0.0,0.0
1352,0.5,2.5,0.8,34.2,6.7,2.1,20.11,0.1,0.0,0.0
1370,0.6,2.6,1.7,33.9,6.9,2.3,19.88,0.1,0.0,0.0
1397,0.8,2.5,0.6,33.5,6.8,2.0,20.36,0.1,0.1,0.1
1410,0.8,2.4,1.2,32.4,6.4,2.2,20.42,0.1,0.1,0.1
1442,0.9,2.3,0.6,31.5,7.2,2.9,20.19,0.1,0.1,0.1
1457,1.0,2.1,0.8,30.0,7.5,3.2,17.56,0.2,0.1,0.1
1474,0.9,2.2,0.8,30.8,7.4,3.3,17.14,0.2,0.1,0.1
1481,1.1,2.1,1.5,30.0,7.8,3.4,17.03,0.3,0.1,0.1
1503,1.2,2.4,0.6,31.8,8.7,3.7,16.41,0.2,0.1,0.1
