ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
207,0.6,1.5,1.3,44.2,10.1,3.2,0.321,0.694,16.7,0.1,0.2,0.2,0.1
224,0.8,1.4,0.6,45.5,10.6,3.7,0.353,0.719,17.09,0.2,0.2,0.2,0.1
257,0.9,1.5,0.7,45.1,10.0,3.6,0.362,0.532,17.5,0.2,0.2,0.2,0.2
261,0.8,1.6,0.9,44.9,9.9,3.3,0.331,0.523,17.23,0.2,0.1,0.1,0.1
267,0.9,1.5,0.7,44.2,10.5,3.4,0.32,0.536,17.76,0.2,0.1,0.1,0.1
308,0.9,1.6,0.3,44.2,10.4,3.1,0.29,0.536,17.67,0.2,0.1,0.1,0.2
324,0.8,1.7,0.7,45.6,10.7,3.2,0.293,0.526,18.18,0.2,0.1,0.1,0.2
340,0.7,1.4,0.7,44.8,10.2,2.9,0.286,0.563,18.38,0.1,0.1,0.1,0.2
376,0.7,1.5,0.5,45.4,9.9,2.8,0.276,0.572,18.46,0.2,0.1,0.1,0.2
1144,0.7,1.5,0.5,43.2,9.5,2.8,0.282,0.572,18.5,0.2,0.0,0.0,0.2
1167,0.6,1.3,0.7,42.1,8.8,2.4,0.262,0.619,18.33,0.2,0.0,0.0,0.2
1171,0.5,1.4,1.2,37.4,8.0,1.9,0.235,0.622,18.26,0.1,0.0,0.0,0.3
1199,0.6,1.4,0.9,38.8,8.5,2.3,0.252,0.789,17.59,0.1,0.0,0.0,0.2
1228,0.6,2.0,1.4,39.0,8.6,2.2,0.238,0.76,17.22,0.1,0.0,0.0,0.2
1244,0.6,2.2,1.0,40.0,8.8,2.5,0.261,0.72,17.44,0.1,0.1,0.1,0.2
1262,0.8,2.1,0.8,38.8,9.0,2.4,0.246,0.72,18.53,0.2,0.2,0.2,0.1
1286,0.9,2.1,1.0,38.9,9.3,2.4,0.237,0.753,18.02,0.2,0.2,0.2,0.1
1295,0.8,2.3,0.8,38.2,9.2,2.2,0.211,0.728,17.7,0.3,0.2,0.2,0.1
1320,0.9,2.1,2.4,37.3,9.4,2.6,0.256,0.753,18.53,0.2,0.2,0.2,0.1
1346,1.0,2.4,2.5,38.1,10.3,2.7,0.25,0.678,18.42,0.3,0.2,0.2,0.1
1363,1.2,2.5,1.4,40.6,11.5,3.1,0.262,0.641,18.33,0.4,0.3,0.3,0.2
1386,1.1,2.8,0.6,42.2,11.9,3.4,0.286,0.607,17.72,0.4,0.3,0.3,0.1
1408,0.9,3.1,0.2,39.7,11.2,2.8,0.248,0.585,18.18,0.4,0.3,0.3,0.1
1429,0.9,2.9,1.9,37.5,10.7,2.7,0.237,0.572,18.99,0.4,0.3,0.3,0.1
1452,1.1,3.0,1.4,36.4,10.4,2.6,0.242,0.578,17.98,0.4,0.2,0.2,0.1
1464,1.1,3.1,2.4,35.7,10.5,3.0,0.277,0.545,16.74,0.3,0.1,0.1,0.1
1491,1.1,3.2,2.2,36.0,11.3,3.9,0.318,0.528,16.74,0.3,0.1,0.1,0.1
1511,1.2,3.3,1.0,38.9,12.3,4.2,0.327,0.478,17.09,0.2,0.2,0.2,0.1
