ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
107,1.9,1.6,1.4,53.9,10.7,4.9,17.62,0.6,0.1,0.1
113,1.909,1.545,2.0,53.727,10.545,4.636,17.764,0.545,0.182,0.182
121,2.0,1.417,1.2,54.833,11.0,4.75,17.7,0.583,0.167,0.167
129,1.923,1.385,0.7,55.538,11.154,4.615,18.146,0.538,0.154,0.154
140,1.786,1.357,0.2,55.0,11.0,4.5,17.929,0.5,0.143,0.143
150,1.667,1.267,0.6,54.867,10.467,4.333,18.227,0.533,0.133,0.133
164,1.562,1.188,0.4,55.312,10.312,4.25,18.381,0.562,0.125,0.125
175,1.529,1.118,0.6,54.059,10.118,4.118,18.776,0.529,0.118,0.118
189,1.444,1.167,0.8,54.0,10.0,4.056,18.694,0.5,0.111,0.111
201,1.421,1.263,1.9,54.211,10.158,4.105,18.632,0.526,0.105,0.105
209,1.35,1.25,0.5,54.45,10.65,4.1,18.6,0.55,0.1,0.1
218,1.286,1.619,1.3,53.095,10.286,3.952,18.743,0.571,0.095,0.095
230,1.318,1.682,0.8,54.0,10.455,4.0,18.623,0.591,0.091,0.091
239,1.304,1.696,0.6,53.87,10.304,3.957,18.587,0.565,0.087,0.087
248,1.292,1.667,0.9,52.875,10.042,3.833,18.212,0.542,0.083,0.083
258,1.24,1.72,0.6,52.92,10.16,3.88,18.228,0.52,0.08,0.08
267,1.192,1.692,1.9,52.923,10.115,3.769,18.169,0.5,0.077,0.077
276,1.222,1.63,1.6,52.778,10.259,3.852,18.319,0.481,0.111,0.111
282,1.25,1.75,0.6,52.393,10.25,3.893,18.432,0.536,0.143,0.143
295,1.241,1.759,2.2,52.621,10.207,3.897,18.459,0.552,0.138,0.138
309,1.3,1.767,1.5,52.633,10.667,4.033,18.477,0.533,0.133,0.133
318,1.258,1.806,0.8,52.871,10.742,4.0,18.506,0.548,0.129,0.161
