ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
13,0.0,1.0,2.0,69.0,9.0,5.0,0.556,0.667,15.3,2.0,0.0,0.0,0.0
22,1.0,3.0,0.6,60.0,11.0,5.5,0.509,0.417,17.65,1.5,0.5,0.5,0.0
34,1.0,2.0,1.2,55.667,9.0,4.0,0.406,0.611,17.067,1.0,0.333,0.333,0.0
40,1.25,1.5,1.9,57.25,10.0,4.75,0.439,0.708,17.275,0.75,0.25,0.25,0.0
54,1.6,1.8,0.7,55.2,10.6,5.0,0.443,0.647,17.24,0.6,0.2,0.2,0.0
63,1.667,1.5,0.7,55.0,11.0,5.167,0.446,0.706,17.267,0.5,0.167,0.167,0.0
70,2.0,1.714,0.7,53.429,10.714,5.0,0.446,0.7,17.429,0.714,0.143,0.143,0.143
88,2.0,1.5,1.0,54.375,11.25,5.25,0.449,0.737,17.612,0.625,0.125,0.125,0.125
94,1.889,1.444,0.5,54.333,10.778,4.889,0.431,0.754,17.422,0.556,0.111,0.111,0.111
107,1.9,1.6,1.4,53.9,10.7,4.9,0.438,0.729,17.62,0.6,0.1,0.1,0.1
113,1.909,1.545,2.0,53.727,10.545,4.636,0.418,0.723,17.764,0.545,0.182,0.182,0.182
121,2.0,1.417,1.2,54.833,11.0,4.75,0.414,0.663,17.7,0.583,0.167,0.167,0.167
129,1.923,1.385,0.7,55.538,11.154,4.615,0.4,0.67,18.146,0.538,0.154,0.154,0.154
140,1.786,1.357,0.2,55.0,11.0,4.5,0.395,0.679,17.929,0.5,0.143,0.143,0.143
150,1.667,1.267,0.6,54.867,10.467,4.333,0.414,0.7,18.227,0.533,0.133,0.133,0.133
164,1.562,1.188,0.4,55.312,10.312,4.25,0.411,0.719,18.381,0.562,0.125,0.125,0.125
175,1.529,1.118,0.6,54.059,10.118,4.118,0.404,0.736,18.776,0.529,0.118,0.118,0.118
189,1.444,1.167,0.8,54.0,10.0,4.056,0.402,0.723,18.694,0.5,0.111,0.111,0.111
201,1.421,1.263,1.9,54.211,10.158,4.105,0.401,0.698,18.632,0.526,0.105,0.105,0.105
209,1.35,1.25,0.5,54.45,10.65,4.1,0.391,0.7,18.6,0.55,0.1,0.1,0.1
218,1.286,1.619,1.3,53.095,10.286,3.952,0.388,0.682,18.743,0.571,0.095,0.095,0.143
230,1.318,1.682,0.8,54.0,10.455,4.0,0.387,0.662,18.623,0.591,0.091,0.091,0.136
239,1.304,1.696,0.6,53.87,10.304,3.957,0.389,0.648,18.587,0.565,0.087,0.087,0.174
248,1.292,1.667,0.9,52.875,10.042,3.833,0.383,0.642,18.212,0.542,0.083,0.083,0.208
258,1.24,1.72,0.6,52.92,10.16,3.88,0.383,0.639,18.228,0.52,0.08,0.08,0.2
267,1.192,1.692,1.9,52.923,10.115,3.769,0.373,0.614,18.169,0.5,0.077,0.077,0.192
276,1.222,1.63,1.6,52.778,10.259,3.852,0.375,0.628,18.319,0.481,0.111,0.111,0.185
282,1.25,1.75,0.6,52.393,10.25,3.893,0.379,0.624,18.432,0.536,0.143,0.143,0.179
