ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
218,1.2,2.1,1.3,50.9,7.9,2.9,0.378,0.685,18.66,0.6,0.1,0.1,0.3
248,1.4,2.3,0.9,51.3,8.4,2.9,0.358,0.643,18.74,0.5,0.1,0.1,0.3
258,1.3,2.6,0.6,52.0,9.2,3.3,0.376,0.6,19.01,0.5,0.1,0.1,0.3
267,1.0,2.4,1.9,52.6,8.8,2.8,0.341,0.56,18.97,0.5,0.1,0.1,0.3
276,0.8,2.1,1.6,53.1,9.3,3.0,0.34,0.593,19.35,0.3,0.2,0.2,0.2
309,0.9,2.5,1.5,51.9,9.6,3.3,0.361,0.555,19.91,0.5,0.3,0.3,0.2
318,0.7,2.7,0.8,52.7,10.0,3.4,0.362,0.528,19.93,0.6,0.2,0.3,0.2
342,0.7,2.8,1.1,50.1,9.7,3.6,0.389,0.453,19.51,0.6,0.2,0.3,0.3
377,0.7,3.0,1.5,49.4,10.6,4.0,0.372,0.42,19.3,0.5,0.2,0.3,0.3
383,0.7,3.1,0.8,50.3,11.5,4.2,0.364,0.427,19.27,0.5,0.2,0.3,0.3
403,0.8,2.5,3.6,52.9,11.8,4.4,0.381,0.446,18.66,0.4,0.2,0.3,0.2
425,0.8,2.4,0.4,51.9,12.5,4.4,0.369,0.471,18.97,0.4,0.3,0.4,0.2
444,0.8,2.1,1.3,50.1,12.2,4.1,0.35,0.514,19.09,0.4,0.3,0.4,0.2
476,0.9,2.3,1.8,48.6,11.8,4.1,0.359,0.58,19.82,0.4,0.4,0.5,0.2
494,0.8,2.3,1.0,49.7,11.6,3.6,0.325,0.58,19.1,0.4,0.3,0.4,0.2
502,0.7,2.0,1.0,51.7,12.3,3.6,0.304,0.58,18.83,0.2,0.2,0.3,0.2
533,0.7,2.1,0.6,49.3,11.7,3.6,0.324,0.574,17.94,0.1,0.2,0.2,0.1
541,0.6,2.2,0.6,49.4,11.8,3.7,0.328,0.614,18.22,0.4,0.2,0.2,0.0
553,0.8,2.2,1.2,48.9,12.1,3.5,0.305,0.614,18.32,0.5,0.2,0.2,0.0
577,1.1,2.1,0.8,47.1,11.4,3.5,0.326,0.607,18.9,0.5,0.3,0.3,0.0
600,1.1,2.1,2.2,47.6,12.1,4.2,0.353,0.582,19.39,0.7,0.3,0.3,0.1
