ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
107,1.9,1.6,1.4,53.9,10.7,4.9,17.62,0.6,0.1,0.1
113,2.1,1.6,2.0,52.2,10.7,4.6,18.01,0.4,0.2,0.2
121,2.2,1.1,1.2,53.8,11.0,4.6,17.71,0.4,0.1,0.1
129,2.2,1.2,0.7,55.5,11.8,4.8,18.47,0.4,0.1,0.1
140,2.0,1.3,0.2,54.1,11.4,4.4,18.19,0.4,0.1,0.1
150,1.7,1.0,0.6,54.7,10.4,4.0,18.72,0.5,0.1,0.1
164,1.5,1.0,0.4,55.5,9.9,3.7,19.05,0.6,0.1,0.1
175,1.2,0.7,0.6,54.5,9.7,3.5,19.72,0.4,0.1,0.1
189,1.0,0.9,0.8,53.7,9.0,3.1,19.56,0.4,0.1,0.1
201,1.0,1.1,1.9,54.1,9.6,3.4,19.72,0.5,0.1,0.1
209,0.8,0.9,0.5,55.0,10.6,3.3,19.58,0.5,0.1,0.1
218,0.6,1.7,1.3,52.4,10.0,3.2,19.82,0.6,0.0,0.0
230,0.5,2.0,0.8,53.0,9.8,3.1,19.73,0.6,0.0,0.0
239,0.5,2.1,0.6,51.7,9.2,3.1,19.16,0.6,0.0,0.0
248,0.6,2.1,0.9,49.9,8.7,2.9,18.61,0.6,0.0,0.0
258,0.6,2.4,0.6,50.0,9.7,3.2,18.23,0.5,0.0,0.0
267,0.6,2.5,1.9,49.1,9.8,3.0,17.83,0.4,0.0,0.0
276,0.7,2.5,1.6,50.6,10.5,3.4,17.54,0.4,0.1,0.1
282,0.9,2.8,0.6,49.5,10.7,3.6,17.96,0.6,0.2,0.2
295,0.9,2.7,2.2,49.6,10.3,3.5,18.13,0.6,0.2,0.2
309,1.2,2.8,1.5,49.0,10.7,3.9,18.23,0.5,0.2,0.2
318,1.2,2.2,0.8,52.4,11.7,4.1,18.01,0.5,0.2,0.3
329,1.1,2.1,0.9,48.9,11.3,4.1,18.33,0.4,0.2,0.3
342,1.1,2.0,1.1,46.8,11.0,4.0,18.99,0.4,0.3,0.4
349,1.0,2.1,1.2,48.4,11.8,4.5,20.06,0.4,0.3,0.4
355,1.3,1.9,1.6,49.2,11.8,4.6,19.78,0.5,0.3,0.4
362,1.6,1.9,1.6,48.6,12.0,5.1,19.53,0.6,0.3,0.4
377,1.4,2.1,1.5,48.8,12.4,4.8,19.45,0.7,0.2,0.3
383,1.2,1.9,0.8,50.8,13.1,4.8,19.0,0.5,0.1,0.2
397,1.2,2.0,0.7,50.1,12.8,4.7,18.63,0.4,0.1,0.2
403,1.0,1.9,3.6,48.5,11.2,4.2,18.88,0.6,0.1,0.2
413,1.2,1.8,0.7,48.8,12.0,4.4,18.86,0.6,0.2,0.2
425,1.1,1.6,0.4,49.2,12.1,4.1,18.35,0.6,0.2,0.2
438,1.0,1.5,1.0,49.8,12.7,4.1,17.89,0.6,0.1,0.1
444,1.0,1.4,1.3,50.9,13.3,4.1,17.93,0.7,0.1,0.1
453,0.8,1.6,1.9,48.5,12.5,3.6,18.75,0.6,0.2,0.2
463,0.6,1.5,1.6,48.4,13.3,3.4,19.2,0.6,0.2,0.2
476,0.8,1.5,1.8,49.4,13.1,3.5,18.75,0.5,0.2,0.2
481,0.9,1.2,0.6,49.2,12.6,3.1,18.55,0.5,0.2,0.2
494,0.9,0.9,1.0,49.6,12.9,3.1,18.56,0.5,0.2,0.2
502,0.9,1.0,1.0,52.1,13.8,3.3,18.29,0.3,0.2,0.2
515,0.7,1.2,1.5,49.4,12.4,3.1,17.42,0.2,0.1,0.1
521,0.9,1.4,1.6,49.7,12.8,3.6,17.49,0.2,0.1,0.1
533,1.0,1.5,0.6,50.5,13.2,3.8,17.27,0.3,0.1,0.1
541,1.0,1.7,0.6,48.7,12.5,3.8,17.41,0.5,0.1,0.1
553,1.1,1.6,1.2,49.0,13.5,4.1,17.14,0.6,0.0,0.0
557,1.3,1.8,0.4,48.8,12.6,4.2,17.55,0.5,0.1,0.1
572,1.2,1.7,1.4,46.2,11.9,4.0,17.93,0.5,0.1,0.1
577,1.5,1.8,0.8,45.0,11.9,4.5,18.22,0.5,0.1,0.1
590,1.5,2.1,0.8,45.1,12.3,5.2,18.7,0.7,0.1,0.1
