ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeAcc,HomeDef,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayAcc,AwayDef,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
6,2021,1,Tottenham Hotspur,Everton,0,1,0,0,1,1.1,1.2,52,48,Hugo Lloris,4-2-3-1,9,5,0.5555555555555556,0.75,12.6,0,0,0,Séamus Coleman,4-3-3,15,4,0.2666666666666666,1.0,17.8,0,0,0,Martin Atkinson,2020-09-13,Sun,16:30
24,2021,3,Tottenham Hotspur,Newcastle United,0,0,1,1,1,2.9,1.0,66,34,Hugo Lloris,4-2-3-1,23,12,0.5217391304347826,0.0,14.7,2,0,0,Jamaal Lascelles,5-4-1,5,0,0.0,0.9166666666666666,19.1,0,1,1,Peter Bankes,2020-09-27,Sun,14:00
45,2021,5,Tottenham Hotspur,West Ham United,0,0,1,3,3,1.7,1.9,50,50,Hugo Lloris,4-2-3-1,11,6,0.5454545454545454,0.25,19.8,1,0,0,Declan Rice,5-4-1,13,4,0.3076923076923077,0.5,15.2,1,0,0,Paul Tierney,2020-10-18,Sun,16:30
66,2021,7,Tottenham Hotspur,Brighton And Hove Albion,1,0,0,2,1,1.7,0.3,44,56,Hugo Lloris,4-2-3-1,8,2,0.25,0.5,18.7,1,1,1,Adam Webster,3-5-1-1,6,2,0.3333333333333333,0.0,16.1,0,0,0,Graham Scott,2020-11-01,Sun,19:15
81,2021,9,Tottenham Hotspur,Manchester City,1,0,0,2,0,0.7,1.4,34,66,Hugo Lloris,4-2-3-1,4,2,0.5,1.0,21.3,1,0,0,Kevin De Bruyne,4-3-3,22,5,0.2272727272727272,0.0,16.0,0,0,0,Mike Dean,2020-11-21,Sat,17:30
105,2021,11,Tottenham Hotspur,Arsenal,1,0,0,2,0,0.3,0.6,31,69,Hugo Lloris,4-2-3-1,5,3,0.6,1.0,23.3,1,0,0,Pierre-Emerick Aubameyang,4-2-3-1,11,2,0.1818181818181818,0.3333333333333333,16.8,1,0,0,Martin Atkinson,2020-12-06,Sun,16:30
133,2021,14,Tottenham Hotspur,Leicester City,0,1,0,0,2,0.7,1.7,56,44,Hugo Lloris,4-2-3-1,8,3,0.375,0.3333333333333333,16.5,2,0,0,Kasper Schmeichel,4-2-3-1,16,3,0.1875,1.0,18.6,0,1,1,Craig Pawson,2020-12-20,Sun,14:15
158,2021,17,Tottenham Hotspur,Leeds United,1,0,0,3,0,2.6,1.1,37,63,Hugo Lloris,4-2-3-1,19,6,0.3157894736842105,1.0,19.0,0,1,1,Luke Ayling,4-1-4-1,18,5,0.2777777777777778,0.5,18.5,0,0,0,David Coote,2021-01-02,Sat,12:30
169,2021,16,Tottenham Hotspur,Fulham,0,0,1,1,1,2.4,1.1,53,47,Hugo Lloris,4-2-3-1,15,6,0.4,0.75,15.7,1,0,0,Joachim Andersen,3-5-2,15,4,0.2666666666666666,0.8333333333333334,17.3,1,0,0,Paul Tierney,2021-01-13,Wed,20:15
195,2021,20,Tottenham Hotspur,Liverpool,0,1,0,1,3,0.1,2.5,50,50,Hugo Lloris,3-4-3,3,2,0.6666666666666666,0.5714285714285714,35.0,0,0,0,Jordan Henderson,4-3-3,14,7,0.5,0.5,15.5,0,0,0,Martin Atkinson,2021-01-28,Thu,20:00
215,2021,22,Tottenham Hotspur,Chelsea,0,1,0,0,1,0.6,1.6,43,58,Hugo Lloris,4-2-2-2,7,2,0.2857142857142857,0.0,20.9,1,0,0,César Azpilicueta,3-4-1-2,15,1,0.0666666666666666,1.0,18.0,0,1,1,Andre Marriner,2021-02-04,Thu,20:00
221,2021,23,Tottenham Hotspur,West Bromwich Albion,1,0,0,2,0,1.5,0.6,65,35,Hugo Lloris,4-2-3-1,13,6,0.4615384615384615,1.0,16.7,0,0,0,Kyle Bartley,4-1-4-1,4,1,0.25,0.6666666666666666,10.7,0,0,0,Stuart Attwell,2021-02-07,Sun,12:00
255,2021,26,Tottenham Hotspur,Burnley,1,0,0,4,0,2.1,0.7,58,42,Hugo Lloris,4-2-3-1,16,7,0.4375,1.0,18.9,0,0,0,Ben Mee,4-4-2,10,3,0.3,0.4285714285714285,19.3,0,0,0,Kevin Friend,2021-02-28,Sun,14:00
273,2021,27,Tottenham Hotspur,Crystal Palace,1,0,0,4,1,2.7,0.5,63,37,Hugo Lloris,4-2-3-1,12,5,0.4166666666666667,0.0,12.5,1,0,0,Luka Milivojević,4-4-2,5,1,0.2,0.2,14.9,0,0,0,Stuart Attwell,2021-03-07,Sun,19:15
307,2021,31,Tottenham Hotspur,Manchester United,0,1,0,1,3,0.9,2.1,47,53,Hugo Lloris,4-3-3,12,3,0.25,0.5714285714285714,16.5,0,0,0,Harry Maguire,4-2-3-1,12,7,0.5833333333333334,0.6666666666666666,15.0,0,0,0,Chris Kavanagh,2021-04-11,Sun,16:30
318,2021,29,Tottenham Hotspur,Southampton,1,0,0,2,1,1.4,0.8,62,38,Hugo Lloris,4-2-3-1,11,2,0.1818181818181818,0.8,19.0,1,1,1,James Ward-Prowse,4-4-2,10,5,0.5,0.0,19.3,0,0,0,David Coote,2021-04-21,Wed,18:00
335,2021,34,Tottenham Hotspur,Sheffield United,1,0,0,4,0,2.2,0.5,66,34,Hugo Lloris,4-2-3-1,20,10,0.5,1.0,19.6,2,0,0,John Egan,3-4-1-2,8,1,0.125,0.6,18.2,0,0,0,Andre Marriner,2021-05-02,Sun,19:15
358,2021,36,Tottenham Hotspur,Wolverhampton Wanderers,1,0,0,2,0,3.2,0.9,62,38,Hugo Lloris,4-2-3-1,24,11,0.4583333333333333,1.0,17.3,1,0,0,Conor Coady,4-2-3-1,15,3,0.2,0.8181818181818182,17.6,0,0,0,Martin Atkinson,2021-05-16,Sun,14:05
366,2021,37,Tottenham Hotspur,Aston Villa,0,1,0,1,2,0.8,1.4,60,40,Hugo Lloris,4-2-3-1,10,4,0.4,0.5,17.6,0,0,0,Jack Grealish,4-2-3-1,20,4,0.2,0.75,17.0,0,0,0,Craig Pawson,2021-05-19,Wed,18:00
390,2022,1,Tottenham Hotspur,Manchester City,1,0,0,1,0,1.0,1.8,35,65,Hugo Lloris,4-3-3,13,2,0.1538461538461538,1.0,20.3,0,0,0,Fernandinho,4-3-3,18,4,0.2222222222222222,0.5,17.3,1,0,0,Anthony Taylor,2021-08-15,Sun,16:30
408,2022,3,Tottenham Hotspur,Watford,1,0,0,1,0,1.0,0.8,57,43,Hugo Lloris,4-3-3,15,8,0.5333333333333333,1.0,18.8,3,0,0,Craig Cathcart,4-1-4-1,9,2,0.2222222222222222,0.875,16.3,1,0,0,Andre Marriner,2021-08-29,Sun,14:00
430,2022,5,Tottenham Hotspur,Chelsea,0,1,0,0,3,0.5,2.1,47,53,Hugo Lloris,4-3-2-1,8,2,0.25,0.6666666666666666,20.0,1,0,0,César Azpilicueta,3-4-3,20,9,0.45,1.0,14.5,0,0,0,Paul Tierney,2021-09-19,Sun,16:30
448,2022,7,Tottenham Hotspur,Aston Villa,1,0,0,2,1,1.3,1.2,56,44,Hugo Lloris,4-2-3-1,17,7,0.4117647058823529,0.6666666666666666,20.5,2,0,0,Tyrone Mings,3-5-2,14,3,0.2142857142857142,0.7142857142857143,18.0,0,0,0,Chris Kavanagh,2021-10-03,Sun,14:00
477,2022,10,Tottenham Hotspur,Manchester United,0,1,0,0,3,1.0,1.5,58,42,Hugo Lloris,4-2-3-1,9,0,0.0,0.25,16.6,1,0,0,Harry Maguire,3-5-2,10,4,0.4,0.0,17.9,0,0,0,Stuart Attwell,2021-10-30,Sat,17:30
500,2022,12,Tottenham Hotspur,Leeds United,1,0,0,2,1,2.1,1.4,43,57,Hugo Lloris,3-4-3,13,4,0.3076923076923077,0.8571428571428571,17.5,1,0,0,Liam Cooper,3-3-3-1,18,7,0.3888888888888889,0.5,21.4,1,0,0,Andre Marriner,2021-11-21,Sun,16:30
518,2022,14,Tottenham Hotspur,Brentford,1,0,0,2,0,1.9,0.3,47,53,Hugo Lloris,3-4-3,11,6,0.5454545454545454,1.0,9.8,0,0,0,Pontus Jansson,3-5-2,6,2,0.3333333333333333,0.6666666666666666,17.1,0,0,0,Jonathan Moss,2021-12-02,Thu,19:30
527,2022,15,Tottenham Hotspur,Norwich City,1,0,0,3,0,1.6,1.2,41,59,Hugo Lloris,3-4-3,17,7,0.4117647058823529,1.0,18.5,0,0,0,Grant Hanley,5-3-2,10,1,0.1,0.5714285714285714,16.2,0,0,0,Jarred Gillett,2021-12-05,Sun,14:00
549,2022,18,Tottenham Hotspur,Liverpool,0,0,1,2,2,3.0,1.1,44,56,Hugo Lloris,5-3-2,10,5,0.5,0.6666666666666666,10.4,0,0,0,James Milner,4-3-3,18,6,0.3333333333333333,0.6,16.7,0,0,0,Paul Tierney,2021-12-19,Sun,16:30
552,2022,19,Tottenham Hotspur,Crystal Palace,1,0,0,3,0,2.3,0.2,60,40,Hugo Lloris,3-4-3,17,6,0.3529411764705882,0.0,14.5,0,0,0,Joel Ward,4-3-3,4,0,0.0,0.5,17.7,0,0,0,Jonathan Moss,2021-12-26,Sun,15:00
600,2022,24,Tottenham Hotspur,Southampton,0,1,0,2,3,1.4,2.2,48,52,Hugo Lloris,3-4-3,8,3,0.375,0.6666666666666666,15.3,0,0,0,James Ward-Prowse,4-4-2,23,9,0.391304347826087,0.3333333333333333,16.8,0,0,0,David Coote,2022-02-09,Wed,19:45
611,2022,25,Tottenham Hotspur,Wolverhampton Wanderers,0,1,0,0,2,1.2,1.3,58,42,Hugo Lloris,3-4-3,17,7,0.4117647058823529,0.7142857142857143,15.9,2,0,0,Conor Coady,3-5-2,11,7,0.6363636363636364,1.0,15.9,0,0,0,Kevin Friend,2022-02-13,Sun,14:00
647,2022,28,Tottenham Hotspur,Everton,1,0,0,5,0,2.5,0.2,55,45,Hugo Lloris,3-4-3,14,7,0.5,0.0,13.5,0,0,0,Séamus Coleman,4-2-3-1,6,0,0.0,0.2857142857142857,22.5,1,0,0,Stuart Attwell,2022-03-07,Mon,20:00
668,2022,30,Tottenham Hotspur,West Ham United,1,0,0,3,1,3.0,0.6,53,47,Hugo Lloris,3-4-3,17,4,0.2352941176470588,0.0,16.6,0,0,0,Declan Rice,3-4-3,6,1,0.1666666666666666,0.25,9.1,0,0,0,Anthony Taylor,2022-03-20,Sun,16:30
677,2022,31,Tottenham Hotspur,Newcastle United,1,0,0,5,1,3.1,0.5,60,40,Hugo Lloris,3-4-3,19,6,0.3157894736842105,0.0,16.0,1,0,0,Jonjo Shelvey,4-3-3,8,1,0.125,0.1666666666666666,18.0,1,0,0,Martin Atkinson,2022-04-03,Sun,16:30
690,2022,33,Tottenham Hotspur,Brighton And Hove Albion,0,1,0,0,1,0.5,0.6,49,51,Hugo Lloris,3-4-3,5,0,0.0,0.75,20.8,0,0,0,Lewis Dunk,3-5-2,12,4,0.3333333333333333,0.0,17.0,0,0,0,Craig Pawson,2022-04-16,Sat,12:30
719,2022,35,Tottenham Hotspur,Leicester City,1,0,0,3,1,1.2,0.5,40,60,Hugo Lloris,3-4-3,13,7,0.5384615384615384,0.5,14.2,0,0,0,Kasper Schmeichel,3-5-2,6,2,0.3333333333333333,0.5714285714285714,20.4,0,0,0,Jonathan Moss,2022-05-01,Sun,14:00
738,2022,22,Tottenham Hotspur,Arsenal,1,0,0,3,0,2.7,0.5,57,43,Hugo Lloris,3-4-3,15,5,0.3333333333333333,1.0,14.3,0,1,1,Martin Ødegaard,4-3-3,9,5,0.5555555555555556,0.4,24.0,0,0,0,Paul Tierney,2022-05-12,Thu,19:45
739,2022,37,Tottenham Hotspur,Burnley,1,0,0,1,0,2.2,0.7,68,32,Hugo Lloris,3-4-3,20,6,0.3,1.0,20.3,0,1,1,Jack Cork,5-3-2,8,1,0.125,0.8333333333333334,15.4,0,0,0,Kevin Friend,2022-05-15,Sun,12:00
763,2023,1,Tottenham Hotspur,Southampton,1,0,0,4,1,1.5,0.5,58,42,Hugo Lloris,3-4-3,18,8,0.4444444444444444,0.5,16.5,0,0,0,James Ward-Prowse,5-3-2,10,2,0.2,0.5,17.1,0,0,0,Andre Marriner,2022-08-06,Sat,15:00
781,2023,3,Tottenham Hotspur,Wolverhampton Wanderers,1,0,0,1,0,1.7,0.7,50,50,Hugo Lloris,3-4-3,11,4,0.3636363636363636,1.0,11.7,0,0,0,Rúben Neves,3-5-2,20,3,0.15,0.75,21.9,1,0,0,Simon Hooper,2022-08-20,Sat,12:30
817,2023,6,Tottenham Hotspur,Fulham,1,0,0,2,1,2.9,0.7,52,48,Hugo Lloris,3-4-3,23,10,0.4347826086956521,0.6666666666666666,15.5,1,0,0,Tim Ream,4-2-3-1,9,3,0.3333333333333333,0.8,17.1,0,0,0,Stuart Attwell,2022-09-03,Sat,15:00
825,2023,8,Tottenham Hotspur,Leicester City,1,0,0,6,2,2.2,1.8,44,56,Hugo Lloris,3-4-3,16,11,0.6875,0.6666666666666666,16.5,0,0,0,Jonny Evans,4-1-4-1,18,6,0.3333333333333333,0.4545454545454545,22.7,0,1,1,Simon Hooper,2022-09-17,Sat,17:30
852,2023,11,Tottenham Hotspur,Everton,1,0,0,2,0,2.2,0.4,62,38,Hugo Lloris,3-4-3,20,6,0.3,0.0,17.2,1,1,1,Séamus Coleman,5-3-2,4,0,0.0,0.6666666666666666,13.5,0,0,0,Paul Tierney,2022-10-15,Sat,17:30
875,2023,13,Tottenham Hotspur,Newcastle United,0,1,0,1,2,1.6,1.2,53,47,Hugo Lloris,3-5-2,17,4,0.2352941176470588,0.6,16.9,0,0,0,Kieran Trippier,4-3-3,13,5,0.3846153846153846,0.75,18.4,0,0,0,Jarred Gillett,2022-10-23,Sun,16:30
896,2023,15,Tottenham Hotspur,Liverpool,0,1,0,1,2,1.2,1.2,47,53,Hugo Lloris,5-3-2,14,5,0.3571428571428571,0.6666666666666666,14.4,0,0,0,Virgil van Dijk,4-1-2-1-2◆,13,6,0.4615384615384615,0.8,21.2,0,0,0,Andy Madley,2022-11-06,Sun,16:30
901,2023,16,Tottenham Hotspur,Leeds United,1,0,0,4,3,1.8,1.1,55,45,Hugo Lloris,3-4-3,14,7,0.5,0.4,14.5,0,0,0,Liam Cooper,4-2-3-1,12,5,0.4166666666666667,0.4285714285714285,16.2,2,0,0,Michael Salisbury,2022-11-12,Sat,15:00
925,2023,18,Tottenham Hotspur,Aston Villa,0,1,0,0,2,0.7,1.0,59,41,Hugo Lloris,3-4-3,6,1,0.1666666666666666,0.5,15.2,1,0,0,John McGinn,4-4-2,13,4,0.3076923076923077,1.0,20.8,1,0,0,John Brooks,2023-01-01,Sun,14:00
947,2023,20,Tottenham Hotspur,Arsenal,0,1,0,0,2,1.6,1.8,51,49,Hugo Lloris,3-4-3,17,7,0.4117647058823529,0.6,16.3,1,0,0,Martin Ødegaard,4-3-3,14,5,0.3571428571428571,1.0,17.9,2,0,0,Craig Pawson,2023-01-15,Sun,16:30
969,2023,22,Tottenham Hotspur,Manchester City,1,0,0,1,0,1.4,1.3,36,64,Hugo Lloris,3-4-3,12,3,0.25,1.0,14.7,0,0,0,Kyle Walker,4-4-2,15,5,0.3333333333333333,0.6666666666666666,17.7,1,0,0,Andy Madley,2023-02-05,Sun,16:30
991,2023,24,Tottenham Hotspur,West Ham United,1,0,0,2,0,1.5,0.5,57,43,Harry Kane,3-4-3,16,6,0.375,1.0,21.5,0,0,0,Declan Rice,3-4-3,6,1,0.1666666666666666,0.6666666666666666,16.0,1,0,0,Michael Oliver,2023-02-19,Sun,16:30
999,2023,25,Tottenham Hotspur,Chelsea,1,0,0,2,0,0.8,0.4,41,59,Harry Kane,3-4-3,8,3,0.375,1.0,16.5,0,0,0,Thiago Silva,4-2-3-1,10,2,0.2,0.3333333333333333,23.8,0,0,0,Stuart Attwell,2023-02-26,Sun,13:30
1014,2023,27,Tottenham Hotspur,Nottingham Forest,1,0,0,3,1,2.0,1.5,55,45,Harry Kane,3-4-3,14,6,0.4285714285714285,0.75,14.8,0,1,1,Joe Worrall,4-3-2-1,8,4,0.5,0.5,15.2,0,0,1,Craig Pawson,2023-03-11,Sat,15:00
1053,2023,30,Tottenham Hotspur,Brighton And Hove Albion,1,0,0,2,1,0.8,1.4,35,65,Hugo Lloris,3-4-3,9,3,0.3333333333333333,0.75,15.2,0,0,0,Lewis Dunk,4-2-3-1,17,4,0.2352941176470588,0.3333333333333333,16.4,0,0,0,Stuart Attwell,2023-04-08,Sat,15:00
1058,2023,31,Tottenham Hotspur,Bournemouth,0,1,0,2,3,2.2,1.3,58,42,Hugo Lloris,3-4-3,24,8,0.3333333333333333,0.5,17.9,1,0,0,Neto,3-4-3,9,6,0.6666666666666666,0.75,17.9,0,0,0,Andy Madley,2023-04-15,Sat,15:00
1084,2023,33,Tottenham Hotspur,Manchester United,0,0,1,2,2,2.5,2.0,40,60,Harry Kane,3-4-3,18,7,0.3888888888888889,0.7142857142857143,16.5,0,0,0,Bruno Fernandes,4-2-3-1,17,7,0.4117647058823529,0.7142857142857143,17.9,2,0,0,Anthony Taylor,2023-04-27,Thu,20:15
1099,2023,35,Tottenham Hotspur,Crystal Palace,1,0,0,1,0,0.9,0.4,56,44,Harry Kane,3-4-3,8,3,0.375,1.0,12.7,0,0,0,Wilfried Zaha,4-3-3,7,2,0.2857142857142857,0.6666666666666666,17.6,1,0,0,Darren England,2023-05-06,Sat,15:00
1119,2023,37,Tottenham Hotspur,Brentford,0,1,0,1,3,1.7,1.2,61,39,Harry Kane,4-4-2,22,7,0.3181818181818182,0.25,15.4,1,0,0,David Raya,4-3-3,11,4,0.3636363636363636,0.8571428571428571,18.1,0,0,0,Jarred Gillett,2023-05-20,Sat,12:30
1155,2024,2,Tottenham Hotspur,Manchester United,1,0,0,2,0,1.7,2.1,55,45,Son Heung-min,4-2-3-1,17,6,0.3529411764705882,1.0,13.8,0,0,0,Bruno Fernandes,4-2-3-1,22,6,0.2727272727272727,0.6666666666666666,15.6,1,0,0,Michael Oliver,2023-08-19,Sat,17:30
1185,2024,5,Tottenham Hotspur,Sheffield United,1,0,0,2,1,2.1,0.7,70,30,Son Heung-min,4-2-3-1,28,10,0.3571428571428571,0.8,16.4,0,0,0,Chris Basham,3-5-2,7,5,0.7142857142857143,0.8,17.6,0,0,0,Peter Bankes,2023-09-16,Sat,15:00
1207,2024,7,Tottenham Hotspur,Liverpool,1,0,0,2,1,2.2,1.3,64,36,Son Heung-min,4-2-3-1,24,8,0.3333333333333333,0.75,19.8,0,0,0,Virgil van Dijk,4-3-3,12,4,0.3333333333333333,0.75,14.9,0,0,0,Simon Hooper,2023-09-30,Sat,17:30
1230,2024,9,Tottenham Hotspur,Fulham,1,0,0,2,0,1.5,1.0,55,45,Son Heung-min,4-2-3-1,15,5,0.3333333333333333,1.0,17.2,0,0,0,Tim Ream,4-2-3-1,10,3,0.3,0.6,17.6,0,0,0,Anthony Taylor,2023-10-23,Mon,20:00
1250,2024,11,Tottenham Hotspur,Chelsea,0,1,0,1,4,0.9,4.1,40,60,Son Heung-min,4-2-3-1,8,5,0.625,0.3333333333333333,23.5,1,0,0,Reece James,4-2-3-1,16,6,0.375,0.8,16.8,0,1,1,Michael Oliver,2023-11-06,Mon,20:00
1268,2024,13,Tottenham Hotspur,Aston Villa,0,1,0,1,2,2.3,1.7,62,38,Son Heung-min,4-2-3-1,18,7,0.3888888888888889,0.6,14.0,0,0,0,John McGinn,4-4-2,15,5,0.3333333333333333,0.8571428571428571,16.6,1,0,0,Robert Jones,2023-11-26,Sun,14:00
1290,2024,15,Tottenham Hotspur,West Ham United,0,1,0,1,2,1.8,2.2,74,26,Son Heung-min,4-2-3-1,23,6,0.2608695652173913,0.6,17.1,1,0,0,Kurt Zouma,4-3-3,11,5,0.4545454545454545,0.8333333333333334,15.0,0,0,0,Michael Salisbury,2023-12-07,Thu,20:15
1300,2024,16,Tottenham Hotspur,Newcastle United,1,0,0,4,1,3.8,1.7,56,44,Son Heung-min,4-2-3-1,22,10,0.4545454545454545,0.6666666666666666,15.5,0,1,1,Jamaal Lascelles,4-3-3,9,3,0.3333333333333333,0.6,14.4,0,0,0,Chris Kavanagh,2023-12-10,Sun,16:30
