ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
228,1.9,0.9,0.3,50.9,11.3,4.2,0.383,0.758,18.97,0.9,0.1,0.1,0.2
243,1.727,1.091,1.1,49.909,10.909,4.091,0.387,0.726,19.145,0.909,0.091,0.091,0.273
264,1.667,1.167,1.6,51.417,11.667,4.083,0.372,0.707,19.167,1.0,0.083,0.083,0.25
284,1.615,1.077,0.4,50.538,11.462,3.923,0.36,0.73,19.146,1.077,0.077,0.077,0.231
290,1.571,1.143,1.8,50.357,11.071,3.857,0.37,0.677,19.129,1.143,0.071,0.071,0.286
296,1.6,1.067,2.7,50.333,10.867,3.733,0.362,0.699,19.107,1.067,0.133,0.133,0.267
311,1.625,1.125,1.4,50.812,10.875,3.75,0.362,0.697,18.912,1.188,0.125,0.125,0.25
339,1.647,1.176,0.9,50.588,10.941,3.706,0.356,0.695,18.935,1.118,0.118,0.118,0.294
371,1.611,1.278,1.5,50.389,10.944,3.667,0.351,0.688,18.817,1.111,0.111,0.111,0.278
398,1.737,1.316,1.7,50.526,10.947,3.684,0.352,0.678,18.558,1.053,0.105,0.105,0.368
411,1.7,1.25,0.1,50.1,10.75,3.75,0.37,0.694,18.36,1.0,0.15,0.15,0.35
439,1.619,1.333,1.0,49.524,10.333,3.619,0.376,0.661,18.395,0.952,0.143,0.143,0.381
459,1.591,1.409,1.7,49.727,10.318,3.636,0.377,0.657,18.3,0.909,0.136,0.136,0.364
468,1.652,1.435,0.7,50.348,10.478,3.652,0.373,0.585,18.283,0.913,0.13,0.13,0.348
487,1.583,1.417,0.7,50.833,10.333,3.667,0.381,0.592,18.262,0.875,0.125,0.125,0.333
557,1.52,1.36,2.3,51.0,10.24,3.52,0.366,0.608,18.312,0.84,0.12,0.12,0.32
565,1.5,1.346,2.2,51.538,10.615,3.769,0.371,0.604,18.215,0.846,0.154,0.154,0.308
583,1.481,1.296,3.1,52.37,11.0,3.963,0.373,0.619,18.193,0.815,0.148,0.148,0.296
594,1.536,1.321,0.5,52.321,11.571,4.107,0.371,0.615,18.129,0.821,0.143,0.143,0.286
622,1.483,1.345,1.4,51.759,11.379,4.069,0.375,0.618,18.076,0.793,0.138,0.138,0.276
626,1.533,1.367,0.7,51.0,11.2,4.1,0.39,0.609,17.973,0.767,0.133,0.133,0.3
630,1.484,1.355,1.9,51.484,11.226,4.032,0.383,0.613,17.955,0.742,0.129,0.129,0.29
654,1.562,1.312,1.5,51.438,11.344,4.219,0.392,0.625,17.838,0.719,0.125,0.125,0.281
662,1.576,1.364,2.2,51.606,11.273,4.121,0.384,0.621,17.897,0.727,0.152,0.152,0.273
685,1.588,1.324,1.1,51.618,11.441,4.206,0.384,0.603,17.929,0.735,0.147,0.147,0.265
706,1.657,1.286,0.6,51.514,11.429,4.229,0.386,0.615,17.954,0.714,0.143,0.143,0.257
728,1.611,1.25,0.9,51.639,11.361,4.111,0.376,0.625,17.919,0.694,0.139,0.139,0.25
753,1.595,1.243,3.4,51.216,11.27,4.081,0.376,0.626,17.908,0.676,0.135,0.135,0.243
779,1.684,1.211,1.0,51.421,11.474,4.289,0.382,0.61,17.829,0.658,0.132,0.132,0.237
800,1.692,1.231,2.4,51.051,11.436,4.308,0.385,0.603,17.715,0.641,0.128,0.128,0.231
808,1.7,1.2,0.6,50.9,11.575,4.325,0.383,0.613,17.765,0.625,0.125,0.15,0.225
828,1.683,1.195,1.6,51.146,11.585,4.293,0.38,0.616,17.741,0.61,0.122,0.146,0.22
842,1.667,1.238,0.8,50.786,11.452,4.238,0.379,0.617,17.793,0.595,0.143,0.167,0.214
864,1.651,1.209,0.6,50.558,11.372,4.209,0.379,0.626,17.814,0.605,0.14,0.163,0.209
879,1.614,1.227,2.0,50.5,11.318,4.159,0.375,0.63,17.748,0.591,0.136,0.159,0.205
907,1.644,1.244,1.1,50.911,11.578,4.222,0.374,0.627,17.689,0.6,0.133,0.156,0.2
935,1.652,1.261,1.4,51.13,11.652,4.304,0.377,0.624,17.733,0.609,0.13,0.152,0.196
949,1.702,1.234,0.8,51.17,11.702,4.34,0.378,0.632,17.7,0.596,0.128,0.149,0.191
959,1.708,1.292,0.9,50.979,11.646,4.312,0.377,0.626,17.675,0.583,0.125,0.146,0.188
975,1.694,1.265,1.3,50.878,11.612,4.286,0.376,0.634,17.661,0.592,0.122,0.143,0.184
1007,1.68,1.32,1.2,50.88,11.6,4.28,0.375,0.628,17.644,0.62,0.12,0.14,0.18
1028,1.647,1.314,2.3,50.941,11.784,4.314,0.374,0.631,17.702,0.647,0.118,0.137,0.176
1040,1.673,1.346,1.4,50.904,11.885,4.288,0.37,0.629,17.665,0.635,0.115,0.135,0.192
1074,1.66,1.34,1.0,51.094,11.792,4.208,0.363,0.633,17.702,0.623,0.132,0.151,0.189
1092,1.648,1.426,2.0,50.963,11.778,4.185,0.361,0.625,17.693,0.611,0.13,0.148,0.185
1112,1.673,1.473,1.4,50.636,11.745,4.218,0.366,0.608,17.736,0.6,0.127,0.145,0.2
1132,1.661,1.482,2.2,50.661,11.607,4.161,0.363,0.606,17.782,0.589,0.143,0.161,0.196
1148,1.702,1.474,1.3,50.614,11.596,4.211,0.368,0.604,17.725,0.579,0.14,0.158,0.193
1161,1.707,1.483,2.1,50.931,11.707,4.241,0.368,0.604,17.757,0.569,0.138,0.155,0.207
1172,1.712,1.458,2.2,51.017,11.797,4.271,0.367,0.611,17.737,0.576,0.136,0.153,0.203
1198,1.767,1.467,1.4,51.05,11.95,4.383,0.37,0.609,17.763,0.567,0.133,0.15,0.2
1211,1.77,1.475,1.9,51.082,11.967,4.393,0.37,0.607,17.734,0.557,0.131,0.148,0.213
1231,1.758,1.452,1.1,51.323,12.016,4.387,0.369,0.614,17.721,0.565,0.129,0.145,0.21
1251,1.762,1.444,0.7,51.698,11.984,4.333,0.364,0.614,17.749,0.571,0.127,0.143,0.206
1280,1.75,1.453,0.5,51.797,11.891,4.297,0.364,0.613,17.745,0.562,0.125,0.141,0.203
1301,1.769,1.477,1.5,51.692,11.831,4.292,0.366,0.607,17.791,0.554,0.123,0.138,0.2
1327,1.773,1.455,2.3,51.909,11.833,4.318,0.368,0.613,17.711,0.545,0.121,0.136,0.197
1343,1.776,1.493,1.2,51.955,11.94,4.299,0.365,0.61,17.673,0.552,0.119,0.134,0.224
1359,1.779,1.5,1.0,52.118,12.0,4.309,0.364,0.601,17.625,0.544,0.118,0.132,0.221
