ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
215,1.5,1.2,0.6,47.3,10.5,4.7,19.66,0.9,0.2,0.2
221,1.364,1.182,1.5,46.909,10.182,4.455,19.773,0.909,0.182,0.182
255,1.417,1.083,2.1,48.417,10.417,4.583,19.517,0.833,0.167,0.167
273,1.615,1.0,2.7,49.154,10.846,4.769,19.469,0.769,0.154,0.154
307,1.786,1.0,0.9,50.143,10.929,4.786,18.971,0.786,0.143,0.143
318,1.733,1.133,1.4,49.933,11.0,4.667,18.807,0.733,0.133,0.133
335,1.75,1.125,2.2,50.688,11.0,4.5,18.819,0.75,0.188,0.188
358,1.882,1.059,3.2,51.588,11.529,4.824,18.865,0.824,0.176,0.176
366,1.889,1.0,0.8,52.167,12.222,5.167,18.778,0.833,0.167,0.167
390,1.842,1.053,1.0,52.579,12.105,5.105,18.716,0.789,0.158,0.158
408,1.8,1.0,1.0,51.7,12.15,4.95,18.795,0.75,0.15,0.15
430,1.762,0.952,0.5,51.952,12.286,5.095,18.795,0.857,0.143,0.143
448,1.682,1.045,1.3,51.727,12.091,4.955,18.85,0.864,0.136,0.136
477,1.696,1.043,1.0,51.913,12.304,5.043,18.922,0.913,0.13,0.13
500,1.625,1.125,2.1,52.167,12.167,4.833,18.825,0.917,0.125,0.125
518,1.64,1.12,1.9,51.8,12.2,4.8,18.772,0.92,0.12,0.12
527,1.654,1.077,1.6,51.615,12.154,4.846,18.427,0.885,0.115,0.115
549,1.704,1.037,3.0,51.222,12.333,4.926,18.43,0.852,0.111,0.111
552,1.714,1.071,2.3,50.964,12.25,4.929,18.143,0.821,0.107,0.107
600,1.759,1.034,1.4,51.276,12.414,4.966,18.017,0.793,0.103,0.103
611,1.767,1.1,1.2,51.167,12.267,4.9,17.927,0.767,0.1,0.1
647,1.71,1.129,2.5,51.387,12.419,4.968,17.861,0.806,0.097,0.097
668,1.812,1.094,3.0,51.5,12.469,5.031,17.725,0.781,0.094,0.094
677,1.848,1.091,3.1,51.545,12.606,5.0,17.691,0.758,0.091,0.091
690,1.941,1.088,0.5,51.794,12.794,5.029,17.641,0.765,0.088,0.088
719,1.886,1.086,1.2,51.714,12.571,4.886,17.731,0.743,0.086,0.086
738,1.917,1.083,2.7,51.389,12.583,4.944,17.633,0.722,0.083,0.083
739,1.946,1.054,2.2,51.541,12.649,4.946,17.543,0.703,0.108,0.108
763,1.921,1.026,1.5,51.974,12.842,4.974,17.616,0.684,0.132,0.132
781,1.974,1.026,1.7,52.128,12.974,5.051,17.587,0.667,0.128,0.128
817,1.95,1.0,2.9,52.075,12.925,5.025,17.44,0.65,0.125,0.125
825,1.951,1.0,2.2,52.073,13.171,5.146,17.393,0.659,0.122,0.122
852,2.048,1.024,2.2,51.881,13.238,5.286,17.371,0.643,0.119,0.119
875,2.047,1.0,1.6,52.116,13.395,5.302,17.367,0.651,0.14,0.14
896,2.023,1.023,1.2,52.136,13.477,5.273,17.357,0.636,0.136,0.136
901,2.0,1.044,1.8,52.022,13.489,5.267,17.291,0.622,0.133,0.133
925,2.043,1.087,0.7,52.087,13.5,5.304,17.23,0.609,0.13,0.13
947,2.0,1.106,1.6,52.234,13.34,5.213,17.187,0.617,0.128,0.128
969,1.958,1.125,1.4,52.208,13.417,5.25,17.169,0.625,0.125,0.125
991,1.939,1.102,1.5,51.878,13.388,5.204,17.118,0.612,0.122,0.122
999,1.94,1.08,0.8,51.98,13.44,5.22,17.206,0.6,0.12,0.12
1014,1.941,1.059,2.0,51.765,13.333,5.176,17.192,0.588,0.118,0.118
1053,1.962,1.058,0.8,51.827,13.346,5.192,17.146,0.577,0.135,0.135
1058,1.962,1.057,2.2,51.509,13.264,5.151,17.109,0.566,0.132,0.132
1084,1.963,1.093,2.5,51.63,13.463,5.204,17.124,0.574,0.13,0.13
1099,1.964,1.109,0.9,51.418,13.545,5.236,17.113,0.564,0.127,0.127
1119,1.946,1.089,1.7,51.5,13.446,5.196,17.034,0.554,0.125,0.125
1155,1.93,1.123,1.7,51.667,13.596,5.228,17.005,0.561,0.123,0.123
1185,1.931,1.103,2.1,51.724,13.655,5.241,16.95,0.552,0.121,0.121
1207,1.932,1.102,2.2,52.034,13.898,5.322,16.941,0.542,0.119,0.119
1230,1.933,1.1,1.5,52.233,14.067,5.367,16.988,0.533,0.117,0.117
1250,1.934,1.082,0.9,52.279,14.082,5.361,16.992,0.525,0.115,0.115
1268,1.919,1.129,2.3,52.081,13.984,5.355,17.097,0.532,0.113,0.113
1290,1.905,1.143,1.8,52.238,14.048,5.381,17.048,0.524,0.111,0.111
1300,1.891,1.156,3.8,52.578,14.188,5.391,17.048,0.531,0.109,0.109
1316,1.923,1.154,1.5,52.631,14.308,5.462,17.025,0.523,0.123,0.123
1336,1.924,1.152,2.3,52.758,14.288,5.47,16.995,0.515,0.121,0.121
1354,1.94,1.149,2.9,52.716,14.254,5.478,16.961,0.507,0.119,0.119
1372,1.956,1.162,1.6,52.926,14.324,5.471,16.922,0.5,0.118,0.118
1380,1.957,1.159,1.6,52.913,14.348,5.478,16.925,0.507,0.116,0.116
1401,1.943,1.171,1.9,53.171,14.357,5.457,16.887,0.5,0.114,0.114
1427,1.958,1.169,2.9,53.521,14.352,5.465,16.839,0.493,0.113,0.113
1453,1.958,1.167,1.5,53.75,14.389,5.417,16.807,0.5,0.111,0.111
1484,1.973,1.164,2.3,53.877,14.425,5.438,16.853,0.507,0.11,0.11
1500,1.973,1.189,2.7,53.986,14.419,5.378,16.853,0.5,0.122,0.122
1508,1.973,1.187,1.7,54.107,14.507,5.427,16.841,0.493,0.12,0.12
1532,1.947,1.197,2.4,54.092,14.447,5.421,16.817,0.487,0.118,0.118
1559,1.974,1.182,0.7,54.299,14.429,5.442,16.782,0.494,0.117,0.117
1563,1.949,1.179,3.5,54.41,14.436,5.436,16.799,0.487,0.115,0.115
1591,1.962,1.177,1.9,54.329,14.544,5.481,16.768,0.481,0.114,0.114
1618,1.988,1.175,2.4,54.362,14.638,5.5,16.756,0.475,0.112,0.112
1628,2.012,1.173,1.5,54.321,14.654,5.506,16.801,0.481,0.111,0.111
1647,2.0,1.183,0.8,54.463,14.683,5.5,16.813,0.476,0.11,0.11
1668,1.988,1.181,2.8,54.422,14.602,5.47,16.822,0.494,0.108,0.108
1689,2.0,1.214,1.3,54.238,14.583,5.464,16.785,0.5,0.107,0.107
1701,2.012,1.271,2.2,54.212,14.518,5.459,16.788,0.494,0.106,0.106
1710,2.012,1.279,0.9,54.14,14.488,5.419,16.778,0.488,0.105,0.116
1746,2.0,1.287,1.0,54.161,14.471,5.402,16.768,0.483,0.103,0.115
1770,1.989,1.295,2.2,54.239,14.477,5.409,16.785,0.489,0.102,0.114
1788,1.978,1.281,1.3,54.247,14.562,5.427,16.769,0.483,0.101,0.112
1798,1.956,1.278,1.5,54.256,14.522,5.433,16.703,0.478,0.1,0.111
1827,1.956,1.286,2.1,54.33,14.484,5.407,16.72,0.473,0.11,0.121
1850,1.967,1.283,2.1,54.293,14.457,5.424,16.69,0.467,0.12,0.13
1877,1.957,1.29,0.7,54.452,14.538,5.419,16.678,0.462,0.118,0.129
1897,1.936,1.298,2.0,54.383,14.468,5.372,16.662,0.468,0.117,0.128
