ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
24,0.0,1.0,2.9,52.0,9.0,5.0,0.556,0.75,12.6,0.0,0.0,0.0,0.0
45,0.5,1.0,1.7,59.0,16.0,8.5,0.539,0.375,13.65,1.0,0.0,0.0,0.5
66,1.333,1.667,1.7,56.0,14.333,7.667,0.541,0.333,15.7,1.0,0.0,0.0,0.333
81,1.5,1.5,0.7,53.0,12.75,6.25,0.468,0.375,16.45,1.0,0.25,0.25,0.25
105,1.6,1.2,0.3,49.2,11.0,5.4,0.475,0.5,17.42,1.0,0.2,0.2,0.2
133,1.667,1.0,0.7,46.167,10.0,5.0,0.495,0.583,18.4,1.0,0.167,0.167,0.167
158,1.429,1.143,2.6,47.571,9.714,4.714,0.478,0.548,18.129,1.143,0.143,0.143,0.286
169,1.625,1.0,2.4,46.25,10.875,4.875,0.458,0.604,18.237,1.0,0.25,0.25,0.25
195,1.556,1.0,0.1,47.0,11.333,5.0,0.452,0.62,17.956,1.0,0.222,0.222,0.222
215,1.5,1.2,0.6,47.3,10.5,4.7,0.473,0.615,19.66,0.9,0.2,0.2,0.2
221,1.364,1.182,1.5,46.909,10.182,4.455,0.456,0.56,19.773,0.909,0.182,0.182,0.273
255,1.417,1.083,2.1,48.417,10.417,4.583,0.456,0.596,19.517,0.833,0.167,0.167,0.25
273,1.615,1.0,2.7,49.154,10.846,4.769,0.455,0.627,19.469,0.769,0.154,0.154,0.231
307,1.786,1.0,0.9,50.143,10.929,4.786,0.452,0.582,18.971,0.786,0.143,0.143,0.214
318,1.733,1.133,1.4,49.933,11.0,4.667,0.439,0.582,18.807,0.733,0.133,0.133,0.2
335,1.75,1.125,2.2,50.688,11.0,4.5,0.423,0.595,18.819,0.75,0.188,0.188,0.188
358,1.882,1.059,3.2,51.588,11.529,4.824,0.427,0.619,18.865,0.824,0.176,0.176,0.176
366,1.889,1.0,0.8,52.167,12.222,5.167,0.429,0.64,18.778,0.833,0.167,0.167,0.167
408,1.0,0.0,1.0,35.0,13.0,2.0,0.154,1.0,20.3,0.0,0.0,0.0,0.0
430,1.0,0.0,0.5,46.0,14.0,5.0,0.344,1.0,19.55,1.5,0.0,0.0,0.0
448,0.667,1.0,1.3,46.333,12.0,4.0,0.312,0.889,19.7,1.333,0.0,0.0,0.0
477,1.0,1.0,1.0,48.75,13.25,4.75,0.337,0.833,19.9,1.5,0.0,0.0,0.0
500,0.8,1.4,2.1,50.6,12.4,3.8,0.27,0.717,19.24,1.4,0.0,0.0,0.0
518,1.0,1.333,1.9,49.333,12.5,3.833,0.276,0.74,18.95,1.333,0.0,0.0,0.0
527,1.143,1.143,1.6,49.0,12.286,4.143,0.315,0.777,17.643,1.143,0.0,0.0,0.0
549,1.375,1.0,3.0,48.0,12.875,4.5,0.327,0.805,17.75,1.0,0.0,0.0,0.0
552,1.444,1.111,2.3,47.556,12.556,4.556,0.346,0.79,16.933,0.889,0.0,0.0,0.0
600,1.6,1.0,1.4,48.8,13.0,4.7,0.347,0.711,16.69,0.8,0.0,0.0,0.0
611,1.636,1.182,1.2,48.727,12.545,4.545,0.349,0.707,16.564,0.727,0.0,0.0,0.0
647,1.5,1.25,2.5,49.5,12.917,4.75,0.354,0.707,16.508,0.833,0.0,0.0,0.0
668,1.769,1.154,3.0,49.923,13.0,4.923,0.366,0.653,16.277,0.769,0.0,0.0,0.0
677,1.857,1.143,3.1,50.143,13.286,4.857,0.356,0.606,16.3,0.714,0.0,0.0,0.0
690,2.067,1.133,0.5,50.8,13.667,4.933,0.354,0.566,16.28,0.733,0.0,0.0,0.0
719,1.938,1.125,1.2,50.688,13.125,4.625,0.332,0.577,16.562,0.688,0.0,0.0,0.0
738,2.0,1.118,2.7,50.059,13.118,4.765,0.344,0.573,16.424,0.647,0.0,0.0,0.0
739,2.056,1.056,2.2,50.444,13.222,4.778,0.343,0.597,16.306,0.611,0.056,0.056,0.0
781,4.0,1.0,1.7,58.0,18.0,8.0,0.444,0.5,16.5,0.0,0.0,0.0,0.0
817,2.5,0.5,2.9,54.0,14.5,6.0,0.404,0.75,14.1,0.0,0.0,0.0,0.0
825,2.333,0.667,2.2,53.333,17.333,7.333,0.414,0.722,14.567,0.333,0.0,0.0,0.0
852,3.25,1.0,2.2,51.0,17.0,8.25,0.483,0.708,15.05,0.25,0.0,0.0,0.25
875,3.0,0.8,1.6,53.2,17.6,7.8,0.446,0.567,15.48,0.4,0.2,0.2,0.2
896,2.667,1.0,1.2,53.167,17.5,7.167,0.411,0.572,15.717,0.333,0.167,0.167,0.167
901,2.429,1.143,1.8,52.286,17.0,6.857,0.403,0.586,15.529,0.286,0.143,0.143,0.143
925,2.625,1.375,0.7,52.625,16.625,6.875,0.415,0.562,15.4,0.25,0.125,0.125,0.125
947,2.333,1.444,1.6,53.333,15.444,6.222,0.388,0.556,15.378,0.333,0.111,0.111,0.111
969,2.1,1.5,1.4,53.1,15.6,6.3,0.39,0.56,15.47,0.4,0.1,0.1,0.1
991,2.0,1.364,1.5,51.545,15.273,6.0,0.377,0.6,15.4,0.364,0.091,0.091,0.091
999,2.0,1.25,0.8,52.0,15.333,6.0,0.377,0.633,15.908,0.333,0.083,0.083,0.083
1014,2.0,1.154,2.0,51.154,14.769,5.769,0.377,0.662,15.954,0.308,0.077,0.077,0.077
1053,2.071,1.143,0.8,51.429,14.714,5.786,0.381,0.668,15.871,0.286,0.143,0.143,0.143
1058,2.067,1.133,2.2,50.333,14.333,5.6,0.378,0.673,15.827,0.267,0.133,0.133,0.133
1084,2.062,1.25,2.5,50.812,14.938,5.75,0.375,0.662,15.956,0.312,0.125,0.125,0.125
1099,2.059,1.294,0.9,50.176,15.118,5.824,0.376,0.666,15.988,0.294,0.118,0.118,0.118
1119,2.0,1.222,1.7,50.5,14.722,5.667,0.376,0.684,15.806,0.278,0.111,0.111,0.111
1185,2.0,0.0,2.1,55.0,17.0,6.0,0.353,1.0,13.8,0.0,0.0,0.0,0.0
1207,2.0,0.5,2.2,62.5,22.5,8.0,0.355,0.9,15.1,0.0,0.0,0.0,0.0
1230,2.0,0.667,1.5,63.0,23.0,8.0,0.348,0.85,16.667,0.0,0.0,0.0,0.0
1250,2.0,0.5,0.9,61.0,21.0,7.25,0.344,0.888,16.8,0.0,0.0,0.0,0.0
1268,1.8,1.2,2.3,56.8,18.4,6.8,0.4,0.777,18.14,0.2,0.0,0.0,0.2
1290,1.667,1.333,1.8,57.667,18.333,6.833,0.398,0.747,17.45,0.167,0.0,0.0,0.167
1300,1.571,1.429,3.8,60.0,19.0,6.714,0.379,0.726,17.4,0.286,0.0,0.0,0.143
