ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
228,1.9,0.9,0.3,50.9,11.3,4.2,18.97,0.9,0.1,0.1
243,1.4,1.0,1.1,50.0,11.1,3.9,19.32,1.0,0.1,0.1
264,0.9,1.1,1.6,50.7,11.0,3.6,19.62,1.1,0.0,0.0
284,0.9,1.1,0.4,48.6,11.0,3.5,20.06,1.3,0.0,0.0
290,0.9,1.3,1.8,47.6,9.7,3.3,20.2,1.4,0.0,0.0
296,1.1,1.3,2.7,48.6,10.0,3.4,19.7,1.3,0.1,0.1
311,1.2,1.4,1.4,48.8,9.7,3.2,19.26,1.3,0.1,0.1
339,1.3,1.4,0.9,51.0,10.1,3.3,19.27,1.2,0.1,0.1
371,1.3,1.6,1.5,51.2,10.6,3.3,19.23,1.2,0.1,0.1
398,1.4,1.7,1.7,50.8,10.3,3.2,18.41,1.2,0.1,0.1
411,1.5,1.6,0.1,49.3,10.2,3.3,17.75,1.1,0.2,0.2
439,1.5,1.6,1.0,49.1,9.7,3.1,17.57,1.0,0.2,0.2
459,1.5,1.7,1.7,47.7,8.7,3.1,17.26,0.8,0.2,0.2
468,1.7,1.9,0.7,50.1,9.2,3.3,17.16,0.7,0.2,0.2
487,1.6,1.8,0.7,51.5,9.3,3.4,17.05,0.5,0.2,0.2
557,1.4,1.8,2.3,52.0,9.3,3.2,17.12,0.5,0.1,0.1
565,1.3,1.7,2.2,52.7,10.2,3.8,17.1,0.3,0.2,0.2
583,1.2,1.5,3.1,55.4,11.1,4.4,16.93,0.3,0.2,0.2
594,1.4,1.4,0.5,55.8,12.7,4.9,16.89,0.3,0.2,0.2
622,1.0,1.4,1.4,54.1,12.2,4.8,17.16,0.3,0.2,0.2
626,1.2,1.6,0.7,52.8,12.1,4.8,17.2,0.3,0.1,0.1
630,1.2,1.4,1.9,55.6,13.1,4.9,17.03,0.3,0.1,0.1
654,1.5,1.1,1.5,55.2,13.6,5.5,16.82,0.3,0.1,0.1
