ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
105,2.1,0.9,0.3,51.5,11.8,4.9,0.417,0.617,17.67,0.8,0.2,0.2,0.3
114,2.3,0.8,0.9,49.4,11.4,4.7,0.421,0.642,18.74,0.9,0.2,0.2,0.3
123,1.9,0.7,1.1,50.1,11.9,4.7,0.398,0.655,19.04,1.2,0.2,0.2,0.2
133,1.9,0.8,0.7,46.0,10.4,3.7,0.37,0.737,19.49,1.1,0.2,0.2,0.1
147,1.3,0.9,0.4,45.5,9.1,3.3,0.375,0.77,19.5,1.2,0.1,0.1,0.1
158,1.1,0.7,2.6,45.0,8.6,3.0,0.37,0.828,19.24,1.2,0.1,0.1,0.1
169,1.3,0.7,2.4,42.6,9.6,3.3,0.368,0.828,19.69,1.2,0.2,0.2,0.1
176,1.2,0.7,1.0,43.5,10.3,3.7,0.383,0.853,19.39,1.2,0.1,0.1,0.1
195,1.4,0.8,0.1,43.4,9.8,3.7,0.393,0.833,19.85,1.1,0.1,0.1,0.1
205,1.3,1.1,0.4,45.0,9.7,3.7,0.409,0.791,21.22,1.0,0.1,0.1,0.1
215,1.3,1.2,0.6,46.7,10.0,4.0,0.439,0.757,20.96,1.0,0.1,0.1,0.1
221,1.1,1.3,1.5,47.9,10.2,3.9,0.408,0.657,20.72,1.0,0.1,0.1,0.2
228,1.2,1.2,0.3,48.8,10.1,3.9,0.411,0.677,20.35,0.7,0.1,0.1,0.2
243,1.1,1.3,1.1,50.3,10.0,4.0,0.429,0.635,20.52,0.7,0.1,0.1,0.3
255,1.2,1.3,2.1,51.5,11.2,4.1,0.412,0.652,20.81,0.7,0.1,0.1,0.2
264,1.5,1.2,1.6,52.8,12.2,4.5,0.405,0.669,20.98,0.6,0.1,0.1,0.2
273,1.3,1.2,2.7,53.1,11.2,4.1,0.396,0.669,20.97,0.8,0.0,0.0,0.2
284,1.6,1.2,0.4,54.1,10.9,4.0,0.398,0.594,20.65,0.8,0.0,0.0,0.2
290,1.4,1.3,1.8,53.2,10.1,3.8,0.412,0.514,20.33,1.0,0.0,0.0,0.3
296,1.5,1.0,2.7,53.2,10.6,3.8,0.37,0.557,18.71,1.0,0.1,0.1,0.3
307,1.7,1.1,0.9,53.3,10.9,3.8,0.357,0.557,18.19,1.2,0.1,0.1,0.3
311,1.8,1.3,1.4,53.7,11.4,3.9,0.353,0.614,17.75,1.1,0.1,0.1,0.2
318,1.8,1.5,1.4,51.9,11.3,3.6,0.332,0.58,18.01,1.1,0.1,0.1,0.3
335,2.0,1.3,2.2,54.1,11.7,3.5,0.307,0.62,17.82,1.1,0.2,0.2,0.2
339,2.3,1.1,0.9,53.9,11.7,4.1,0.337,0.67,17.84,1.1,0.2,0.2,0.2
358,2.0,1.4,3.2,52.8,11.2,3.7,0.321,0.628,17.63,1.2,0.2,0.2,0.2
366,2.1,1.4,0.8,55.0,12.7,4.6,0.344,0.628,17.47,1.1,0.2,0.2,0.2
371,1.8,1.5,1.5,54.7,12.5,4.5,0.343,0.678,17.98,1.0,0.2,0.2,0.2
390,2.1,1.5,1.0,55.2,13.0,4.6,0.329,0.728,17.48,0.8,0.2,0.2,0.3
398,2.0,1.5,1.7,53.7,13.5,4.6,0.319,0.728,17.63,0.8,0.1,0.1,0.3
408,1.9,1.3,1.0,52.1,13.1,4.7,0.354,0.761,17.49,0.5,0.2,0.2,0.3
411,1.9,1.0,0.1,53.1,13.4,5.2,0.383,0.804,17.72,0.8,0.2,0.2,0.3
430,1.7,1.1,0.5,52.2,12.4,5.0,0.408,0.737,17.7,0.8,0.2,0.2,0.3
439,1.5,1.3,1.0,50.7,12.1,5.0,0.415,0.724,17.8,0.8,0.1,0.1,0.3
448,1.2,1.6,1.3,49.5,11.1,4.4,0.405,0.681,17.47,0.6,0.1,0.1,0.3
459,1.3,1.4,1.7,50.4,11.7,4.8,0.419,0.69,17.84,0.7,0.1,0.1,0.3
468,1.4,1.6,0.7,50.6,10.7,4.1,0.401,0.49,17.9,0.7,0.1,0.1,0.3
477,1.3,1.5,1.0,50.8,10.4,4.1,0.418,0.515,17.92,0.7,0.1,0.1,0.3
487,0.9,1.6,0.7,51.3,10.2,3.7,0.382,0.49,18.19,0.8,0.1,0.1,0.1
500,0.8,1.6,2.1,53.3,9.7,3.5,0.367,0.49,18.11,0.8,0.1,0.1,0.1
518,0.9,1.7,1.9,53.4,10.3,3.4,0.326,0.476,18.4,0.9,0.0,0.0,0.1
527,1.0,1.7,1.6,52.4,9.9,3.2,0.327,0.476,17.5,0.6,0.0,0.0,0.1
549,1.3,1.4,3.0,52.7,11.4,3.8,0.318,0.576,17.44,0.6,0.0,0.0,0.0
552,1.5,1.3,2.3,52.4,11.6,4.1,0.343,0.576,16.48,0.5,0.0,0.0,0.0
557,1.7,1.0,2.3,53.0,12.3,4.3,0.339,0.519,16.3,0.5,0.0,0.0,0.0
565,1.6,1.0,2.2,53.9,12.6,4.6,0.347,0.502,15.83,0.4,0.1,0.1,0.0
583,1.4,0.8,3.1,54.9,13.3,5.1,0.362,0.702,15.8,0.3,0.1,0.1,0.0
594,1.7,0.9,0.5,53.8,15.3,5.5,0.334,0.677,15.66,0.4,0.1,0.1,0.0
600,1.7,0.8,1.4,51.6,15.0,5.8,0.384,0.724,15.66,0.3,0.1,0.1,0.0
611,1.9,1.1,1.2,50.9,15.0,6.1,0.422,0.69,15.24,0.3,0.1,0.1,0.0
622,1.7,1.2,1.4,52.4,15.4,6.4,0.432,0.676,15.08,0.4,0.1,0.1,0.0
626,1.8,1.4,0.7,50.6,14.9,6.3,0.461,0.61,15.6,0.4,0.1,0.1,0.1
630,1.5,1.5,1.9,53.1,14.4,5.8,0.436,0.585,15.49,0.4,0.1,0.1,0.1
647,1.7,1.3,2.5,53.7,14.9,6.3,0.453,0.618,15.87,0.4,0.1,0.1,0.1
654,1.9,1.3,1.5,53.2,14.6,6.4,0.468,0.618,15.77,0.4,0.1,0.1,0.1
662,2.0,1.5,2.2,52.4,13.5,5.5,0.429,0.618,16.17,0.4,0.1,0.1,0.1
668,2.1,1.5,3.0,50.2,13.1,5.3,0.427,0.518,16.31,0.5,0.1,0.1,0.1
677,2.1,1.4,3.1,50.4,12.1,4.9,0.421,0.468,16.33,0.4,0.1,0.1,0.1
685,2.6,1.3,1.1,52.8,13.4,5.2,0.403,0.396,16.27,0.5,0.1,0.1,0.1
690,2.8,1.0,0.5,52.8,13.7,5.4,0.411,0.43,16.62,0.5,0.1,0.1,0.1
706,2.8,0.9,0.6,51.9,12.5,4.7,0.37,0.433,17.11,0.3,0.1,0.1,0.1
719,2.5,0.7,1.2,54.6,12.8,4.2,0.286,0.5,17.28,0.3,0.1,0.1,0.0
728,2.8,0.7,0.9,52.0,12.9,4.7,0.323,0.475,16.96,0.3,0.1,0.1,0.0
738,2.5,0.8,2.7,50.6,12.2,4.0,0.294,0.442,17.29,0.3,0.1,0.1,0.0
739,2.3,0.8,2.2,50.8,12.3,3.8,0.278,0.542,17.37,0.3,0.2,0.2,0.0
753,2.2,0.5,3.4,51.9,13.4,4.3,0.296,0.592,17.42,0.2,0.2,0.2,0.0
763,2.5,0.5,1.5,52.6,13.6,4.8,0.318,0.592,17.01,0.1,0.2,0.2,0.0
