ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
408,0.0,2.0,0.8,44.0,10.0,1.0,0.1,0.333,19.3,0.0,0.0,0.0,0.0
426,0.0,1.5,2.4,43.5,9.5,1.5,0.161,0.604,17.8,0.5,0.0,0.0,0.0
445,1.0,1.333,0.2,46.0,10.333,3.667,0.33,0.669,16.367,0.333,0.0,0.0,0.0
465,0.75,1.25,3.7,43.0,9.0,3.0,0.297,0.669,17.125,0.25,0.0,0.0,0.0
489,1.6,1.4,0.5,44.6,11.2,4.0,0.318,0.635,17.54,0.2,0.0,0.0,0.0
506,1.333,1.333,2.8,43.833,10.5,3.5,0.289,0.662,17.9,0.167,0.0,0.0,0.167
530,1.429,1.714,0.5,43.857,11.286,3.571,0.283,0.639,17.686,0.286,0.143,0.143,0.143
578,1.375,1.75,1.4,43.0,10.625,3.375,0.289,0.622,17.338,0.375,0.125,0.125,0.25
595,1.333,1.667,0.8,43.556,11.444,3.556,0.288,0.553,17.556,0.556,0.111,0.111,0.222
597,1.2,1.5,0.3,43.9,11.4,3.7,0.305,0.597,17.43,0.5,0.1,0.1,0.2
621,1.091,1.455,1.2,43.182,10.909,3.455,0.292,0.589,17.9,0.455,0.091,0.091,0.182
633,1.083,1.333,0.6,43.0,10.667,3.5,0.31,0.623,17.917,0.417,0.083,0.083,0.167
648,1.0,1.231,0.6,42.231,10.615,3.385,0.301,0.652,18.208,0.385,0.077,0.077,0.154
656,0.929,1.429,1.7,41.643,10.5,3.143,0.28,0.62,18.464,0.5,0.071,0.071,0.143
669,1.0,1.4,0.6,41.333,10.4,3.267,0.298,0.634,18.36,0.467,0.067,0.067,0.133
705,0.938,1.438,0.5,40.438,10.062,3.188,0.304,0.594,18.169,0.438,0.062,0.062,0.188
724,0.941,1.647,0.4,39.647,9.765,3.118,0.31,0.576,17.953,0.412,0.059,0.059,0.235
759,0.889,1.611,0.6,39.278,9.556,3.0,0.302,0.59,17.939,0.389,0.056,0.056,0.278
