ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
396,3.0,2.0,0.5,38.0,13.0,7.0,0.538,-1.0,17.9,0.0,0.0,0.0,1.0
408,1.5,2.0,0.8,41.0,11.5,4.0,0.319,-0.333,18.6,0.0,0.0,0.0,0.5
417,1.0,1.667,0.2,41.667,10.667,3.333,0.287,0.069,17.833,0.333,0.0,0.0,0.333
426,0.75,1.75,2.4,42.5,9.5,3.0,0.299,0.202,19.15,0.25,0.0,0.0,0.25
435,1.2,1.6,0.9,44.2,10.0,4.0,0.372,0.322,18.02,0.2,0.0,0.0,0.2
445,1.167,1.5,0.2,45.667,10.833,4.0,0.355,0.407,18.55,0.333,0.0,0.0,0.167
451,1.0,1.429,0.5,44.0,10.0,3.571,0.332,0.444,18.671,0.286,0.0,0.0,0.143
465,0.875,1.875,3.7,41.625,9.5,3.375,0.333,0.435,18.612,0.25,0.0,0.0,0.125
476,1.333,1.889,1.0,42.667,10.667,3.889,0.34,0.443,18.678,0.222,0.0,0.0,0.111
489,1.2,1.8,0.5,42.4,10.6,3.8,0.336,0.398,18.83,0.3,0.0,0.0,0.1
493,1.091,1.727,2.7,42.182,10.273,3.545,0.319,0.435,18.909,0.273,0.0,0.0,0.182
506,1.333,1.667,2.8,41.917,11.0,3.75,0.318,0.454,18.658,0.417,0.0,0.083,0.167
513,1.385,1.846,1.0,42.077,11.385,3.769,0.313,0.458,18.485,0.462,0.077,0.154,0.154
524,1.357,1.857,0.8,42.714,11.571,3.929,0.321,0.461,18.693,0.571,0.071,0.143,0.143
530,1.333,1.933,0.5,41.4,11.533,3.933,0.324,0.48,18.753,0.6,0.067,0.133,0.133
558,1.312,1.938,1.6,41.125,11.188,3.812,0.325,0.481,18.512,0.625,0.062,0.125,0.188
565,1.294,2.059,0.3,41.235,11.353,3.882,0.327,0.465,18.318,0.588,0.059,0.118,0.235
578,1.222,2.0,1.4,40.389,11.056,3.889,0.345,0.488,18.356,0.611,0.056,0.111,0.222
585,1.211,1.947,1.2,40.789,11.421,3.947,0.342,0.463,18.405,0.684,0.053,0.105,0.211
595,1.15,2.0,0.8,42.1,11.6,3.9,0.335,0.414,18.44,0.65,0.05,0.1,0.2
597,1.095,1.905,0.3,42.333,11.571,3.952,0.341,0.442,18.338,0.619,0.048,0.095,0.19
607,1.045,1.864,0.5,42.045,11.318,3.818,0.333,0.445,18.532,0.591,0.045,0.091,0.182
621,1.0,1.87,1.2,41.783,11.217,3.696,0.323,0.452,18.483,0.609,0.043,0.087,0.174
625,1.0,1.792,1.4,41.75,11.083,3.708,0.33,0.475,18.467,0.583,0.042,0.083,0.167
633,1.0,1.88,0.6,41.92,10.96,3.6,0.322,0.464,18.26,0.56,0.04,0.08,0.16
645,0.962,1.808,1.0,41.577,10.923,3.538,0.317,0.484,18.392,0.538,0.038,0.077,0.154
648,1.0,1.852,0.6,41.667,11.0,3.667,0.326,0.476,18.415,0.593,0.037,0.074,0.148
656,0.964,1.929,1.7,41.393,10.929,3.536,0.314,0.466,18.536,0.643,0.036,0.071,0.143
669,1.0,1.897,0.6,41.241,10.862,3.586,0.322,0.478,18.479,0.621,0.034,0.069,0.138
682,0.967,1.9,1.1,40.767,10.667,3.533,0.325,0.462,18.373,0.6,0.033,0.067,0.167
693,0.935,1.935,1.7,41.032,10.581,3.452,0.318,0.46,18.619,0.613,0.032,0.065,0.161
705,0.938,1.938,0.5,41.312,10.812,3.469,0.315,0.465,18.547,0.656,0.031,0.062,0.156
714,0.939,2.03,1.0,40.879,10.636,3.424,0.318,0.459,18.424,0.636,0.03,0.061,0.182
724,0.941,2.029,0.4,41.059,10.706,3.353,0.311,0.465,18.338,0.647,0.029,0.059,0.176
735,0.914,2.0,0.3,40.829,10.571,3.286,0.307,0.476,18.32,0.629,0.029,0.057,0.2
742,0.889,1.944,1.4,41.028,10.444,3.194,0.298,0.49,18.367,0.639,0.028,0.056,0.194
759,0.892,2.027,0.6,41.027,10.514,3.243,0.301,0.485,18.205,0.622,0.027,0.054,0.189
