ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
489,1.2,1.8,0.5,42.4,10.6,3.8,0.336,0.398,18.83,0.3,0.0,0.0,0.1
493,0.9,1.7,2.7,42.6,10.0,3.2,0.297,0.578,19.01,0.3,0.0,0.0,0.1
506,1.3,1.6,2.8,42.1,10.9,3.7,0.318,0.612,18.67,0.5,0.0,0.1,0.1
513,1.5,1.9,1.0,42.2,11.6,3.9,0.321,0.574,18.68,0.5,0.1,0.2,0.1
524,1.6,1.9,0.8,42.8,12.4,4.3,0.33,0.564,18.51,0.7,0.1,0.2,0.1
530,1.4,2.1,0.5,40.0,12.3,3.9,0.3,0.559,19.12,0.8,0.1,0.2,0.1
558,1.4,2.2,1.6,38.4,11.4,3.7,0.307,0.526,18.49,0.8,0.1,0.2,0.2
565,1.5,2.5,0.3,39.3,12.3,4.1,0.322,0.479,18.07,0.8,0.1,0.2,0.3
578,1.5,2.1,1.4,39.4,12.3,4.3,0.356,0.531,18.15,0.9,0.1,0.2,0.3
585,1.1,2.0,1.2,39.1,12.1,4.0,0.344,0.481,18.16,1.1,0.1,0.2,0.3
595,1.1,2.2,0.8,41.8,12.6,4.0,0.334,0.431,18.05,1.0,0.1,0.2,0.3
597,1.1,2.1,0.3,42.5,13.0,4.4,0.365,0.451,17.71,1.0,0.1,0.2,0.2
607,0.7,2.1,0.5,42.2,11.7,3.9,0.35,0.434,18.38,0.8,0.1,0.1,0.2
621,0.5,1.9,1.2,41.4,11.0,3.6,0.336,0.444,18.48,0.8,0.0,0.0,0.2
625,0.5,1.7,1.4,40.4,10.4,3.4,0.343,0.494,18.15,0.6,0.0,0.0,0.2
633,0.5,1.8,0.6,42.7,10.1,3.1,0.319,0.439,17.52,0.5,0.0,0.0,0.2
645,0.4,1.6,1.0,42.3,10.5,3.1,0.306,0.489,18.2,0.4,0.0,0.0,0.1
648,0.5,1.5,0.6,42.4,10.4,3.3,0.324,0.494,18.58,0.6,0.0,0.0,0.0
656,0.5,1.8,1.7,43.2,10.7,2.9,0.257,0.425,18.86,0.7,0.0,0.0,0.0
669,0.6,1.8,0.6,42.1,9.8,2.9,0.285,0.508,18.62,0.5,0.0,0.0,0.0
682,0.6,1.7,1.1,38.1,8.8,2.8,0.305,0.558,18.24,0.5,0.0,0.0,0.1
693,0.6,2.0,1.7,38.3,8.5,2.4,0.272,0.498,19.21,0.6,0.0,0.0,0.1
705,0.7,2.1,0.5,39.7,9.7,2.7,0.278,0.508,18.58,0.8,0.0,0.0,0.1
714,0.8,2.4,1.0,38.8,9.3,2.8,0.307,0.477,18.29,0.7,0.0,0.0,0.2
724,0.8,2.6,0.4,39.4,9.8,2.5,0.264,0.444,18.03,0.8,0.0,0.0,0.2
735,0.7,2.3,0.3,38.1,9.6,2.5,0.268,0.507,18.47,0.8,0.0,0.0,0.3
742,0.7,2.3,1.4,39.6,9.2,2.3,0.248,0.507,18.3,0.9,0.0,0.0,0.3
759,0.6,2.5,0.6,39.3,9.2,2.1,0.233,0.51,17.64,0.7,0.0,0.0,0.3
