ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
5,2021,1,West Bromwich Albion,Leicester City,0,1,0,0,3,0.4,2.8,36,64,Jake Livermore,5-4-1,7,1,18.4,1,0,0,Kasper Schmeichel,4-1-4-1,11,5,19.3,1,2,2,Anthony Taylor,2020-09-13,Sun,14:00
9,2021,2,Everton,West Bromwich Albion,1,0,0,5,2,3.9,0.3,71,29,Séamus Coleman,4-3-3,17,7,12.0,1,0,0,Jake Livermore,5-4-1,6,4,22.2,1,0,0,Mike Dean,2020-09-19,Sat,12:30
21,2021,3,West Bromwich Albion,Chelsea,0,0,1,3,3,0.6,2.0,25,75,Jake Livermore,5-4-1,9,3,20.7,0,0,0,Thiago Silva,4-2-3-1,22,10,19.4,1,0,0,Jonathan Moss,2020-09-26,Sat,17:30
34,2021,4,Southampton,West Bromwich Albion,1,0,0,2,0,1.2,0.2,62,38,James Ward-Prowse,4-4-2,13,7,17.9,0,0,0,Jake Livermore,4-2-3-1,5,2,20.6,0,0,0,Chris Kavanagh,2020-10-04,Sun,12:00
47,2021,5,West Bromwich Albion,Burnley,0,0,1,0,0,0.8,1.1,57,43,Jake Livermore,4-1-4-1,13,6,17.3,0,0,0,Ashley Westwood,4-4-2,9,4,16.1,1,0,0,Anthony Taylor,2020-10-19,Mon,17:30
57,2021,6,Brighton And Hove Albion,West Bromwich Albion,0,0,1,1,1,0.5,0.4,50,50,Adam Webster,3-4-3,5,3,18.4,0,0,0,Jake Livermore,4-1-4-1,9,3,21.9,0,0,0,Jonathan Moss,2020-10-26,Mon,17:30
67,2021,7,Fulham,West Bromwich Albion,1,0,0,2,0,1.5,0.5,47,53,Tom Cairney,4-2-3-1,13,4,18.8,0,0,0,Jake Livermore,4-1-4-1,10,1,21.4,1,0,0,Simon Hooper,2020-11-02,Mon,17:30
75,2021,8,West Bromwich Albion,Tottenham Hotspur,0,1,0,0,1,0.8,1.9,42,58,Jake Livermore,5-3-2,12,2,18.1,0,0,0,Harry Kane,4-2-3-1,19,5,17.5,1,0,0,Andy Madley,2020-11-08,Sun,12:00
82,2021,9,Manchester United,West Bromwich Albion,1,0,0,1,0,2.4,0.6,63,37,Harry Maguire,4-2-3-1,16,6,18.4,1,1,1,Kyle Bartley,5-4-1,7,2,15.2,0,0,0,David Coote,2020-11-21,Sat,20:00
93,2021,10,West Bromwich Albion,Sheffield United,1,0,0,1,0,1.2,2.9,49,51,Kyle Bartley,3-4-1-2,17,6,17.1,1,0,0,John Egan,3-5-2,21,5,15.0,0,0,0,Mike Dean,2020-11-28,Sat,20:00
