ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
9,2021,2,Everton,West Bromwich Albion,1,0,0,5,2,3.9,0.3,71,29,Séamus Coleman,4-3-3,17,7,12.0,1,0,0,Jake Livermore,5-4-1,6,4,22.2,1,0,0,Mike Dean,2020-09-19,Sat,12:30
34,2021,4,Southampton,West Bromwich Albion,1,0,0,2,0,1.2,0.2,62,38,James Ward-Prowse,4-4-2,13,7,17.9,0,0,0,Jake Livermore,4-2-3-1,5,2,20.6,0,0,0,Chris Kavanagh,2020-10-04,Sun,12:00
57,2021,6,Brighton And Hove Albion,West Bromwich Albion,0,0,1,1,1,0.5,0.4,50,50,Adam Webster,3-4-3,5,3,18.4,0,0,0,Jake Livermore,4-1-4-1,9,3,21.9,0,0,0,Jonathan Moss,2020-10-26,Mon,17:30
67,2021,7,Fulham,West Bromwich Albion,1,0,0,2,0,1.5,0.5,47,53,Tom Cairney,4-2-3-1,13,4,18.8,0,0,0,Jake Livermore,4-1-4-1,10,1,21.4,1,0,0,Simon Hooper,2020-11-02,Mon,17:30
82,2021,9,Manchester United,West Bromwich Albion,1,0,0,1,0,2.4,0.6,63,37,Harry Maguire,4-2-3-1,16,6,18.4,1,1,1,Kyle Bartley,5-4-1,7,2,15.2,0,0,0,David Coote,2020-11-21,Sat,20:00
110,2021,12,Newcastle United,West Bromwich Albion,1,0,0,2,1,0.8,0.6,46,54,Jonjo Shelvey,4-4-2,12,6,16.7,0,0,0,Branislav Ivanović,3-5-2,13,3,23.1,1,0,0,Darren England,2020-12-12,Sat,15:00
119,2021,13,Manchester City,West Bromwich Albion,0,0,1,1,1,2.2,0.4,77,23,Kevin De Bruyne,4-2-3-1,26,7,17.1,2,0,0,Jake Livermore,4-1-4-1,5,1,19.7,0,0,0,Peter Bankes,2020-12-15,Tue,20:00
146,2021,15,Liverpool,West Bromwich Albion,0,0,1,1,1,1.5,0.6,77,23,Jordan Henderson,4-3-3,17,2,19.2,2,0,0,Matt Phillips,4-5-1,5,3,17.5,0,0,0,Kevin Friend,2020-12-27,Sun,16:30
171,2021,19,Wolverhampton Wanderers,West Bromwich Albion,0,1,0,2,3,1.5,2.4,67,33,Conor Coady,4-3-3,23,6,17.2,1,0,0,Jake Livermore,4-2-3-1,10,3,20.1,0,2,2,Michael Oliver,2021-01-16,Sat,12:30
180,2021,18,West Ham United,West Bromwich Albion,1,0,0,2,1,2.0,0.5,59,41,Declan Rice,4-2-3-1,14,6,18.3,1,0,0,Jake Livermore,4-4-1-1,6,2,20.5,0,0,0,Graham Scott,2021-01-19,Tue,18:00
207,2021,22,Sheffield United,West Bromwich Albion,1,0,0,2,1,1.3,1.6,68,32,Billy Sharp,3-5-2,14,6,16.8,1,0,0,Jake Livermore,4-4-1-1,8,4,13.6,0,0,0,Paul Tierney,2021-02-02,Tue,18:00
221,2021,23,Tottenham Hotspur,West Bromwich Albion,1,0,0,2,0,1.5,0.6,65,35,Hugo Lloris,4-2-3-1,13,6,16.7,0,0,0,Kyle Bartley,4-1-4-1,4,1,10.7,0,0,0,Stuart Attwell,2021-02-07,Sun,12:00
240,2021,25,Burnley,West Bromwich Albion,0,0,1,0,0,0.5,1.6,62,38,Ben Mee,4-4-2,6,1,18.9,1,0,0,Kyle Bartley,4-1-4-1,10,2,22.9,2,0,0,Mike Dean,2021-02-20,Sat,15:00
279,2021,28,Crystal Palace,West Bromwich Albion,1,0,0,1,0,1.2,0.8,45,55,Luka Milivojević,4-4-2,5,3,23.0,0,1,1,Kyle Bartley,4-1-4-1,12,1,18.0,1,0,0,Simon Hooper,2021-03-13,Sat,15:00
291,2021,30,Chelsea,West Bromwich Albion,0,1,0,2,5,2.1,1.6,65,35,César Azpilicueta,3-4-3,18,7,16.1,2,0,0,Kyle Bartley,5-4-1,14,7,19.4,2,0,0,David Coote,2021-04-03,Sat,12:30
320,2021,32,Leicester City,West Bromwich Albion,1,0,0,3,0,2.1,0.5,72,28,Kasper Schmeichel,3-4-1-2,17,7,20.5,1,0,0,Kyle Bartley,4-4-1-1,4,1,15.2,0,0,0,Andy Madley,2021-04-22,Thu,20:00
327,2021,33,Aston Villa,West Bromwich Albion,0,0,1,2,2,3.2,1.5,70,30,Tyrone Mings,4-2-3-1,23,10,16.1,0,1,1,Kyle Bartley,4-1-4-1,9,3,22.4,2,1,1,Stuart Attwell,2021-04-25,Sun,19:00
346,2021,35,Arsenal,West Bromwich Albion,1,0,0,3,1,0.9,1.8,65,35,Rob Holding,4-2-3-1,15,7,19.7,1,0,0,Kyle Bartley,4-4-1-1,12,1,19.3,0,0,0,Peter Bankes,2021-05-09,Sun,19:00
374,2021,38,Leeds United,West Bromwich Albion,1,0,0,3,1,2.3,1.0,64,36,Liam Cooper,3-4-3,16,8,18.9,1,1,1,Kyle Bartley,5-3-2,14,5,18.9,0,0,0,David Coote,2021-05-23,Sun,16:00
