ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
103,0.7,1.8,0.7,41.6,9.5,3.0,0.324,0.69,19.29,0.4,0.0,0.0,0.3
110,0.727,2.091,0.6,42.364,9.455,3.091,0.335,0.642,19.027,0.364,0.0,0.0,0.273
119,0.75,2.083,0.4,43.333,9.75,3.083,0.327,0.644,19.367,0.417,0.0,0.0,0.25
135,0.769,2.0,0.0,41.769,9.385,2.923,0.317,0.661,19.392,0.385,0.0,0.0,0.231
146,0.714,2.071,0.6,41.143,8.786,2.786,0.366,0.661,20.443,0.429,0.0,0.0,0.286
152,0.733,2.0,0.5,39.933,8.533,2.8,0.381,0.65,20.247,0.4,0.0,0.0,0.267
161,0.688,2.188,1.0,39.0,8.25,2.688,0.373,0.62,20.25,0.375,0.0,0.0,0.25
171,0.647,2.294,2.4,39.0,8.176,2.706,0.376,0.621,20.2,0.353,0.0,0.0,0.235
180,0.778,2.278,0.5,38.667,8.278,2.722,0.372,0.624,20.194,0.333,0.111,0.111,0.222
188,0.789,2.263,0.5,38.789,8.158,2.684,0.37,0.626,20.211,0.316,0.105,0.105,0.211
197,0.75,2.4,1.0,38.0,7.95,2.6,0.364,0.609,19.72,0.3,0.1,0.1,0.2
207,0.81,2.381,1.6,38.0,7.81,2.619,0.375,0.614,19.51,0.286,0.095,0.095,0.19
221,0.818,2.364,0.6,37.727,7.818,2.682,0.381,0.616,19.241,0.273,0.091,0.091,0.182
231,0.783,2.348,1.0,37.609,7.652,2.609,0.375,0.619,18.87,0.261,0.087,0.087,0.174
240,0.792,2.292,1.6,37.167,7.625,2.625,0.377,0.628,18.667,0.25,0.083,0.083,0.167
250,0.76,2.2,0.8,37.2,7.72,2.6,0.37,0.642,18.836,0.32,0.08,0.08,0.16
263,0.769,2.115,1.0,37.0,7.654,2.577,0.369,0.656,18.815,0.308,0.077,0.077,0.231
270,0.741,2.074,2.0,37.444,7.778,2.593,0.365,0.657,18.744,0.296,0.074,0.074,0.222
279,0.714,2.0,0.8,38.0,7.964,2.607,0.361,0.669,18.714,0.286,0.071,0.071,0.214
291,0.69,1.966,1.6,38.586,8.103,2.552,0.351,0.669,18.69,0.31,0.069,0.069,0.241
309,0.833,1.967,3.0,38.467,8.3,2.7,0.356,0.67,18.713,0.367,0.067,0.067,0.233
320,0.903,1.903,0.5,38.516,8.484,2.774,0.356,0.681,18.59,0.387,0.097,0.097,0.258
327,0.875,1.938,1.5,38.188,8.344,2.719,0.353,0.677,18.484,0.375,0.094,0.094,0.25
336,0.909,1.939,1.1,37.939,8.364,2.727,0.352,0.681,18.603,0.424,0.121,0.121,0.273
346,0.912,1.912,1.8,38.088,8.412,2.735,0.351,0.688,18.518,0.412,0.118,0.118,0.265
359,0.914,1.943,1.0,38.0,8.514,2.686,0.343,0.684,18.54,0.4,0.114,0.114,0.257
370,0.917,1.944,1.1,37.611,8.528,2.694,0.343,0.684,18.458,0.417,0.111,0.111,0.25
374,0.919,1.973,1.0,38.0,8.676,2.73,0.341,0.683,18.486,0.432,0.108,0.108,0.27
