ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
34,2.0,5.0,0.2,29.0,6.0,4.0,0.667,0.286,22.2,1.0,0.0,0.0,0.0
57,1.0,3.5,0.4,33.5,5.5,3.0,0.533,0.5,21.4,0.5,0.0,0.0,0.0
67,1.0,2.667,0.5,39.0,6.667,3.0,0.467,0.556,21.567,0.333,0.0,0.0,0.0
82,0.75,2.5,0.6,42.5,7.5,2.5,0.375,0.542,21.525,0.5,0.0,0.0,0.0
110,0.6,2.2,0.6,41.4,7.4,2.4,0.357,0.6,20.26,0.4,0.0,0.0,0.2
119,0.667,2.167,0.4,43.5,8.333,2.5,0.336,0.611,20.733,0.5,0.0,0.0,0.167
146,0.714,2.0,0.6,40.571,7.857,2.286,0.317,0.646,20.586,0.429,0.0,0.0,0.143
171,0.75,1.875,2.4,38.375,7.5,2.375,0.352,0.628,20.2,0.375,0.0,0.0,0.125
180,1.0,1.889,0.5,37.778,7.778,2.444,0.346,0.632,20.189,0.333,0.222,0.222,0.111
207,1.0,1.9,1.6,38.1,7.6,2.4,0.345,0.636,20.22,0.3,0.2,0.2,0.1
221,1.0,1.909,0.6,37.545,7.636,2.545,0.359,0.639,19.618,0.273,0.182,0.182,0.091
240,0.917,1.917,1.6,37.333,7.333,2.417,0.35,0.641,18.875,0.25,0.167,0.167,0.083
279,0.846,1.769,0.8,37.385,7.538,2.385,0.338,0.668,19.185,0.385,0.154,0.154,0.077
291,0.786,1.714,1.6,38.643,7.857,2.286,0.32,0.668,19.1,0.429,0.143,0.143,0.143
320,1.067,1.733,0.5,38.4,8.267,2.6,0.332,0.671,19.12,0.533,0.133,0.133,0.133
327,1.0,1.812,1.5,37.75,8.0,2.5,0.327,0.665,18.875,0.5,0.125,0.125,0.125
346,1.059,1.824,1.8,37.294,8.059,2.529,0.327,0.673,19.082,0.588,0.176,0.176,0.176
374,1.056,1.889,1.0,37.167,8.278,2.444,0.314,0.667,19.094,0.556,0.167,0.167,0.167
