ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
213,1.5,1.3,1.7,40.4,12.1,4.1,14.89,0.4,0.0,0.0
219,1.636,1.273,1.0,40.727,12.818,4.545,15.255,0.455,0.0,0.0
249,1.5,1.167,1.5,40.667,12.417,4.25,15.092,0.5,0.0,0.0
285,1.462,1.231,0.6,40.385,12.154,4.154,14.931,0.462,0.0,0.0
300,1.357,1.214,1.2,40.286,11.786,3.857,14.864,0.429,0.0,0.0
312,1.467,1.267,1.9,39.933,11.6,4.0,14.713,0.4,0.0,0.0
337,1.5,1.375,2.3,41.562,11.812,4.062,15.0,0.375,0.062,0.062
356,1.529,1.353,1.7,42.353,12.412,4.059,15.112,0.412,0.059,0.059
370,1.5,1.333,3.4,42.722,12.556,3.944,15.306,0.389,0.056,0.056
389,1.579,1.316,2.7,43.0,12.947,4.211,15.353,0.421,0.053,0.105
413,1.7,1.35,0.7,43.55,13.15,4.35,15.44,0.45,0.05,0.15
436,1.619,1.286,1.6,44.238,13.143,4.286,15.657,0.476,0.048,0.143
458,1.636,1.273,1.2,44.364,13.455,4.364,15.773,0.545,0.045,0.136
479,1.609,1.217,2.3,45.087,13.565,4.348,15.804,0.522,0.043,0.13
495,1.708,1.208,0.4,45.583,13.875,4.5,15.833,0.625,0.042,0.125
508,1.64,1.2,0.2,45.68,13.64,4.44,16.008,0.6,0.04,0.12
536,1.615,1.231,0.8,45.154,13.308,4.385,16.215,0.615,0.038,0.115
543,1.556,1.185,0.4,45.704,13.407,4.333,16.304,0.593,0.037,0.111
558,1.5,1.214,3.6,45.679,13.179,4.214,16.518,0.607,0.036,0.107
566,1.586,1.207,2.2,46.069,13.138,4.241,16.5,0.586,0.069,0.138
588,1.633,1.233,0.3,45.8,13.0,4.233,16.433,0.567,0.1,0.167
613,1.581,1.226,1.1,45.71,12.774,4.129,16.481,0.548,0.097,0.161
644,1.594,1.25,1.3,45.688,12.625,4.094,16.469,0.531,0.094,0.156
668,1.545,1.242,0.6,45.273,12.636,4.091,16.421,0.515,0.091,0.152
686,1.529,1.294,0.3,45.324,12.441,4.0,16.206,0.5,0.088,0.147
708,1.486,1.314,0.5,45.543,12.229,3.914,16.243,0.486,0.086,0.143
731,1.444,1.306,3.0,45.222,12.056,3.861,16.164,0.472,0.083,0.139
756,1.514,1.27,0.2,45.703,12.054,3.865,16.116,0.459,0.108,0.162
778,1.5,1.316,2.1,45.816,11.921,3.816,16.271,0.447,0.105,0.158
798,1.462,1.308,0.6,46.103,12.077,3.795,16.349,0.487,0.103,0.179
812,1.45,1.275,1.1,46.0,11.95,3.75,16.56,0.5,0.1,0.175
