ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
204,1.5,1.1,0.8,45.3,12.6,4.2,16.34,0.5,0.0,0.0
234,1.455,1.273,1.9,44.182,12.182,4.0,16.191,0.455,0.0,0.0
243,1.583,1.167,1.1,44.333,12.167,4.333,16.425,0.583,0.083,0.083
275,1.615,1.154,1.8,43.385,11.538,4.308,15.746,0.538,0.077,0.077
289,1.643,1.071,2.4,42.786,11.786,4.286,16.136,0.571,0.071,0.143
306,1.733,1.2,0.8,42.467,12.0,4.333,15.92,0.533,0.067,0.133
323,1.812,1.25,0.4,42.125,11.5,4.312,15.888,0.5,0.062,0.125
345,1.706,1.235,1.3,42.294,11.353,4.176,16.318,0.529,0.059,0.118
377,1.611,1.222,1.3,43.722,11.333,3.944,16.289,0.5,0.056,0.111
400,1.684,1.158,2.3,43.421,11.474,4.105,16.268,0.474,0.053,0.105
406,1.8,1.15,1.3,43.85,11.85,4.25,16.15,0.45,0.05,0.1
428,1.81,1.19,1.6,44.0,11.952,4.238,16.105,0.429,0.048,0.095
449,1.773,1.227,1.5,43.818,11.955,4.182,16.373,0.409,0.045,0.136
468,1.739,1.261,1.3,44.478,12.217,4.217,16.387,0.435,0.043,0.13
490,1.708,1.208,1.0,44.208,12.25,4.208,16.321,0.417,0.042,0.125
512,1.76,1.24,1.3,43.68,12.04,4.16,16.248,0.4,0.04,0.12
520,1.731,1.231,1.8,43.346,12.115,4.192,16.492,0.385,0.038,0.115
553,1.778,1.259,1.6,43.111,12.037,4.148,16.626,0.37,0.074,0.148
573,1.786,1.321,2.5,43.571,12.0,4.143,16.646,0.357,0.071,0.143
581,1.793,1.276,2.4,44.207,12.034,4.172,16.593,0.345,0.069,0.138
597,1.8,1.333,0.8,44.333,12.133,4.2,16.46,0.333,0.067,0.133
615,1.774,1.29,0.6,44.968,12.032,4.129,16.355,0.323,0.065,0.129
636,1.75,1.281,1.8,45.031,12.0,4.094,16.294,0.312,0.062,0.125
657,1.727,1.242,1.2,44.848,12.03,4.091,16.306,0.333,0.061,0.121
676,1.735,1.235,1.2,44.912,12.0,4.088,16.306,0.324,0.059,0.118
695,1.743,1.229,2.2,45.2,11.971,4.114,16.409,0.371,0.057,0.114
721,1.722,1.222,0.5,45.639,12.222,4.167,16.361,0.361,0.056,0.111
740,1.703,1.243,1.1,45.946,12.108,4.135,16.297,0.351,0.054,0.108
770,1.711,1.263,0.5,45.316,11.947,4.079,16.229,0.342,0.053,0.105
787,1.667,1.282,0.8,44.795,11.795,4.0,16.231,0.333,0.051,0.103
808,1.625,1.3,1.2,44.925,11.825,3.975,16.238,0.325,0.05,0.1
834,1.61,1.293,0.9,44.78,11.878,3.976,16.239,0.317,0.049,0.098
843,1.619,1.262,2.4,44.643,12.024,4.0,16.336,0.333,0.048,0.095
876,1.651,1.256,1.9,44.767,12.116,4.07,16.337,0.326,0.07,0.116
894,1.659,1.227,0.3,45.0,12.273,4.045,16.445,0.341,0.091,0.136
899,1.644,1.244,1.4,44.933,12.111,4.0,16.451,0.333,0.089,0.133
917,1.609,1.261,1.3,45.13,12.239,4.043,16.45,0.326,0.087,0.13
953,1.574,1.277,2.2,45.511,12.404,4.064,16.487,0.362,0.085,0.128
971,1.583,1.25,1.3,45.25,12.375,4.062,16.392,0.354,0.083,0.125
995,1.571,1.245,2.7,44.918,12.327,4.02,16.339,0.367,0.082,0.122
1019,1.62,1.22,2.1,45.0,12.44,4.04,16.31,0.36,0.08,0.12
1038,1.608,1.216,1.4,44.922,12.51,4.039,16.318,0.353,0.098,0.137
1045,1.596,1.192,1.0,44.885,12.5,4.0,16.277,0.365,0.096,0.135
1064,1.585,1.264,1.8,44.83,12.396,3.962,16.328,0.377,0.094,0.132
1080,1.593,1.278,0.8,44.556,12.444,3.926,16.3,0.389,0.111,0.148
1104,1.582,1.291,1.3,44.255,12.345,3.891,16.285,0.382,0.109,0.145
1125,1.571,1.268,2.1,44.089,12.393,3.893,16.271,0.375,0.107,0.143
1158,1.596,1.263,1.8,44.351,12.509,3.982,16.242,0.368,0.105,0.14
1181,1.621,1.259,0.9,44.017,12.483,4.0,16.3,0.362,0.121,0.155
1204,1.61,1.288,2.1,43.814,12.373,3.983,16.229,0.356,0.119,0.153
1218,1.617,1.267,1.2,43.95,12.5,4.05,16.168,0.367,0.117,0.15
1236,1.623,1.279,0.7,43.82,12.377,4.033,16.148,0.377,0.115,0.148
1257,1.597,1.274,1.8,44.145,12.371,4.0,16.166,0.371,0.113,0.145
1277,1.619,1.286,1.1,44.302,12.429,4.032,16.195,0.381,0.111,0.143
1306,1.609,1.281,1.1,44.469,12.375,4.016,16.188,0.391,0.109,0.141
1312,1.631,1.262,1.2,44.477,12.385,4.015,16.243,0.415,0.108,0.138
1338,1.636,1.242,0.7,44.333,12.379,4.03,16.206,0.409,0.106,0.136
1357,1.612,1.224,1.4,44.149,12.284,4.0,16.203,0.403,0.104,0.134
1376,1.603,1.221,0.2,44.206,12.221,3.971,16.216,0.397,0.118,0.147
1398,1.58,1.29,1.7,44.0,12.116,3.928,16.27,0.391,0.116,0.145
1415,1.614,1.3,2.1,43.957,12.186,3.957,16.29,0.386,0.114,0.143
1423,1.62,1.31,2.0,44.07,12.324,3.958,16.269,0.38,0.113,0.141
1438,1.611,1.306,1.5,43.889,12.333,3.958,16.264,0.389,0.111,0.139
1461,1.603,1.301,0.9,43.74,12.315,3.959,16.268,0.397,0.11,0.137
1477,1.581,1.311,0.7,43.932,12.351,3.959,16.268,0.392,0.108,0.135
1502,1.587,1.32,3.2,43.733,12.333,4.013,16.277,0.387,0.107,0.133
1527,1.605,1.316,2.3,43.921,12.487,4.066,16.28,0.395,0.105,0.132
1547,1.597,1.325,0.7,44.026,12.494,4.039,16.245,0.39,0.117,0.143
1561,1.59,1.346,0.9,43.885,12.462,4.013,16.254,0.385,0.115,0.141
1583,1.57,1.367,3.6,44.0,12.494,4.051,16.276,0.392,0.114,0.139
1608,1.6,1.362,2.8,44.1,12.625,4.15,16.278,0.4,0.112,0.138
1623,1.605,1.358,0.8,44.074,12.605,4.123,16.228,0.395,0.123,0.148
1646,1.585,1.341,1.5,44.134,12.585,4.146,16.238,0.39,0.122,0.146
1669,1.59,1.386,1.0,44.084,12.578,4.157,16.26,0.41,0.12,0.145
1682,1.595,1.381,1.2,44.202,12.655,4.155,16.255,0.405,0.119,0.143
1705,1.588,1.376,0.4,44.235,12.635,4.153,16.225,0.4,0.118,0.141
1721,1.57,1.419,1.0,44.256,12.57,4.105,16.24,0.395,0.116,0.14
1733,1.586,1.425,0.3,44.253,12.471,4.092,16.221,0.391,0.115,0.138
1764,1.568,1.432,0.8,44.352,12.409,4.045,16.259,0.386,0.114,0.136
1791,1.551,1.427,1.3,44.506,12.416,4.034,16.307,0.404,0.112,0.135
1801,1.556,1.411,0.7,44.656,12.367,4.011,16.243,0.4,0.111,0.133
1823,1.538,1.407,0.7,44.725,12.33,3.989,16.295,0.396,0.11,0.132
