ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
33,1.0,2.0,2.0,38.0,14.0,2.0,0.143,0.333,18.1,1.0,0.0,0.0,0.0
45,2.0,1.0,1.9,34.5,14.0,4.0,0.286,0.167,15.65,0.5,0.0,0.0,0.0
62,2.333,1.667,0.3,39.667,13.667,4.0,0.293,0.278,15.5,0.667,0.0,0.0,0.0
84,2.0,1.75,2.1,36.75,11.25,3.75,0.407,0.333,15.175,0.5,0.0,0.0,0.25
108,1.8,1.4,1.3,39.2,12.0,3.6,0.366,0.467,14.6,0.4,0.0,0.0,0.2
137,1.833,1.333,0.4,38.833,13.167,4.333,0.375,0.528,14.967,0.5,0.0,0.0,0.333
150,1.571,1.571,1.2,40.0,12.143,3.714,0.321,0.534,14.657,0.429,0.0,0.0,0.286
156,1.375,1.375,1.3,39.75,11.625,3.625,0.328,0.592,14.562,0.375,0.0,0.0,0.25
187,1.333,1.222,2.8,39.778,11.556,3.778,0.342,0.638,14.822,0.444,0.0,0.0,0.222
213,1.5,1.3,1.7,40.4,12.1,4.1,0.349,0.607,14.89,0.4,0.0,0.0,0.2
219,1.636,1.273,1.0,40.727,12.818,4.545,0.358,0.597,15.255,0.455,0.0,0.0,0.182
249,1.5,1.167,1.5,40.667,12.417,4.25,0.339,0.631,15.092,0.5,0.0,0.0,0.167
285,1.462,1.231,0.6,40.385,12.154,4.154,0.338,0.608,14.931,0.462,0.0,0.0,0.154
300,1.357,1.214,1.2,40.286,11.786,3.857,0.314,0.618,14.864,0.429,0.0,0.0,0.143
312,1.467,1.267,1.9,39.933,11.6,4.0,0.338,0.617,14.713,0.4,0.0,0.0,0.133
337,1.5,1.375,2.3,41.562,11.812,4.062,0.337,0.61,15.0,0.375,0.062,0.062,0.125
356,1.529,1.353,1.7,42.353,12.412,4.059,0.328,0.574,15.112,0.412,0.059,0.059,0.176
370,1.5,1.333,3.4,42.722,12.556,3.944,0.317,0.57,15.306,0.389,0.056,0.056,0.167
413,4.0,2.0,0.7,54.0,17.0,7.0,0.412,0.333,17.1,1.0,0.0,1.0,0.0
436,2.0,1.0,1.6,56.0,15.0,5.0,0.321,0.667,18.55,1.0,0.0,0.5,0.0
458,2.0,1.0,1.2,53.0,16.667,5.333,0.314,0.711,18.433,1.333,0.0,0.333,0.0
479,1.75,0.75,2.3,55.0,16.5,5.0,0.298,0.783,17.95,1.0,0.0,0.25,0.0
495,2.2,0.8,0.4,55.4,17.4,5.6,0.315,0.76,17.66,1.4,0.0,0.2,0.0
508,1.833,0.833,0.2,54.167,15.833,5.167,0.325,0.767,18.083,1.167,0.0,0.167,0.0
536,1.714,1.0,0.8,51.0,14.286,4.857,0.364,0.764,18.557,1.143,0.0,0.143,0.0
543,1.5,0.875,0.4,52.125,14.5,4.625,0.342,0.794,18.562,1.0,0.0,0.125,0.0
558,1.333,1.0,3.6,51.333,13.667,4.222,0.32,0.785,18.978,1.0,0.0,0.111,0.111
566,1.6,1.0,2.2,51.9,13.5,4.3,0.33,0.786,18.68,0.9,0.1,0.2,0.1
588,1.727,1.091,0.3,50.636,13.091,4.273,0.34,0.776,18.3,0.818,0.182,0.273,0.091
613,1.583,1.083,1.1,50.0,12.5,4.0,0.326,0.766,18.267,0.75,0.167,0.25,0.083
644,1.615,1.154,1.3,49.615,12.154,3.923,0.329,0.631,18.1,0.692,0.154,0.231,0.154
668,1.5,1.143,0.6,48.357,12.214,3.929,0.328,0.643,17.871,0.643,0.143,0.214,0.143
686,1.467,1.267,0.3,48.267,11.8,3.733,0.317,0.617,17.287,0.6,0.133,0.2,0.133
708,1.375,1.312,0.5,48.562,11.375,3.562,0.31,0.623,17.3,0.562,0.125,0.188,0.125
731,1.294,1.294,3.0,47.706,11.059,3.471,0.311,0.63,17.071,0.529,0.118,0.176,0.176
756,1.444,1.222,0.2,48.556,11.111,3.5,0.312,0.651,16.922,0.5,0.167,0.222,0.167
798,0.0,1.0,0.6,57.0,18.0,3.0,0.167,0.833,19.3,2.0,0.0,1.0,0.0
812,0.5,0.5,1.1,49.5,12.5,2.5,0.226,0.917,22.05,1.5,0.0,0.5,0.0
827,0.667,1.0,1.0,44.0,10.333,2.667,0.317,0.722,20.0,1.0,0.0,0.333,0.0
855,0.5,1.0,1.7,44.75,11.25,3.0,0.31,0.667,18.8,0.75,0.0,0.25,0.0
862,0.6,1.0,1.7,48.0,14.0,3.2,0.28,0.708,18.8,0.6,0.0,0.2,0.0
886,0.5,1.0,1.1,47.667,12.833,3.0,0.281,0.733,18.2,0.5,0.0,0.333,0.0
913,0.429,1.0,1.0,47.571,12.857,3.143,0.285,0.724,18.786,0.429,0.0,0.286,0.0
933,0.5,1.25,1.4,45.875,12.125,3.125,0.303,0.683,19.462,0.375,0.125,0.375,0.0
943,0.667,1.333,1.1,45.0,12.333,2.889,0.277,0.674,19.8,0.333,0.222,0.444,0.0
967,0.6,1.3,1.0,44.7,12.7,2.9,0.268,0.682,19.66,0.3,0.2,0.4,0.0
991,0.636,1.273,0.5,44.091,12.455,2.727,0.253,0.665,19.345,0.273,0.182,0.364,0.0
1006,0.583,1.333,0.3,44.0,11.917,2.583,0.245,0.665,19.067,0.333,0.167,0.333,0.0
1051,0.538,1.538,1.1,43.308,11.231,2.538,0.278,0.652,18.531,0.308,0.154,0.308,0.077
1073,0.571,1.429,2.4,41.929,11.071,2.714,0.298,0.677,18.214,0.286,0.143,0.286,0.071
1085,0.8,1.333,1.7,41.533,11.533,3.2,0.315,0.699,18.08,0.333,0.133,0.267,0.067
1095,0.938,1.5,0.4,41.5,11.312,3.25,0.326,0.668,17.956,0.312,0.125,0.25,0.125
1115,0.882,1.588,0.2,40.882,11.0,3.176,0.327,0.662,18.324,0.294,0.118,0.235,0.118
1138,0.833,1.611,1.4,41.222,10.611,3.222,0.364,0.668,18.361,0.278,0.111,0.222,0.111
1166,1.0,1.0,3.0,38.0,16.0,2.0,0.125,0.8,16.1,0.0,0.0,0.0,0.0
1170,2.0,1.0,1.0,30.0,14.0,4.5,0.354,0.85,14.2,0.0,0.0,0.0,0.0
1195,2.0,1.0,1.1,40.333,12.333,4.0,0.347,0.567,14.9,0.0,0.0,0.0,0.0
1229,1.75,1.5,1.1,39.5,12.0,4.0,0.351,0.55,14.55,0.0,0.0,0.0,0.25
1245,1.6,2.0,1.8,40.0,12.4,4.0,0.338,0.507,14.68,0.2,0.0,0.0,0.4
1265,1.667,2.167,0.9,40.333,12.333,3.667,0.31,0.464,14.783,0.167,0.0,0.0,0.333
1290,1.714,2.0,2.2,41.714,12.143,3.571,0.304,0.505,14.557,0.143,0.0,0.0,0.429
1298,1.75,1.875,1.3,39.75,12.0,3.75,0.323,0.546,14.612,0.125,0.0,0.0,0.375
1328,1.556,2.222,1.4,39.444,11.667,3.889,0.349,0.527,15.122,0.222,0.0,0.0,0.333
1346,1.6,2.0,2.3,38.2,11.0,3.7,0.354,0.574,15.35,0.2,0.0,0.1,0.3
1364,1.636,2.0,1.4,38.636,11.364,3.727,0.346,0.577,15.309,0.182,0.091,0.182,0.364
1384,1.5,2.083,0.5,39.5,12.25,3.667,0.329,0.562,15.608,0.25,0.083,0.167,0.333
1399,1.385,2.077,1.9,40.385,12.077,3.615,0.326,0.576,15.862,0.308,0.077,0.154,0.308
1424,1.5,2.0,1.4,40.714,12.071,3.714,0.333,0.599,15.743,0.286,0.071,0.143,0.357
1449,1.6,2.133,1.2,40.667,11.933,3.733,0.337,0.587,15.633,0.267,0.067,0.133,0.467
1468,1.625,2.062,1.3,40.75,11.812,3.688,0.335,0.603,16.194,0.375,0.125,0.188,0.5
1494,1.647,2.235,0.9,40.706,11.353,3.529,0.33,0.584,15.876,0.353,0.118,0.176,0.471
1517,1.556,2.389,0.4,40.167,11.444,3.444,0.32,0.587,15.972,0.444,0.111,0.167,0.444
1555,2.0,0.0,0.8,42.0,18.0,3.0,0.167,1.0,17.2,0.0,0.0,0.0,0.0
1576,1.5,0.5,1.0,44.0,14.5,3.0,0.22,0.9,17.6,0.0,0.0,0.0,0.0
1591,1.333,0.667,0.8,43.667,16.0,3.0,0.199,0.822,17.967,0.0,0.0,0.0,0.0
1614,1.25,1.5,0.1,43.5,14.75,3.0,0.218,0.724,17.7,0.0,0.0,0.0,0.0
1640,1.0,1.8,0.9,44.0,12.6,2.6,0.224,0.679,18.8,0.0,0.0,0.0,0.0
1652,1.167,1.5,3.0,44.5,13.0,3.167,0.253,0.733,18.967,0.167,0.0,0.0,0.0
1679,1.143,1.714,2.1,46.857,15.571,3.857,0.254,0.699,18.357,0.143,0.0,0.0,0.0
1693,1.125,1.625,1.7,47.0,15.5,3.625,0.239,0.723,17.962,0.125,0.125,0.125,0.0
1713,1.111,1.444,1.4,46.889,15.556,3.444,0.226,0.754,17.667,0.222,0.111,0.111,0.0
1748,1.1,1.7,1.3,46.6,15.7,3.5,0.227,0.721,17.43,0.3,0.1,0.1,0.0
1759,1.091,1.636,1.2,47.273,15.545,3.455,0.226,0.724,17.173,0.273,0.091,0.091,0.0
1774,1.083,1.667,1.1,46.0,15.417,3.583,0.237,0.691,17.442,0.333,0.083,0.083,0.0
1802,1.077,1.538,0.8,44.923,14.615,3.462,0.249,0.715,17.008,0.308,0.077,0.077,0.0
1811,1.071,1.5,1.3,45.0,14.286,3.571,0.267,0.721,16.764,0.286,0.071,0.071,0.0
1835,1.0,1.467,1.4,45.867,14.0,3.4,0.256,0.706,16.673,0.4,0.067,0.067,0.0
1854,1.0,1.5,1.3,45.812,13.812,3.438,0.263,0.704,16.475,0.375,0.062,0.062,0.0
1878,1.059,1.588,1.7,45.882,13.706,3.471,0.267,0.702,16.4,0.353,0.059,0.059,0.0
1899,1.111,1.5,1.1,46.0,13.444,3.5,0.277,0.718,16.178,0.333,0.056,0.056,0.0
