ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
26,0.0,2.0,2.4,58.0,15.0,3.0,0.2,0.0,16.5,0.0,0.0,0.0,0.0
50,2.0,1.0,0.3,47.5,15.0,5.0,0.333,0.5,14.55,0.0,0.0,0.0,0.0
74,1.667,1.0,1.3,42.0,12.0,4.0,0.333,0.619,17.133,0.0,0.0,0.0,0.0
98,1.5,0.75,0.4,44.75,13.0,4.75,0.359,0.714,16.8,0.25,0.0,0.0,0.25
101,1.6,0.8,2.0,42.6,11.6,4.2,0.354,0.738,16.6,0.2,0.0,0.0,0.4
124,1.5,1.167,0.4,42.167,12.833,4.5,0.348,0.698,16.45,0.333,0.0,0.0,0.333
145,1.429,1.143,1.3,43.571,12.286,4.143,0.33,0.67,16.971,0.429,0.0,0.0,0.286
172,1.5,1.25,1.7,43.625,12.125,4.125,0.334,0.649,16.525,0.375,0.0,0.0,0.25
180,1.444,1.111,2.0,43.778,12.444,4.0,0.319,0.688,16.122,0.444,0.0,0.0,0.222
204,1.5,1.1,0.8,45.3,12.6,4.2,0.33,0.669,16.34,0.5,0.0,0.0,0.2
234,1.455,1.273,1.9,44.182,12.182,4.0,0.323,0.645,16.191,0.455,0.0,0.0,0.182
243,1.583,1.167,1.1,44.333,12.167,4.333,0.351,0.674,16.425,0.583,0.083,0.083,0.167
275,1.615,1.154,1.8,43.385,11.538,4.308,0.401,0.68,15.746,0.538,0.077,0.077,0.154
289,1.643,1.071,2.4,42.786,11.786,4.286,0.392,0.703,16.136,0.571,0.071,0.143,0.143
306,1.733,1.2,0.8,42.467,12.0,4.333,0.388,0.689,15.92,0.533,0.067,0.133,0.133
323,1.812,1.25,0.4,42.125,11.5,4.312,0.426,0.678,15.888,0.5,0.062,0.125,0.125
345,1.706,1.235,1.3,42.294,11.353,4.176,0.414,0.687,16.318,0.529,0.059,0.118,0.118
377,1.611,1.222,1.3,43.722,11.333,3.944,0.391,0.686,16.289,0.5,0.056,0.111,0.111
406,4.0,1.0,1.3,52.0,19.0,7.0,0.368,0.0,13.9,0.0,0.0,0.0,0.0
428,3.0,1.5,1.6,49.5,16.5,5.5,0.327,0.0,14.55,0.0,0.0,0.0,0.0
449,2.333,1.667,1.5,46.333,15.0,4.667,0.301,0.267,17.033,0.0,0.0,0.333,0.0
468,2.0,1.75,1.3,49.5,15.75,4.75,0.295,0.367,16.95,0.25,0.0,0.25,0.0
490,1.8,1.4,1.0,47.2,15.2,4.6,0.298,0.493,16.52,0.2,0.0,0.2,0.0
512,2.0,1.5,1.3,44.5,13.833,4.333,0.32,0.511,16.183,0.167,0.0,0.167,0.0
520,1.857,1.429,1.8,43.143,13.857,4.429,0.325,0.533,17.1,0.143,0.0,0.143,0.0
553,2.0,1.5,1.6,42.375,13.375,4.25,0.322,0.556,17.475,0.125,0.125,0.25,0.0
573,2.0,1.667,2.5,43.889,13.111,4.222,0.327,0.539,17.444,0.111,0.111,0.222,0.111
581,2.0,1.5,2.4,45.7,13.1,4.3,0.332,0.585,17.21,0.1,0.1,0.2,0.1
597,2.0,1.636,0.8,45.909,13.273,4.364,0.332,0.568,16.791,0.091,0.091,0.182,0.091
615,1.917,1.5,0.6,47.417,12.917,4.167,0.323,0.604,16.492,0.083,0.083,0.167,0.083
636,1.846,1.462,1.8,47.385,12.769,4.077,0.319,0.609,16.331,0.077,0.077,0.154,0.077
657,1.786,1.357,1.2,46.786,12.786,4.071,0.319,0.637,16.357,0.143,0.071,0.143,0.071
676,1.8,1.333,1.2,46.8,12.667,4.067,0.322,0.651,16.353,0.133,0.067,0.133,0.067
695,1.812,1.312,2.2,47.312,12.562,4.125,0.33,0.642,16.575,0.25,0.062,0.125,0.062
721,1.765,1.294,0.5,48.118,13.059,4.235,0.327,0.604,16.465,0.235,0.059,0.118,0.118
