ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
101,1.7,1.1,2.0,40.9,11.8,3.9,0.36,0.602,15.6,0.3,0.0,0.0,0.3
108,1.8,1.2,1.3,39.1,12.2,4.2,0.372,0.652,15.52,0.4,0.0,0.0,0.3
124,1.9,1.1,0.4,39.0,12.7,4.8,0.399,0.702,15.39,0.4,0.0,0.0,0.4
137,1.6,1.2,0.4,40.5,12.1,4.3,0.375,0.652,16.14,0.5,0.0,0.0,0.4
145,1.3,1.5,1.3,42.1,11.3,3.7,0.332,0.71,16.1,0.5,0.0,0.0,0.4
150,1.2,1.4,1.2,41.5,11.1,3.7,0.338,0.71,15.92,0.4,0.0,0.0,0.4
156,1.1,1.3,1.3,42.2,11.3,3.8,0.342,0.724,15.08,0.4,0.0,0.0,0.4
172,1.1,1.1,1.7,43.4,12.0,4.0,0.312,0.774,15.35,0.5,0.0,0.0,0.3
180,1.1,1.1,2.0,42.6,11.9,3.6,0.289,0.774,15.06,0.5,0.0,0.0,0.2
187,1.2,1.2,2.8,43.6,11.8,3.9,0.311,0.724,15.66,0.6,0.0,0.0,0.2
204,1.3,1.3,0.8,44.8,12.9,4.4,0.319,0.674,15.63,0.6,0.0,0.0,0.1
213,1.3,1.3,1.7,44.1,11.8,4.0,0.313,0.664,15.53,0.5,0.0,0.0,0.1
219,1.4,1.3,1.0,44.8,11.9,4.1,0.316,0.63,15.74,0.5,0.0,0.0,0.0
234,1.3,1.2,1.9,43.6,11.8,4.0,0.306,0.68,15.06,0.5,0.0,0.0,0.0
243,1.6,0.9,1.1,43.5,12.4,4.8,0.373,0.723,15.68,0.7,0.1,0.1,0.0
249,1.6,0.8,1.5,42.3,11.7,4.8,0.436,0.748,15.1,0.7,0.1,0.1,0.0
275,1.7,1.0,1.8,42.2,11.8,4.8,0.432,0.682,15.01,0.7,0.1,0.1,0.0
285,1.8,1.0,0.6,41.7,12.2,4.7,0.413,0.682,15.44,0.7,0.1,0.2,0.0
289,1.7,1.1,2.4,41.1,11.4,4.4,0.393,0.657,15.55,0.6,0.1,0.2,0.0
300,1.8,1.3,1.2,39.0,11.5,4.3,0.384,0.657,15.01,0.5,0.1,0.2,0.0
306,1.8,1.3,0.8,37.9,10.7,4.2,0.409,0.683,14.72,0.5,0.1,0.2,0.0
312,2.0,1.2,1.9,38.3,10.3,4.4,0.484,0.693,14.79,0.5,0.1,0.2,0.0
323,1.9,1.4,0.4,40.5,9.8,4.0,0.472,0.693,14.83,0.4,0.2,0.3,0.0
337,1.9,1.5,2.3,41.0,9.9,4.1,0.482,0.677,15.82,0.4,0.2,0.3,0.0
345,1.8,1.6,1.3,41.9,10.9,3.7,0.434,0.577,15.61,0.3,0.1,0.2,0.1
356,1.6,1.6,1.7,45.5,11.6,3.3,0.334,0.568,16.43,0.3,0.1,0.2,0.1
370,1.6,1.5,3.4,46.7,12.2,3.2,0.314,0.585,16.99,0.3,0.1,0.2,0.1
377,1.7,1.6,1.3,48.0,12.7,3.7,0.332,0.56,16.49,0.3,0.1,0.2,0.1
389,2.0,1.5,2.7,47.9,13.4,4.4,0.382,0.585,16.68,0.3,0.1,0.2,0.1
400,2.1,1.4,2.3,49.5,13.6,4.6,0.39,0.568,17.1,0.4,0.1,0.3,0.1
406,2.2,1.3,1.3,51.2,14.6,4.7,0.36,0.508,17.23,0.4,0.1,0.3,0.1
413,2.1,1.3,0.7,52.2,15.6,4.7,0.289,0.458,17.21,0.4,0.1,0.3,0.1
428,1.9,1.0,1.6,51.4,15.4,4.5,0.278,0.508,17.28,0.5,0.0,0.2,0.1
436,2.0,1.1,1.6,50.9,15.7,4.6,0.281,0.505,17.16,0.4,0.0,0.3,0.1
449,2.0,1.1,1.5,50.1,15.5,4.8,0.293,0.585,17.29,0.5,0.0,0.3,0.0
458,2.1,1.2,1.2,49.2,16.2,5.3,0.321,0.585,17.38,0.6,0.0,0.3,0.0
