ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
204,1.5,1.1,0.8,45.3,12.6,4.2,0.33,0.669,16.34,0.5,0.0,0.0,0.2
234,1.6,1.2,1.9,42.8,11.9,4.1,0.335,0.709,16.16,0.5,0.0,0.0,0.2
243,1.5,1.2,1.1,43.7,11.6,4.2,0.355,0.709,16.8,0.7,0.1,0.1,0.2
275,1.6,1.2,1.8,43.8,11.4,4.4,0.422,0.698,15.33,0.7,0.1,0.1,0.2
289,1.7,1.2,2.4,42.0,11.3,4.1,0.405,0.698,15.87,0.7,0.1,0.2,0.1
306,1.8,1.4,0.8,42.4,12.2,4.4,0.405,0.665,15.58,0.7,0.1,0.2,0.0
323,2.0,1.3,0.4,42.1,10.7,4.2,0.473,0.665,15.55,0.6,0.1,0.2,0.0
345,1.9,1.3,1.3,41.4,10.7,4.2,0.473,0.698,15.86,0.6,0.1,0.2,0.0
377,1.7,1.2,1.3,43.8,10.7,3.8,0.437,0.715,16.1,0.6,0.1,0.2,0.0
400,1.9,1.2,2.3,43.1,10.6,4.2,0.467,0.715,16.4,0.5,0.1,0.2,0.0
406,2.1,1.2,1.3,42.4,11.1,4.3,0.461,0.665,15.96,0.4,0.1,0.2,0.0
428,2.2,1.1,1.6,43.8,11.7,4.5,0.464,0.625,16.01,0.4,0.1,0.2,0.0
449,2.0,1.3,1.5,43.2,11.7,4.0,0.423,0.605,16.31,0.2,0.0,0.2,0.0
468,1.9,1.4,1.3,45.9,13.1,4.1,0.35,0.597,17.22,0.3,0.0,0.2,0.0
490,1.8,1.4,1.0,46.2,12.9,4.1,0.355,0.597,16.58,0.2,0.0,0.1,0.0
512,1.8,1.3,1.3,45.5,12.1,3.9,0.364,0.607,16.74,0.2,0.0,0.1,0.0
520,1.6,1.2,1.8,45.3,13.1,4.0,0.3,0.623,17.46,0.2,0.0,0.1,0.0
553,1.9,1.3,1.6,44.5,13.2,4.1,0.308,0.611,17.15,0.1,0.1,0.2,0.0
573,2.1,1.5,2.5,43.3,13.2,4.5,0.344,0.585,17.29,0.1,0.1,0.2,0.1
581,2.0,1.5,2.4,45.7,13.1,4.3,0.332,0.585,17.21,0.1,0.1,0.2,0.1
597,1.8,1.7,0.8,45.3,12.7,4.1,0.329,0.625,17.08,0.1,0.1,0.2,0.1
615,1.7,1.5,0.6,47.0,12.2,3.9,0.322,0.725,16.88,0.1,0.1,0.2,0.1
636,1.7,1.4,1.8,47.7,12.1,3.9,0.325,0.711,16.12,0.1,0.1,0.1,0.1
657,1.7,1.2,1.2,45.7,11.6,3.8,0.328,0.745,16.12,0.1,0.1,0.1,0.1
676,1.8,1.3,1.2,46.6,11.4,3.8,0.333,0.73,16.27,0.1,0.1,0.1,0.1
695,1.7,1.2,2.2,49.0,11.8,4.0,0.336,0.72,16.81,0.3,0.1,0.1,0.1
721,1.7,1.2,0.5,51.6,12.5,4.1,0.329,0.654,16.02,0.3,0.1,0.1,0.2
740,1.5,1.2,1.1,53.6,12.3,4.1,0.336,0.654,15.41,0.3,0.0,0.0,0.2
770,1.5,1.1,0.5,50.2,11.8,3.9,0.333,0.685,15.06,0.3,0.0,0.0,0.2
787,1.3,1.3,0.8,46.5,11.1,3.5,0.311,0.485,15.18,0.3,0.0,0.0,0.3
