ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
199,0.9,1.6,0.4,45.0,9.4,2.9,18.5,0.5,0.2,0.2
230,0.818,1.545,1.1,45.636,9.091,3.0,18.245,0.455,0.182,0.182
252,0.917,1.5,1.1,45.917,9.083,3.0,18.325,0.417,0.25,0.25
259,0.923,1.462,0.3,46.385,9.462,3.077,18.385,0.462,0.231,0.231
268,0.929,1.643,1.6,45.071,9.214,2.929,18.164,0.429,0.214,0.214
301,0.867,1.533,0.5,45.467,9.267,2.867,18.113,0.467,0.2,0.2
336,0.875,1.438,1.0,45.75,9.125,2.875,17.912,0.5,0.188,0.188
358,0.882,1.412,0.9,46.412,9.765,3.294,17.976,0.471,0.176,0.176
365,0.833,1.444,0.3,45.944,10.056,3.278,17.956,0.444,0.167,0.167
384,0.789,1.421,1.3,46.632,10.0,3.263,18.142,0.421,0.158,0.158
417,0.75,1.4,2.2,46.5,10.35,3.25,18.13,0.4,0.15,0.15
438,0.81,1.333,1.0,46.905,10.524,3.333,18.048,0.429,0.143,0.143
455,0.818,1.273,2.0,46.727,10.273,3.318,17.841,0.409,0.136,0.136
466,0.913,1.304,0.9,46.957,10.217,3.348,17.691,0.435,0.13,0.13
484,0.917,1.292,0.3,46.583,10.125,3.375,17.642,0.458,0.125,0.125
504,0.88,1.32,0.3,46.32,9.88,3.32,17.688,0.48,0.12,0.12
531,0.846,1.269,0.2,46.731,9.692,3.269,17.662,0.462,0.115,0.115
542,0.815,1.259,1.0,46.074,9.407,3.185,17.385,0.444,0.111,0.111
571,0.821,1.214,0.7,45.893,9.357,3.25,17.407,0.464,0.107,0.107
589,0.828,1.172,0.2,46.0,9.69,3.345,17.51,0.483,0.103,0.103
611,0.867,1.167,1.3,46.133,9.6,3.3,17.65,0.467,0.1,0.1
628,0.903,1.129,1.0,46.0,9.645,3.419,17.594,0.452,0.097,0.097
636,0.906,1.156,0.7,45.938,9.531,3.375,17.506,0.438,0.094,0.094
658,0.879,1.152,0.8,46.394,9.667,3.303,17.615,0.424,0.091,0.091
680,0.882,1.118,0.4,46.824,9.794,3.294,17.735,0.412,0.088,0.088
707,0.857,1.114,0.6,47.143,9.657,3.257,17.749,0.4,0.086,0.086
726,0.833,1.111,2.0,47.611,9.667,3.278,17.783,0.389,0.083,0.083
752,0.865,1.135,1.3,47.432,9.784,3.297,17.724,0.378,0.081,0.081
765,0.868,1.184,1.3,47.158,9.711,3.342,17.645,0.368,0.079,0.079
781,0.872,1.205,0.7,47.487,9.846,3.41,17.677,0.359,0.077,0.077
805,0.85,1.2,1.5,47.55,10.1,3.4,17.782,0.375,0.075,0.075
834,0.829,1.171,0.7,47.976,10.268,3.39,17.78,0.39,0.073,0.073
841,0.81,1.19,1.1,48.286,10.381,3.405,17.871,0.381,0.071,0.071
859,0.791,1.233,0.8,48.163,10.326,3.372,17.793,0.395,0.07,0.07
882,0.795,1.25,0.6,48.182,10.318,3.386,17.759,0.409,0.068,0.068
909,0.8,1.244,0.8,48.044,10.378,3.4,17.818,0.4,0.067,0.067
934,0.826,1.239,0.9,47.913,10.304,3.413,17.835,0.391,0.065,0.065
956,0.83,1.234,0.8,47.83,10.298,3.404,17.757,0.383,0.064,0.064
973,0.812,1.271,0.8,47.771,10.292,3.354,17.729,0.375,0.062,0.062
992,0.837,1.265,0.8,48.0,10.306,3.306,17.749,0.367,0.061,0.061
1001,0.84,1.26,0.8,48.02,10.26,3.28,17.756,0.36,0.06,0.06
1021,0.824,1.275,1.1,47.922,10.137,3.235,17.624,0.353,0.059,0.059
1032,0.827,1.288,0.5,48.096,10.077,3.25,17.66,0.365,0.058,0.058
1069,0.83,1.283,0.9,48.528,10.038,3.208,17.651,0.358,0.057,0.057
1086,0.833,1.296,0.8,48.704,10.148,3.204,17.707,0.389,0.056,0.056
1109,0.818,1.382,0.3,48.6,10.145,3.182,17.725,0.382,0.055,0.055
1131,0.804,1.393,0.5,48.661,10.054,3.125,17.596,0.375,0.054,0.054
1150,0.789,1.456,2.2,48.667,9.982,3.07,17.546,0.386,0.053,0.053
1162,0.776,1.448,1.1,48.672,10.207,3.121,17.507,0.379,0.052,0.052
1177,0.78,1.424,1.2,48.746,10.22,3.102,17.512,0.39,0.051,0.051
1191,0.8,1.45,0.6,48.883,10.25,3.117,17.49,0.383,0.05,0.05
1223,0.803,1.443,2.4,48.787,10.131,3.115,17.318,0.377,0.049,0.049
1244,0.823,1.435,1.2,49.048,10.306,3.177,17.3,0.371,0.048,0.048
1270,0.825,1.444,1.4,49.238,10.302,3.175,17.303,0.381,0.048,0.048
1273,0.844,1.469,0.7,49.094,10.281,3.203,17.292,0.375,0.062,0.062
1306,0.846,1.477,0.7,49.0,10.215,3.2,17.192,0.369,0.062,0.062
1324,0.833,1.5,2.4,49.091,10.273,3.197,17.242,0.364,0.061,0.061
1348,0.881,1.493,1.1,48.955,10.284,3.224,17.251,0.358,0.06,0.06
1366,0.868,1.471,2.0,48.647,10.25,3.221,17.271,0.353,0.059,0.059
1380,0.913,1.478,1.8,48.464,10.29,3.261,17.261,0.377,0.072,0.072
1404,0.929,1.471,0.8,48.186,10.314,3.314,17.241,0.371,0.071,0.071
1430,0.915,1.493,1.5,48.296,10.338,3.31,17.223,0.366,0.07,0.07
1437,0.903,1.5,0.9,48.347,10.375,3.306,17.186,0.375,0.069,0.069
1455,0.904,1.493,1.0,48.356,10.342,3.288,17.121,0.37,0.068,0.068
1493,0.919,1.5,0.3,48.432,10.351,3.284,17.107,0.365,0.068,0.068
1513,0.92,1.547,0.5,48.347,10.24,3.253,16.999,0.36,0.067,0.067
1524,0.908,1.553,0.5,48.145,10.158,3.237,17.025,0.368,0.066,0.066
1545,0.896,1.558,0.7,48.13,10.143,3.234,17.055,0.377,0.065,0.065
1566,0.897,1.551,0.5,48.128,10.154,3.218,17.101,0.372,0.064,0.064
1582,0.899,1.57,1.0,48.114,10.152,3.228,17.073,0.367,0.063,0.063
1604,0.925,1.612,1.3,48.212,10.238,3.262,17.121,0.362,0.062,0.062
1633,0.938,1.617,1.3,48.222,10.284,3.309,17.057,0.358,0.062,0.062
1655,0.976,1.61,0.8,48.134,10.28,3.329,17.05,0.354,0.061,0.061
1669,0.964,1.639,1.4,48.229,10.229,3.313,17.094,0.349,0.06,0.06
1685,0.964,1.643,1.1,48.202,10.333,3.333,17.104,0.345,0.06,0.06
1701,0.988,1.624,0.7,48.176,10.306,3.341,17.074,0.353,0.059,0.059
1725,1.0,1.628,1.6,48.221,10.314,3.337,17.108,0.36,0.058,0.058
1739,0.989,1.644,0.8,48.126,10.345,3.379,17.111,0.356,0.057,0.057
1769,0.989,1.659,1.5,48.0,10.33,3.386,17.107,0.352,0.057,0.057
1776,0.989,1.663,2.0,48.022,10.393,3.393,17.162,0.371,0.056,0.056
1804,0.989,1.644,0.4,48.089,10.422,3.411,17.166,0.378,0.056,0.056
1822,1.0,1.637,2.6,48.0,10.363,3.407,17.18,0.374,0.055,0.055
1848,1.011,1.63,0.2,48.076,10.489,3.435,17.137,0.37,0.054,0.054
1861,1.011,1.613,0.4,48.0,10.419,3.419,17.174,0.376,0.054,0.054
1889,1.0,1.606,1.4,47.883,10.372,3.383,17.165,0.372,0.053,0.053
