ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
106,1.1,1.1,0.4,47.4,12.3,3.9,0.311,0.655,18.35,0.3,0.0,0.0,0.3
109,1.0,1.364,1.1,46.727,12.0,3.818,0.313,0.626,18.364,0.364,0.0,0.0,0.273
118,0.917,1.333,0.5,47.0,12.333,4.083,0.323,0.574,18.375,0.417,0.0,0.0,0.333
136,1.0,1.308,1.5,46.846,12.308,4.077,0.324,0.581,18.646,0.385,0.0,0.0,0.308
147,1.0,1.357,0.9,48.0,12.429,3.929,0.311,0.575,18.779,0.5,0.071,0.071,0.286
154,1.0,1.333,0.5,48.467,12.333,4.067,0.327,0.581,18.673,0.533,0.067,0.067,0.267
160,0.938,1.312,1.6,48.062,12.125,4.125,0.341,0.587,18.65,0.5,0.062,0.062,0.25
167,1.059,1.412,0.7,47.941,12.0,4.059,0.339,0.552,18.712,0.471,0.118,0.118,0.294
171,1.056,1.444,1.5,48.167,12.0,4.0,0.334,0.54,18.667,0.5,0.111,0.111,0.278
190,1.105,1.526,0.5,49.158,12.579,4.105,0.33,0.512,18.589,0.526,0.105,0.105,0.368
199,1.05,1.45,0.4,47.8,12.15,3.9,0.313,0.536,18.655,0.55,0.1,0.1,0.35
206,1.0,1.429,1.5,48.0,11.857,3.905,0.33,0.534,18.514,0.524,0.095,0.095,0.333
222,1.045,1.409,1.1,48.318,11.773,4.0,0.342,0.54,18.555,0.5,0.136,0.136,0.318
230,1.0,1.348,1.1,48.13,11.826,3.87,0.331,0.56,18.509,0.522,0.13,0.13,0.304
238,1.042,1.333,0.6,48.167,11.708,3.833,0.331,0.565,18.537,0.5,0.167,0.167,0.292
252,1.04,1.28,1.1,47.92,11.84,3.88,0.331,0.582,18.72,0.48,0.16,0.16,0.28
259,1.038,1.269,0.3,48.077,11.923,3.885,0.329,0.592,18.735,0.5,0.154,0.154,0.269
268,1.037,1.37,1.6,47.333,11.704,3.778,0.323,0.592,18.607,0.481,0.148,0.148,0.259
286,1.0,1.321,1.1,47.464,11.643,3.714,0.319,0.607,18.564,0.5,0.143,0.143,0.25
300,0.966,1.31,2.1,47.655,11.586,3.759,0.325,0.612,18.445,0.517,0.138,0.138,0.241
301,1.0,1.367,0.5,48.233,11.867,3.8,0.323,0.608,18.35,0.5,0.133,0.133,0.233
313,1.0,1.323,1.1,48.29,11.71,3.774,0.326,0.621,18.239,0.516,0.129,0.129,0.226
325,1.0,1.281,0.4,48.281,11.656,3.781,0.328,0.632,18.094,0.5,0.125,0.125,0.219
336,0.97,1.364,1.0,48.576,11.667,3.727,0.323,0.626,18.297,0.515,0.121,0.121,0.212
343,0.971,1.353,1.1,48.824,11.912,3.912,0.329,0.627,18.318,0.5,0.118,0.118,0.206
358,1.0,1.343,0.9,49.171,12.029,3.971,0.33,0.629,18.38,0.514,0.114,0.114,0.2
365,0.972,1.361,0.3,48.861,12.111,3.944,0.326,0.634,18.358,0.5,0.111,0.111,0.194
379,0.946,1.351,0.9,49.135,12.027,3.919,0.327,0.637,18.443,0.486,0.108,0.108,0.189
384,0.947,1.368,1.3,49.342,12.079,3.921,0.325,0.629,18.432,0.474,0.105,0.105,0.211
398,0.923,1.359,1.7,49.205,12.205,3.897,0.322,0.633,18.418,0.462,0.103,0.103,0.205
410,0.9,1.35,2.1,49.425,12.525,3.95,0.32,0.638,18.465,0.45,0.1,0.1,0.225
417,0.878,1.341,2.2,49.293,12.585,3.976,0.32,0.638,18.402,0.439,0.098,0.098,0.22
422,0.905,1.31,0.6,49.429,12.619,4.0,0.321,0.647,18.355,0.452,0.095,0.095,0.214
438,0.884,1.326,1.0,49.721,12.581,3.907,0.313,0.632,18.458,0.465,0.093,0.093,0.233
442,0.886,1.295,1.0,49.568,12.409,3.886,0.32,0.64,18.345,0.455,0.091,0.091,0.227
455,0.911,1.289,2.0,49.622,12.289,3.867,0.322,0.637,18.376,0.444,0.089,0.089,0.222
466,0.957,1.304,0.9,49.674,12.217,3.87,0.325,0.636,18.289,0.457,0.087,0.087,0.217
480,0.957,1.298,1.7,49.426,12.128,3.872,0.329,0.637,18.251,0.468,0.085,0.085,0.234
484,0.979,1.292,0.3,49.667,12.083,3.875,0.33,0.64,18.196,0.479,0.083,0.083,0.229
495,0.959,1.306,1.4,49.469,11.918,3.837,0.334,0.641,18.208,0.49,0.082,0.082,0.224
504,0.96,1.28,0.3,49.52,11.98,3.86,0.334,0.648,18.226,0.48,0.08,0.08,0.22
514,0.941,1.255,0.7,49.667,11.843,3.824,0.335,0.655,18.202,0.471,0.078,0.078,0.216
522,0.923,1.231,0.1,49.962,11.923,3.788,0.331,0.662,18.238,0.462,0.077,0.077,0.212
531,0.906,1.226,0.2,49.66,11.755,3.736,0.331,0.663,18.342,0.453,0.075,0.075,0.208
542,0.889,1.222,1.0,49.278,11.574,3.685,0.334,0.667,18.191,0.444,0.074,0.074,0.222
547,0.891,1.2,0.2,49.127,11.509,3.709,0.339,0.673,18.187,0.455,0.073,0.073,0.218
571,0.875,1.179,0.7,48.911,11.375,3.661,0.338,0.679,18.352,0.446,0.071,0.071,0.214
577,0.877,1.158,2.5,48.912,11.509,3.702,0.337,0.685,18.388,0.456,0.07,0.07,0.211
589,0.914,1.155,0.2,48.81,11.448,3.707,0.34,0.688,18.336,0.448,0.086,0.086,0.207
604,0.932,1.153,0.8,48.831,11.373,3.678,0.339,0.677,18.393,0.441,0.085,0.085,0.203
611,0.917,1.15,1.3,48.983,11.433,3.683,0.338,0.674,18.405,0.467,0.083,0.083,0.2
624,0.934,1.131,0.5,48.869,11.426,3.738,0.343,0.679,18.364,0.459,0.082,0.082,0.197
628,0.952,1.129,1.0,48.677,11.419,3.726,0.342,0.682,18.381,0.468,0.081,0.081,0.194
636,0.952,1.143,0.7,48.603,11.333,3.698,0.342,0.681,18.324,0.46,0.079,0.079,0.19
640,0.938,1.141,0.7,48.797,11.375,3.656,0.337,0.682,18.367,0.453,0.078,0.078,0.188
648,0.923,1.154,0.7,49.015,11.385,3.677,0.339,0.682,18.389,0.446,0.077,0.077,0.2
658,0.97,1.136,0.8,49.273,11.364,3.697,0.341,0.672,18.397,0.439,0.076,0.076,0.197
665,0.97,1.119,1.2,49.448,11.403,3.687,0.339,0.677,18.446,0.433,0.075,0.075,0.194
673,0.985,1.147,1.3,49.426,11.441,3.75,0.343,0.673,18.482,0.426,0.074,0.074,0.191
680,1.0,1.145,0.4,49.42,11.435,3.754,0.343,0.674,18.432,0.42,0.072,0.072,0.203
707,0.986,1.143,0.6,49.543,11.343,3.729,0.344,0.674,18.429,0.414,0.071,0.071,0.214
717,0.972,1.141,0.7,49.746,11.324,3.732,0.345,0.676,18.437,0.408,0.07,0.07,0.211
726,0.958,1.167,2.0,49.736,11.319,3.694,0.341,0.675,18.44,0.417,0.069,0.069,0.236
737,0.973,1.178,0.5,49.616,11.356,3.699,0.34,0.674,18.401,0.411,0.068,0.068,0.247
744,0.973,1.23,0.9,49.405,11.297,3.689,0.341,0.665,18.381,0.405,0.068,0.068,0.243
752,0.973,1.227,1.3,49.6,11.373,3.693,0.34,0.663,18.413,0.413,0.067,0.067,0.24
765,0.974,1.25,1.3,49.434,11.316,3.711,0.345,0.661,18.364,0.408,0.066,0.066,0.237
775,0.974,1.26,0.9,49.571,11.364,3.74,0.346,0.659,18.371,0.403,0.065,0.065,0.234
781,0.962,1.244,0.7,49.692,11.308,3.705,0.343,0.664,18.376,0.41,0.064,0.064,0.244
799,0.949,1.241,0.7,49.696,11.418,3.696,0.341,0.665,18.42,0.418,0.063,0.063,0.241
805,0.95,1.238,1.5,49.538,11.4,3.7,0.341,0.667,18.449,0.425,0.062,0.062,0.238
813,0.938,1.222,0.8,49.728,11.469,3.691,0.339,0.671,18.44,0.432,0.062,0.062,0.235
823,0.939,1.207,0.4,49.744,11.415,3.671,0.339,0.675,18.372,0.427,0.061,0.061,0.232
834,0.928,1.229,0.7,49.639,11.349,3.639,0.337,0.674,18.387,0.446,0.06,0.06,0.229
841,0.917,1.238,1.1,49.774,11.393,3.643,0.336,0.673,18.425,0.44,0.06,0.06,0.226
851,0.906,1.259,1.3,49.694,11.353,3.624,0.335,0.672,18.379,0.447,0.059,0.059,0.224
859,0.907,1.244,0.8,49.791,11.314,3.593,0.332,0.675,18.36,0.442,0.07,0.07,0.233
873,0.908,1.253,2.1,49.782,11.299,3.598,0.333,0.673,18.337,0.448,0.069,0.069,0.23
882,0.898,1.284,0.6,49.898,11.409,3.614,0.332,0.666,18.307,0.455,0.068,0.068,0.227
889,0.899,1.281,1.2,49.809,11.427,3.618,0.332,0.666,18.33,0.449,0.067,0.067,0.225
904,0.911,1.3,0.7,49.578,11.378,3.622,0.334,0.665,18.33,0.444,0.078,0.078,0.222
909,0.901,1.308,0.8,49.451,11.374,3.604,0.333,0.662,18.348,0.451,0.077,0.077,0.22
919,0.913,1.304,0.7,49.37,11.326,3.609,0.335,0.663,18.351,0.446,0.076,0.076,0.217
934,0.903,1.301,0.9,49.333,11.312,3.602,0.335,0.665,18.34,0.462,0.075,0.075,0.215
943,0.904,1.298,0.9,49.277,11.298,3.596,0.335,0.665,18.296,0.457,0.074,0.074,0.213
956,0.905,1.284,0.8,49.368,11.358,3.6,0.334,0.669,18.314,0.453,0.074,0.074,0.211
966,0.896,1.302,2.0,49.323,11.344,3.573,0.331,0.666,18.294,0.448,0.073,0.073,0.219
973,0.918,1.289,0.8,49.237,11.351,3.588,0.332,0.669,18.294,0.443,0.072,0.072,0.216
987,0.929,1.286,1.3,49.337,11.347,3.561,0.33,0.667,18.298,0.439,0.071,0.071,0.214
992,0.919,1.283,0.8,49.525,11.384,3.566,0.329,0.661,18.247,0.434,0.071,0.071,0.212
1001,0.92,1.28,0.8,49.52,11.35,3.55,0.328,0.662,18.246,0.43,0.07,0.07,0.21
1007,0.911,1.287,0.5,49.455,11.277,3.525,0.327,0.662,18.174,0.426,0.069,0.069,0.208
1021,0.912,1.275,1.1,49.422,11.245,3.539,0.33,0.665,18.202,0.422,0.069,0.069,0.206
1026,0.913,1.282,2.7,49.495,11.204,3.544,0.333,0.666,18.215,0.427,0.068,0.068,0.204
1032,0.923,1.308,0.5,49.644,11.317,3.587,0.333,0.66,18.194,0.433,0.067,0.067,0.202
1052,0.924,1.305,0.6,49.848,11.286,3.562,0.331,0.662,18.185,0.429,0.067,0.067,0.2
1061,0.925,1.292,0.8,49.736,11.264,3.566,0.332,0.665,18.242,0.425,0.066,0.066,0.198
1069,0.935,1.28,0.9,49.738,11.262,3.617,0.336,0.668,18.243,0.421,0.065,0.065,0.196
1075,0.935,1.287,1.4,49.815,11.306,3.611,0.335,0.668,18.266,0.435,0.065,0.065,0.204
1086,0.945,1.275,0.8,49.734,11.275,3.596,0.334,0.671,18.254,0.431,0.073,0.073,0.202
1101,0.936,1.318,0.8,49.673,11.264,3.582,0.333,0.667,18.258,0.427,0.073,0.073,0.2
1109,0.937,1.306,0.3,49.568,11.216,3.568,0.333,0.67,18.252,0.423,0.072,0.072,0.198
1121,0.929,1.312,1.6,49.589,11.161,3.536,0.33,0.671,18.183,0.42,0.071,0.071,0.196
1131,0.929,1.31,0.5,49.611,11.177,3.549,0.331,0.672,18.181,0.425,0.071,0.071,0.195
1150,0.921,1.342,2.2,49.605,11.132,3.518,0.328,0.669,18.15,0.43,0.07,0.07,0.193
1152,0.913,1.339,2.1,49.6,11.235,3.539,0.327,0.668,18.125,0.426,0.07,0.07,0.191
1162,0.914,1.362,1.1,49.578,11.276,3.552,0.327,0.666,18.108,0.422,0.069,0.069,0.19
1177,0.915,1.35,1.2,49.607,11.274,3.538,0.326,0.669,18.105,0.427,0.068,0.068,0.188
1180,0.924,1.364,0.6,49.669,11.28,3.542,0.326,0.67,18.089,0.424,0.068,0.068,0.186
1191,0.924,1.378,0.6,49.546,11.277,3.529,0.325,0.667,18.094,0.42,0.067,0.067,0.185
1203,0.925,1.375,0.4,49.492,11.208,3.525,0.33,0.667,18.002,0.417,0.067,0.067,0.192
1219,0.934,1.372,1.7,49.347,11.14,3.504,0.33,0.669,17.947,0.413,0.066,0.066,0.19
1223,0.934,1.369,2.4,49.328,11.115,3.5,0.331,0.67,17.931,0.41,0.066,0.066,0.189
1235,0.943,1.366,0.9,49.455,11.195,3.528,0.331,0.67,17.917,0.407,0.065,0.065,0.187
1244,0.952,1.371,1.2,49.403,11.194,3.548,0.332,0.668,17.911,0.411,0.065,0.065,0.194
1251,0.952,1.376,2.1,49.496,11.184,3.544,0.332,0.654,17.908,0.416,0.064,0.064,0.2
1270,0.96,1.373,1.4,49.437,11.23,3.548,0.331,0.653,17.913,0.413,0.063,0.063,0.198
1273,0.969,1.386,0.7,49.362,11.213,3.559,0.333,0.65,17.902,0.409,0.071,0.071,0.213
1281,0.969,1.391,0.8,49.312,11.172,3.555,0.334,0.65,17.847,0.406,0.07,0.07,0.211
1293,0.969,1.38,1.2,49.326,11.14,3.558,0.336,0.653,17.831,0.411,0.07,0.07,0.209
1306,0.969,1.377,0.7,49.469,11.131,3.562,0.337,0.652,17.811,0.408,0.069,0.069,0.208
1318,0.962,1.389,1.3,49.511,11.153,3.557,0.336,0.648,17.831,0.405,0.069,0.069,0.206
1324,0.97,1.386,2.4,49.379,11.174,3.576,0.336,0.649,17.823,0.409,0.068,0.068,0.205
1333,0.992,1.383,1.9,49.308,11.173,3.586,0.337,0.65,17.823,0.406,0.068,0.068,0.203
1348,1.007,1.373,1.1,49.336,11.179,3.604,0.339,0.645,17.79,0.403,0.067,0.067,0.201
1358,1.0,1.363,2.1,49.178,11.156,3.6,0.339,0.648,17.796,0.4,0.067,0.067,0.2
1366,1.015,1.382,2.0,49.206,11.184,3.61,0.339,0.647,17.787,0.404,0.074,0.074,0.199
1373,1.036,1.387,1.0,49.109,11.197,3.628,0.34,0.646,17.778,0.416,0.08,0.08,0.197
1380,1.029,1.391,1.8,49.268,11.239,3.638,0.339,0.646,17.774,0.42,0.08,0.08,0.196
1397,1.036,1.388,1.3,49.122,11.245,3.662,0.341,0.646,17.76,0.417,0.079,0.079,0.194
1404,1.036,1.379,0.8,49.221,11.257,3.65,0.34,0.649,17.738,0.414,0.079,0.079,0.193
1412,1.028,1.39,0.8,49.27,11.262,3.645,0.339,0.648,17.725,0.411,0.078,0.078,0.191
1430,1.035,1.387,1.5,49.261,11.239,3.641,0.339,0.649,17.715,0.408,0.077,0.077,0.19
1437,1.028,1.392,0.9,49.28,11.252,3.636,0.339,0.649,17.693,0.413,0.077,0.077,0.189
1449,1.028,1.389,1.5,49.278,11.229,3.625,0.338,0.65,17.656,0.41,0.076,0.076,0.188
1455,1.028,1.393,1.0,49.338,11.241,3.641,0.339,0.648,17.71,0.414,0.083,0.083,0.193
1466,1.034,1.397,0.2,49.37,11.24,3.637,0.338,0.649,17.699,0.411,0.082,0.082,0.192
1472,1.027,1.401,0.5,49.347,11.197,3.633,0.34,0.65,17.715,0.408,0.082,0.082,0.19
1478,1.02,1.399,1.2,49.439,11.223,3.635,0.34,0.651,17.731,0.405,0.081,0.081,0.189
1493,1.027,1.396,0.3,49.497,11.235,3.644,0.34,0.652,17.738,0.403,0.081,0.081,0.188
1504,1.027,1.42,1.6,49.447,11.173,3.627,0.341,0.651,17.68,0.4,0.08,0.08,0.2
1513,1.026,1.43,0.5,49.53,11.192,3.656,0.343,0.647,17.66,0.397,0.079,0.079,0.199
1524,1.02,1.434,0.5,49.421,11.145,3.645,0.344,0.648,17.668,0.401,0.079,0.079,0.197
1538,1.013,1.438,1.9,49.405,11.131,3.641,0.344,0.648,17.679,0.405,0.078,0.078,0.196
1545,1.019,1.468,0.7,49.344,11.136,3.643,0.343,0.646,17.688,0.409,0.078,0.078,0.195
1560,1.019,1.465,1.2,49.335,11.135,3.632,0.342,0.647,17.708,0.406,0.077,0.077,0.194
1566,1.019,1.468,0.5,49.333,11.141,3.641,0.343,0.647,17.692,0.404,0.077,0.077,0.192
1577,1.019,1.478,0.6,49.318,11.134,3.643,0.343,0.643,17.674,0.401,0.076,0.076,0.191
1582,1.019,1.481,1.0,49.291,11.114,3.639,0.343,0.642,17.707,0.399,0.076,0.076,0.196
1598,1.031,1.503,0.8,49.333,11.151,3.654,0.344,0.642,17.727,0.396,0.075,0.075,0.201
1604,1.031,1.506,1.3,49.169,11.1,3.644,0.346,0.642,17.726,0.394,0.075,0.075,0.2
1617,1.037,1.509,1.5,49.168,11.118,3.665,0.347,0.642,17.69,0.391,0.075,0.075,0.199
1624,1.043,1.512,1.3,49.216,11.117,3.679,0.348,0.643,17.69,0.389,0.074,0.074,0.198
1633,1.049,1.503,1.3,49.092,11.098,3.681,0.349,0.639,17.723,0.387,0.074,0.074,0.196
1644,1.067,1.5,0.5,49.043,11.091,3.689,0.35,0.639,17.715,0.384,0.073,0.073,0.195
1655,1.073,1.515,0.8,49.109,11.085,3.685,0.349,0.636,17.728,0.388,0.073,0.073,0.212
1669,1.066,1.53,1.4,49.151,11.054,3.675,0.349,0.632,17.746,0.386,0.072,0.072,0.211
1671,1.066,1.533,1.3,49.132,11.102,3.683,0.349,0.632,17.747,0.383,0.072,0.072,0.21
1685,1.065,1.536,1.1,49.161,11.131,3.696,0.349,0.63,17.751,0.381,0.071,0.071,0.208
1696,1.077,1.527,0.9,49.142,11.112,3.698,0.35,0.632,17.733,0.385,0.071,0.071,0.207
1701,1.082,1.518,0.7,49.153,11.088,3.7,0.351,0.634,17.77,0.388,0.071,0.071,0.206
1719,1.088,1.52,1.5,49.17,11.088,3.696,0.351,0.63,17.783,0.392,0.07,0.07,0.211
1725,1.081,1.529,1.6,49.233,11.099,3.703,0.351,0.627,17.769,0.39,0.07,0.07,0.209
1739,1.075,1.538,0.8,49.179,11.11,3.723,0.352,0.625,17.766,0.387,0.069,0.069,0.208
1741,1.075,1.546,0.7,49.109,11.098,3.724,0.352,0.625,17.76,0.385,0.069,0.069,0.207
1755,1.069,1.543,1.6,49.12,11.086,3.726,0.353,0.625,17.785,0.383,0.069,0.069,0.206
1769,1.074,1.534,1.5,49.023,11.068,3.733,0.354,0.627,17.781,0.386,0.068,0.068,0.205
1776,1.073,1.537,2.0,49.028,11.096,3.734,0.354,0.624,17.805,0.395,0.068,0.068,0.209
1783,1.073,1.528,1.3,49.056,11.107,3.742,0.354,0.626,17.803,0.399,0.067,0.067,0.208
1797,1.073,1.531,0.8,49.117,11.145,3.749,0.354,0.626,17.804,0.413,0.067,0.067,0.207
1804,1.072,1.528,0.4,49.211,11.144,3.744,0.353,0.626,17.807,0.417,0.067,0.067,0.206
1811,1.077,1.525,1.2,49.16,11.11,3.74,0.355,0.626,17.81,0.414,0.066,0.066,0.204
1822,1.077,1.516,2.6,49.121,11.099,3.731,0.354,0.629,17.831,0.418,0.066,0.066,0.203
1836,1.082,1.514,2.4,49.153,11.158,3.743,0.353,0.628,17.805,0.415,0.066,0.066,0.202
1848,1.098,1.516,0.2,49.087,11.168,3.75,0.354,0.627,17.793,0.418,0.065,0.065,0.201
1856,1.097,1.508,2.0,49.043,11.13,3.741,0.354,0.629,17.808,0.422,0.065,0.065,0.2
1861,1.108,1.5,0.4,49.081,11.177,3.747,0.354,0.631,17.819,0.425,0.065,0.065,0.204
1872,1.102,1.497,0.9,49.016,11.15,3.727,0.352,0.63,17.811,0.422,0.064,0.064,0.203
1889,1.096,1.5,1.4,49.053,11.144,3.723,0.352,0.622,17.798,0.42,0.064,0.064,0.207
1893,1.101,1.513,1.0,49.159,11.148,3.72,0.351,0.622,17.784,0.418,0.063,0.063,0.206
