ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
206,1.2,1.3,1.5,50.6,14.9,4.9,18.81,0.6,0.0,0.0
222,1.273,1.273,1.1,51.0,14.455,5.0,18.864,0.545,0.091,0.091
238,1.167,1.167,0.6,50.417,14.333,4.667,18.75,0.583,0.083,0.083
286,1.154,1.077,1.1,49.769,14.385,4.692,19.085,0.538,0.077,0.077
300,1.071,1.071,2.1,50.0,14.071,4.714,18.8,0.571,0.071,0.071
313,1.133,1.2,1.1,51.0,14.467,4.733,18.587,0.533,0.067,0.067
325,1.125,1.125,0.4,50.812,14.188,4.688,18.275,0.5,0.062,0.062
343,1.059,1.294,1.1,51.235,14.059,4.529,18.659,0.529,0.059,0.059
379,1.111,1.278,0.9,51.778,14.167,4.611,18.761,0.556,0.056,0.056
398,1.105,1.316,1.7,52.053,14.158,4.579,18.721,0.526,0.053,0.053
410,1.05,1.3,2.1,52.35,14.7,4.65,18.8,0.5,0.05,0.05
422,1.0,1.286,0.6,51.952,14.714,4.667,18.662,0.476,0.048,0.048
442,0.955,1.318,1.0,52.409,14.545,4.455,18.85,0.5,0.045,0.045
480,1.0,1.304,1.7,52.391,14.217,4.391,18.887,0.478,0.043,0.043
495,1.042,1.292,1.4,52.75,14.042,4.375,18.75,0.5,0.042,0.042
514,1.04,1.24,0.7,52.72,14.08,4.4,18.764,0.48,0.04,0.04
522,1.0,1.192,0.1,53.192,14.154,4.308,18.815,0.462,0.038,0.038
547,0.963,1.185,0.2,52.481,13.741,4.185,18.996,0.444,0.037,0.037
577,0.929,1.143,2.5,51.929,13.393,4.071,19.296,0.429,0.036,0.036
604,1.0,1.138,0.8,51.621,13.207,4.069,19.162,0.414,0.069,0.069
624,0.967,1.133,0.5,51.833,13.267,4.067,19.16,0.467,0.067,0.067
640,1.0,1.129,0.7,51.355,13.194,4.032,19.168,0.484,0.065,0.065
648,0.969,1.156,0.7,51.719,13.156,4.062,19.188,0.469,0.062,0.062
665,1.061,1.121,1.2,52.152,13.061,4.091,19.179,0.455,0.061,0.061
673,1.088,1.176,1.3,52.029,13.088,4.206,19.229,0.441,0.059,0.059
717,1.114,1.171,0.7,51.943,13.029,4.2,19.109,0.429,0.057,0.057
737,1.083,1.222,0.5,51.861,12.972,4.111,19.097,0.444,0.056,0.056
744,1.081,1.324,0.9,51.378,12.811,4.081,19.038,0.432,0.054,0.054
775,1.079,1.316,0.9,51.711,12.921,4.079,19.084,0.447,0.053,0.053
799,1.051,1.282,0.7,51.897,12.769,4.0,19.074,0.462,0.051,0.051
813,1.05,1.275,0.8,51.525,12.7,4.0,19.115,0.475,0.05,0.05
823,1.049,1.244,0.4,51.512,12.561,3.951,18.963,0.463,0.049,0.049
851,1.024,1.286,1.3,51.262,12.405,3.881,18.979,0.5,0.048,0.048
873,1.023,1.256,2.1,51.419,12.302,3.814,18.928,0.488,0.07,0.07
889,1.0,1.318,1.2,51.614,12.5,3.841,18.855,0.5,0.068,0.068
904,1.022,1.356,0.7,51.111,12.378,3.844,18.842,0.489,0.089,0.089
919,1.0,1.37,0.7,50.826,12.348,3.804,18.867,0.5,0.087,0.087
943,0.979,1.362,0.9,50.723,12.298,3.787,18.834,0.532,0.085,0.085
966,0.979,1.333,2.0,50.875,12.396,3.792,18.858,0.521,0.083,0.083
987,1.02,1.306,1.3,50.673,12.388,3.816,18.847,0.51,0.082,0.082
1007,1.0,1.3,0.5,51.02,12.44,3.82,18.736,0.5,0.08,0.08
1026,1.0,1.275,2.7,50.922,12.353,3.843,18.78,0.49,0.078,0.078
1052,1.019,1.327,0.6,51.192,12.558,3.923,18.729,0.5,0.077,0.077
1061,1.019,1.302,0.8,50.943,12.491,3.925,18.832,0.491,0.075,0.075
1075,1.037,1.278,1.4,50.926,12.463,4.019,18.824,0.481,0.074,0.074
1101,1.055,1.255,0.8,50.745,12.382,3.982,18.791,0.473,0.091,0.091
1121,1.054,1.232,1.6,50.518,12.268,3.946,18.77,0.464,0.089,0.089
1152,1.053,1.228,2.1,50.544,12.281,3.965,18.754,0.474,0.088,0.088
1180,1.052,1.276,0.6,50.483,12.345,3.983,18.709,0.466,0.086,0.086
1203,1.051,1.305,0.4,50.22,12.322,3.949,18.708,0.458,0.085,0.085
1219,1.067,1.3,1.7,49.917,12.167,3.9,18.587,0.45,0.083,0.083
1235,1.066,1.295,0.9,49.869,12.098,3.885,18.544,0.443,0.082,0.082
1251,1.081,1.306,2.1,49.758,12.081,3.919,18.523,0.452,0.081,0.081
1281,1.095,1.302,0.8,49.635,12.159,3.921,18.522,0.444,0.079,0.079
1293,1.094,1.281,1.2,49.656,12.078,3.922,18.48,0.453,0.078,0.078
