ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
35,1.0,3.0,1.2,35.0,10.0,1.0,0.1,0.625,17.4,0.0,0.0,0.0,1.0
55,1.0,1.5,0.7,41.5,12.0,3.0,0.229,0.812,18.45,0.5,0.0,0.0,0.5
59,1.0,1.333,1.3,48.667,13.333,3.0,0.215,0.708,20.033,0.333,0.0,0.0,0.333
88,1.25,1.0,1.5,47.75,13.75,3.5,0.244,0.781,19.725,0.25,0.0,0.0,0.25
109,1.2,1.0,1.1,47.4,15.0,4.6,0.286,0.725,19.08,0.4,0.0,0.0,0.2
118,1.0,1.0,0.5,47.833,15.167,5.0,0.311,0.604,18.983,0.5,0.0,0.0,0.333
147,1.143,1.0,0.9,47.429,14.714,4.857,0.314,0.613,19.4,0.429,0.0,0.0,0.286
167,1.125,1.0,0.7,48.375,14.25,5.0,0.343,0.62,19.125,0.5,0.0,0.0,0.25
171,1.111,1.111,1.5,48.778,14.0,4.778,0.333,0.588,18.989,0.556,0.0,0.0,0.222
206,1.2,1.3,1.5,50.6,14.9,4.9,0.326,0.529,18.81,0.6,0.0,0.0,0.4
222,1.273,1.273,1.1,51.0,14.455,5.0,0.35,0.542,18.864,0.545,0.091,0.091,0.364
238,1.167,1.167,0.6,50.417,14.333,4.667,0.328,0.58,18.75,0.583,0.083,0.083,0.333
286,1.154,1.077,1.1,49.769,14.385,4.692,0.328,0.612,19.085,0.538,0.077,0.077,0.308
300,1.071,1.071,2.1,50.0,14.071,4.714,0.34,0.622,18.8,0.571,0.071,0.071,0.286
313,1.133,1.2,1.1,51.0,14.467,4.733,0.334,0.614,18.587,0.533,0.067,0.067,0.267
325,1.125,1.125,0.4,50.812,14.188,4.688,0.338,0.638,18.275,0.5,0.062,0.062,0.25
343,1.059,1.294,1.1,51.235,14.059,4.529,0.328,0.626,18.659,0.529,0.059,0.059,0.235
379,1.111,1.278,0.9,51.778,14.167,4.611,0.331,0.628,18.761,0.556,0.056,0.056,0.222
410,0.0,1.0,2.1,58.0,25.0,6.0,0.24,0.8,20.3,0.0,0.0,0.0,1.0
422,0.0,1.0,0.6,51.0,20.0,5.5,0.287,0.733,18.1,0.0,0.0,0.0,0.5
442,0.0,1.333,1.0,54.667,17.0,3.667,0.191,0.489,19.667,0.333,0.0,0.0,0.667
480,0.5,1.25,1.7,54.0,14.5,3.5,0.25,0.492,19.675,0.25,0.0,0.0,0.5
495,0.8,1.2,1.4,55.4,13.6,3.6,0.28,0.553,18.86,0.4,0.0,0.0,0.4
514,0.833,1.0,0.7,54.833,13.833,3.833,0.289,0.628,18.9,0.333,0.0,0.0,0.333
522,0.714,0.857,0.1,56.286,14.143,3.571,0.266,0.681,19.071,0.286,0.0,0.0,0.286
