ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
199,0.9,1.6,0.4,45.0,9.4,2.9,0.301,0.543,18.5,0.5,0.2,0.2,0.3
230,0.7,1.7,1.1,45.7,8.9,2.9,0.331,0.493,18.35,0.5,0.2,0.2,0.3
252,0.9,1.4,1.1,44.3,8.7,3.0,0.346,0.517,18.16,0.5,0.3,0.3,0.3
259,0.9,1.5,0.3,46.1,9.4,3.1,0.332,0.5,18.24,0.6,0.3,0.3,0.3
268,1.0,1.8,1.6,43.8,9.2,3.0,0.324,0.56,17.83,0.5,0.3,0.3,0.1
301,0.8,1.7,0.5,44.5,9.1,2.7,0.298,0.61,18.36,0.6,0.3,0.3,0.1
336,0.9,1.3,1.0,45.5,8.9,2.7,0.308,0.677,18.0,0.6,0.3,0.3,0.1
358,0.9,1.2,0.9,44.9,9.5,3.5,0.344,0.693,17.85,0.4,0.2,0.2,0.1
365,0.9,1.3,0.3,44.5,10.1,3.3,0.308,0.708,17.78,0.4,0.2,0.2,0.1
384,0.6,1.1,1.3,45.8,10.0,3.3,0.311,0.783,17.96,0.4,0.1,0.1,0.0
417,0.6,1.2,2.2,48.0,11.3,3.6,0.329,0.763,17.76,0.3,0.1,0.1,0.0
438,0.8,1.1,1.0,48.3,12.1,3.7,0.298,0.813,17.83,0.4,0.1,0.1,0.0
455,0.7,1.0,2.0,47.7,11.7,3.7,0.325,0.847,17.26,0.4,0.0,0.0,0.0
466,0.9,1.1,0.9,47.7,11.2,3.7,0.341,0.823,16.79,0.4,0.0,0.0,0.0
484,0.9,0.8,0.3,48.7,11.4,4.0,0.374,0.83,16.91,0.5,0.0,0.0,0.1
504,0.9,1.0,0.3,47.6,10.8,4.0,0.404,0.797,17.05,0.5,0.0,0.0,0.1
531,0.8,1.0,0.2,48.3,10.6,3.9,0.401,0.797,17.26,0.4,0.0,0.0,0.1
542,0.7,1.0,1.0,45.5,8.8,3.0,0.401,0.818,16.38,0.4,0.0,0.0,0.2
571,0.8,0.8,0.7,45.8,8.1,3.2,0.444,0.836,16.42,0.5,0.0,0.0,0.2
589,0.9,0.7,0.2,44.8,9.1,3.5,0.442,0.861,16.31,0.6,0.0,0.0,0.2
611,1.1,0.7,1.3,45.4,8.1,3.4,0.453,0.781,16.69,0.6,0.0,0.0,0.2
628,1.1,0.7,1.0,44.1,7.8,3.6,0.481,0.781,16.64,0.5,0.0,0.0,0.2
636,1.1,0.9,0.7,44.2,7.9,3.5,0.454,0.741,16.77,0.5,0.0,0.0,0.2
658,0.8,0.8,0.8,45.1,8.4,3.2,0.417,0.756,17.44,0.4,0.0,0.0,0.2
680,0.8,0.7,0.4,47.4,9.0,3.1,0.388,0.789,17.96,0.3,0.0,0.0,0.1
707,0.8,0.6,0.6,49.2,9.1,3.1,0.378,0.789,17.9,0.2,0.0,0.0,0.2
726,0.8,0.7,2.0,49.9,9.6,3.3,0.378,0.769,18.1,0.2,0.0,0.0,0.2
752,1.0,0.8,1.3,51.1,10.8,3.6,0.357,0.742,18.64,0.2,0.0,0.0,0.2
765,1.0,1.1,1.3,50.7,10.7,3.6,0.366,0.699,18.31,0.1,0.0,0.0,0.2
781,1.0,1.3,0.7,51.8,10.3,3.6,0.374,0.649,18.16,0.0,0.0,0.0,0.2
805,0.8,1.3,1.5,51.8,11.6,3.7,0.361,0.724,18.18,0.1,0.0,0.0,0.2
834,0.6,1.3,0.7,54.1,12.2,3.3,0.315,0.724,18.36,0.2,0.0,0.0,0.2
841,0.5,1.3,1.1,55.8,13.1,3.5,0.308,0.724,19.04,0.2,0.0,0.0,0.2
