ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
106,1.1,1.1,0.4,47.4,12.3,3.9,0.311,0.655,18.35,0.3,0.0,0.0,0.3
109,0.9,1.5,1.1,46.9,12.1,3.8,0.308,0.589,18.48,0.4,0.0,0.0,0.3
118,0.8,1.3,0.5,48.4,12.7,4.4,0.341,0.526,18.59,0.5,0.0,0.0,0.3
136,1.0,1.0,1.5,46.6,12.8,4.6,0.357,0.55,18.67,0.5,0.0,0.0,0.3
147,1.0,1.2,0.9,48.1,12.8,4.3,0.335,0.5,18.77,0.6,0.1,0.1,0.3
154,1.0,1.3,0.5,50.2,13.2,4.6,0.347,0.467,18.66,0.7,0.1,0.1,0.3
160,0.9,1.3,1.6,48.1,12.5,4.8,0.384,0.483,18.17,0.7,0.1,0.1,0.3
167,1.0,1.6,0.7,48.2,12.0,4.6,0.38,0.383,18.26,0.7,0.2,0.2,0.4
171,1.1,1.7,1.5,48.3,12.4,4.7,0.38,0.417,18.11,0.7,0.2,0.2,0.2
190,1.2,1.9,0.5,50.4,12.7,4.4,0.361,0.367,18.18,0.7,0.2,0.2,0.4
199,1.0,1.8,0.4,48.2,12.0,3.9,0.316,0.417,18.96,0.8,0.2,0.2,0.4
206,1.0,1.5,1.5,49.4,11.7,4.0,0.349,0.433,18.68,0.7,0.2,0.2,0.4
222,1.2,1.5,1.1,49.9,11.1,3.9,0.365,0.5,18.77,0.6,0.3,0.3,0.3
230,1.0,1.4,1.1,49.8,11.2,3.6,0.34,0.533,18.33,0.7,0.3,0.3,0.3
238,1.1,1.3,0.6,48.4,10.7,3.7,0.359,0.55,18.2,0.5,0.3,0.3,0.3
252,1.1,1.2,1.1,47.1,11.1,3.6,0.338,0.583,18.79,0.4,0.3,0.3,0.3
259,1.2,1.2,0.3,48.1,11.6,3.5,0.311,0.6,18.87,0.5,0.3,0.3,0.3
268,1.0,1.3,1.6,46.3,11.2,3.3,0.297,0.66,18.43,0.5,0.2,0.2,0.2
286,0.9,1.1,1.1,46.2,11.0,3.2,0.292,0.727,18.38,0.5,0.2,0.2,0.2
300,0.7,0.9,2.1,44.8,9.7,3.1,0.316,0.802,18.17,0.5,0.2,0.2,0.0
301,0.9,1.2,0.5,49.1,11.3,3.6,0.341,0.752,17.74,0.4,0.2,0.2,0.0
313,1.0,1.1,1.1,48.9,11.4,3.5,0.317,0.802,17.66,0.5,0.2,0.2,0.0
325,0.9,1.0,0.4,48.2,11.4,3.3,0.297,0.835,17.08,0.5,0.1,0.1,0.0
336,0.9,1.4,1.0,49.6,11.3,3.4,0.306,0.778,17.81,0.5,0.1,0.1,0.0
343,0.8,1.4,1.1,50.4,12.4,4.1,0.323,0.778,17.79,0.5,0.0,0.0,0.0
358,0.9,1.5,0.9,52.3,12.5,4.2,0.327,0.745,17.53,0.6,0.0,0.0,0.0
365,0.8,1.6,0.3,50.9,12.6,4.1,0.319,0.743,17.38,0.5,0.0,0.0,0.0
379,0.7,1.3,0.9,54.0,12.9,4.3,0.335,0.758,18.0,0.5,0.0,0.0,0.0
384,0.8,1.5,1.3,54.6,13.3,4.5,0.344,0.691,18.06,0.4,0.0,0.0,0.1
398,0.8,1.5,1.7,53.7,14.0,4.3,0.312,0.696,18.34,0.3,0.0,0.0,0.1
410,0.6,1.3,2.1,53.0,14.5,4.4,0.311,0.726,18.81,0.3,0.0,0.0,0.2
417,0.5,1.4,2.2,52.4,15.3,4.6,0.301,0.693,18.91,0.2,0.0,0.0,0.2
422,0.6,1.4,0.6,53.1,15.7,4.7,0.297,0.693,19.19,0.3,0.0,0.0,0.2
438,0.6,1.2,1.0,53.5,15.6,4.5,0.28,0.65,18.99,0.3,0.0,0.0,0.3
442,0.6,1.1,1.0,52.1,14.1,3.8,0.29,0.683,18.44,0.3,0.0,0.0,0.3
455,0.6,1.1,2.0,51.2,13.2,3.5,0.295,0.667,18.36,0.2,0.0,0.0,0.3
466,0.9,1.1,0.9,52.6,12.6,3.6,0.32,0.645,18.04,0.3,0.0,0.0,0.3
480,1.0,1.1,1.7,50.5,12.5,3.7,0.337,0.637,17.54,0.4,0.0,0.0,0.4
484,1.1,1.0,0.3,50.9,12.1,3.7,0.348,0.683,17.3,0.5,0.0,0.0,0.3
495,1.1,1.1,1.4,50.5,10.8,3.6,0.38,0.67,17.39,0.6,0.0,0.0,0.3
504,1.2,1.0,0.3,49.9,9.8,3.5,0.39,0.69,17.27,0.6,0.0,0.0,0.2
514,1.2,0.9,0.7,51.2,8.8,3.2,0.396,0.723,17.38,0.6,0.0,0.0,0.2
522,1.0,0.9,0.1,52.2,9.0,2.9,0.373,0.723,17.75,0.5,0.0,0.0,0.2
531,1.0,0.8,0.2,49.4,8.2,3.0,0.406,0.798,17.84,0.4,0.0,0.0,0.1
542,0.9,0.9,1.0,48.0,7.9,2.8,0.396,0.786,17.51,0.4,0.0,0.0,0.2
547,0.8,0.8,0.2,46.9,8.0,3.0,0.416,0.836,17.34,0.5,0.0,0.0,0.2
571,0.5,0.6,0.7,45.4,7.5,2.7,0.397,0.876,18.64,0.4,0.0,0.0,0.2
577,0.5,0.5,2.5,46.5,8.6,2.9,0.378,0.909,19.03,0.4,0.0,0.0,0.1
589,0.6,0.5,0.2,44.7,8.4,2.9,0.388,0.919,19.01,0.3,0.1,0.1,0.1
604,0.8,0.4,0.8,45.7,8.7,2.9,0.367,0.852,19.3,0.2,0.1,0.1,0.1
611,0.7,0.5,1.3,46.3,8.7,2.8,0.36,0.802,19.3,0.4,0.1,0.1,0.1
624,0.9,0.5,0.5,44.8,9.3,3.3,0.384,0.802,19.19,0.4,0.1,0.1,0.1
628,1.1,0.6,1.0,42.0,8.8,3.4,0.399,0.788,19.12,0.5,0.1,0.1,0.1
636,1.2,0.7,0.7,43.0,9.1,3.5,0.399,0.773,18.23,0.5,0.1,0.1,0.1
640,1.2,0.7,0.7,46.2,10.3,3.5,0.356,0.761,19.32,0.5,0.1,0.1,0.0
648,1.1,0.9,0.7,48.4,10.7,3.5,0.335,0.732,19.5,0.4,0.1,0.1,0.1
