ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
206,1.2,1.3,1.5,50.6,14.9,4.9,0.326,0.529,18.81,0.6,0.0,0.0,0.4
222,1.3,1.1,1.1,52.6,14.9,5.4,0.376,0.533,19.01,0.6,0.1,0.1,0.3
238,1.2,1.1,0.6,52.2,14.8,5.0,0.347,0.533,18.81,0.6,0.1,0.1,0.3
286,1.2,1.0,1.1,50.1,14.7,5.2,0.362,0.583,18.8,0.6,0.1,0.1,0.3
300,1.0,1.1,2.1,50.9,14.2,5.2,0.379,0.558,18.43,0.7,0.1,0.1,0.3
313,1.1,1.3,1.1,52.8,14.2,4.8,0.359,0.558,18.34,0.6,0.1,0.1,0.3
325,1.2,1.2,0.4,52.6,13.6,4.5,0.355,0.658,17.85,0.5,0.1,0.1,0.2
343,1.0,1.5,1.1,53.9,13.6,4.3,0.338,0.635,18.14,0.6,0.1,0.1,0.2
379,1.1,1.5,0.9,54.5,14.1,4.3,0.321,0.635,18.47,0.6,0.1,0.1,0.2
398,1.1,1.5,1.7,55.0,14.3,4.4,0.325,0.635,18.48,0.5,0.1,0.1,0.3
410,0.9,1.3,2.1,54.1,14.5,4.4,0.323,0.715,18.79,0.4,0.1,0.1,0.2
422,0.7,1.3,0.6,53.0,15.0,4.3,0.296,0.715,18.44,0.4,0.0,0.0,0.2
442,0.7,1.5,1.0,54.8,14.8,4.2,0.288,0.615,18.97,0.4,0.0,0.0,0.3
480,0.8,1.6,1.7,55.8,14.0,4.0,0.298,0.565,18.63,0.4,0.0,0.0,0.3
495,1.0,1.6,1.4,56.6,14.0,3.9,0.288,0.57,18.68,0.4,0.0,0.0,0.3
514,0.9,1.3,0.7,55.3,13.5,3.9,0.296,0.62,19.03,0.4,0.0,0.0,0.3
522,0.8,1.3,0.1,57.0,14.1,3.7,0.269,0.62,19.68,0.4,0.0,0.0,0.3
547,0.8,1.0,0.2,54.6,13.2,3.6,0.285,0.652,19.57,0.3,0.0,0.0,0.3
577,0.6,0.9,2.5,52.2,12.0,3.1,0.273,0.685,20.26,0.2,0.0,0.0,0.3
604,0.8,0.8,0.8,50.8,11.4,3.1,0.294,0.742,20.0,0.2,0.1,0.1,0.2
624,0.8,0.8,0.5,50.8,10.4,2.9,0.297,0.712,19.88,0.4,0.1,0.1,0.1
640,1.0,0.8,0.7,50.1,10.0,2.7,0.291,0.731,20.23,0.5,0.1,0.1,0.1
